😀	osinekile, ubuso obusinekile
🍱	ibento, ibento bhoksi, ibhoksi
🍘	icracker, ilayisi, irice cracker
🍙	ibhala, ibhala lelayisi, ilayisi, japanese
🍚	ilayisi, ilayisi eliphekiwe, okuphekiwe
🍛	ilayisi, isishebo, isishebo selayisi
🍜	isitsha, isitsha esishunqayo, noodle, ukushunqa
🍝	i-pasta, ispaghetti
🍠	amazambane, thosa, ubhatata othosiwe, ubumnandi
🍢	i-oden, ikebhabhu, induku, ukudla kwasolwandle
🍣	isushi
🍤	ishrimpu, ishrimpu ethosiwe, isikhuphashi, thosa
🍥	ikhekhe, ikhekhe lenhlanzi elinokuzungezayo, inhlanzi, okuzungezayo
🥮	autumn, festival, moon cake, yuèbǐng
🍡	i-dango, induku, japanese, okunoshukela, ubumnandi
🥟	empanada, gyōza, idombolo, jiaozi, pierogi, potsticker
🥠	ikhekhe lenhlanhla, isipholofitho
🥡	ibhakede lekhwathu, ibhokisi lokuthatha ngaphandle
🦀	cancer, inkalankala, inkanyezi
🦞	bisque, claws, lobster, seafood
🦐	igobolondo, imfanzi, ncane, ukudla
🦑	ingwane, molusc, ukudla
🦪	i-oyster, i-pearl, ukudayiva
🍦	okunoshukela, okuthambile, u-ice cream, u-ice cream othambile, ukhilimu
🍧	i-shaved ice, iqhwa, okunoshukela, shaved, ubumnandi
🍨	iqhwa, okumnandi, okunoshuke, u-ice cream, ukhilimu
🍩	idonathi, okunoshukela, ubumnandi
🍪	iqebelengwane, okunoshukela, ubumnandi
🎂	ikhekhe, ikhekhe lokuzalwa, okunoshukela, ubumnandi, ukuzalwa, umbungazo
🍰	ikhekhe, ikhekhe elincane, okunoshukela, ubumnandi, ucezu
🧁	bakery, cupcake, sweet
🥧	inhlama, okwaphakathi, uphaya
🍫	okunoshukela, ubumnandi, ushokoledi
🍬	okunoshukela, ubumnandi, uswidi
🍭	okunoshukela, ubumnandi, ustikhiswidi, uswidi
🍮	iphudingi, okunoshukela, ubumnandi, ukhastadi
🍯	isitsha, isitsha soju, ubumnandi, uju
🍼	ibhodlela, ibhodlela lengane, ingane, isiphuzo, ubisi
🥛	ingilazi, ingilazi yobisi, phuza, ubisi
☕️	ikhofi, intuthu, isiphuzo, isiphuzo esishisayo, itiye, okuphuzwayo, okushisayo
🍵	inkomishi, inkomishi yetiye, inkomishi yetiye engenasibambo, isiphuzo, itiye, okuphuzwayo
🍶	ibha, ibhodlela, inkomishi, isake, isiphuzo, okuphuzwayo
🍾	ibha, ibhodlela, ibhodlela elinokuputshuka phezulu, icork, isiphuzo, ukuqhuma
🍷	ibha, ingilazi, ingilazi yewayini, isiphuzo, iwayini, okuphuzwayo
🍸️	ibha, icocktail, ingilazi, ingilazi yecocktail, isiphuzo
🍹	ibha, isiphuzo, isiphuzo esipholisayo, okupholile
🍺	ibha, imagi, imagi kabhiya, isiphuzo, ubhiya
🍻	ibha, imagi, okuphuzwayo, ubhiya, ukushayisana, ukushayisana kwamamagi kabhiya
🥂	bungaza, ingilazi, phuza, ukushayanisa, ukushayanisa izingilazi
🥃	dubula, ingilazi, ingilazi yephepha, iphepha, utshwala, whisky
🥤	ijusi, inkomishi enomucu wokumoma, isoda
🧃	ibhokisi lamajusi, ibhokisi leziphuzo
🧉	i-mate, isiphuzo
🧊	i-iceberg, ukubanda
🥢	ihashi, izinti
🍽️	imfoloko, imfoloko nommese nepleti, ipleti, ukupheka, ummese
🍴	imfoloko, imfoloko nommese, ukupheka, ummese
🥄	isipunu, okwetafula
🔪	ihocho, isikhali, ithuluzi, ukupheka, ummese, ummese wasekhishini
🏺	aquarius, i-amfrora, inkanyezi, isikhali, isiphuzo, ithuluzi, ujeke, ukupheka
🌍	afrika, europe, igilobhu, igilobhu eliveza i-europe-afrika, umhlaba
🌎️	igilobhu, igilobhu eliveza emelika, melika, umhlaba
🌏	asia, australia, igilobhu, igilobhu eliveza asia-australia, umhlaba
🌐	igilobhu, igilobhu elinemeridians, meridians, umhlaba
🗺️	ibalazwe, ibalazwe lomhlaba, umhlaba
🗾	ibalazwe, ibalazwe lejapan, japan
🧭	i-compass, magnetic, navigation, orienteering
🏔️	intaba, intaba embethe iqhwa, iqhwa, ukubanda
⛰️	intaba
🌋	intaba, isimo sezulu, ivolcano, ukuqhuma
🗻	ifuji, intaba, intaba ifuji
🏕️	ukukhempa
🏖️	ibhishi, ibhishi nesambulela, isambulela
🏜️	isiqhingi, ugwadule
🏝️	isiqhingi, isiqhingi sasogwadule, ugwadule
🏞️	ipaki, ipaki likazwelonke
🏟️	inkundla, inkundla yezemidlalo
🏛️	isakhiwo, isakhiwo sakudala
🏗️	ukwakha, ukwakha isakhiwo
🧱	bricks, clay, isitini, mortar, wall
🏘️	izakhiwo zezindlu, izindlu
🏚️	indlu, isakhiwo sendlu esinganakiwe
🏠️	indlu, isakhiwo sendlu
🏡	indlu, indlu enengadi, ingadi, isakhiwo, umuzi
🏢	isakhiwo, isakhiwo sehhovisi
🏣	iposi, iposi lama-japanese, isakhiwo, japanese
🏤	european, iposi, isakhiwo
🏥	imithi, isakhiwo, isibhedlela, udokotela
🏦	ibhange, isakhiwo
🏨	ihhotela, isakhiwo
🏩	ihhotela, ihhotela lothando, isakhiwo, uthando
🏪	isakhiwo, isitolo, isitolo esihlala sivuliwe, ukuhlala kuvuliwe
🏫	isakhiwo, isikole
🏬	impahla, isakhiwo, isitolo, isitolo sempahla
🏭️	imboni, isakhiwo
🏯	isakhiwo, isigodlo, isigodlo se-japanese, japanese
🏰	isakhiwo, isigodlo, japanese
💒	isonto, umshado, uthando
🗼	itokyo tower, tokyo, umbhoshongo
🗽	icuthe, inkululeko, statue of liberty
⛪️	inkolo, isakhiwo, isiphambano, isonto, umzalwane
🕌	amasulumane, inkolo, isonto lamasulumane
🛕	i-hindu, ithempeli, ithempeli le-hindu
🕍	inkolo, isinagoge, ithempeli, umjuda
⛩️	inkolo, shinto, shinto shrine, shrine
🕋	amasulumane, i-kaaba, inkolo
⛲️	umthombo
⛺️	itende, ukulala etendeni
🌁	isimo sezulu, izinkungu, kunezinkungu
🌃	inkanyezi, ubusuku, ubusuku obunezinkanyezi
🏙️	idolobha, ukubukeka kwedolobha
🌄	ekuseni, ilanga, ukuphuma kwelanga ezintabeni
🌅	ilanga, isimo sezulu, ukuphuma kwelanga
🌆	idolobha, isakhiwo, ukubukeka kwedolobha ukushona kwelanga, ukushona kwelanga
🌇	isakhiwo, isimo sezulu, ukushona kwelanga
🌉	ebusuku, ibhuloho, ibhuloho ebusuku, isimo sezulu
♨️	iziphethu, iziphethu ezinamanzi ashisayo, kuyashisa, kuyathunya
🎠	ihhashi, ihhashi lekharaseli, ikharaseli
🎡	iferisi, isondo, isondo leferisi
🎢	i-roller coaster, ipaki, okokushushuluza
💈	ipholi yomgundi wezinwele, ukugunda izinwele, umgundi wezinwele
🎪	isekisi, itende, itende lesekisi
🚂	ikhanda lesitmela, injini, isithuthi, isitimela, isitimu, ujantshi
🚃	imoto, imoto eyisitimela, isitimela, ithilamu, ngogesi, ujantshi
🚄	imoto, isitimela, isitimela esinesivinini esikhulu, isivinini, ujantshi
🚅	imoto, inhlamvu, isitimela, isitimela esinesivinini esikhulu esinekhala elinjengenhlamvu, isivinini, ujantshi
🚆	imoto, isitimela, ujantshi
🚇️	imoto, isitimela esihamba ngaphansi komhlaba, umzila wesitimela ongaphansi komhlaba
🚈	imoto, isitimela esingengethilamu, ujantshi
🚉	imoto, isiteshi, isitimela, ujantshi
🚊	ibhasi, imoto, ithilamu
🚝	imoto, ujantshi owodwa
🚞	imoto, intaba, ujantshi, ujantshi wasentabeni
🚋	imoto, imoto eyithilamu, ithilamu
🚌	ibhasi, imoto
🚍️	elizayo, ibhasi, ibhasi elizayo, imoto
🚎	ibhasi, ibhasi elihamba ngogesi, imoto, inqola, ithilamu
🚐	ibhasi, ikhumbi, imoto
🚑️	i-ambulense, imoto
🚒	iloli, imoto, injini, injini yomlilo, isicishamlilo, umlilo
🚓	amaphoyisa, imoto, imoto yamaphoyisa, ukuqapha
🚔️	amaphoyisa, ezayo, imoto, imoto yamaphoyisa ezayo, isithuthi
🚕	isithuthi, itekisi
🚖	elizayo, isithuthi, itekisi elizayo
🚗	imoto, isithuthi
🚘️	ezayo, imoto, imoto ezayo, isithuthi
🚙	i-rv, isithuthi, isithuthi sokuzithokozisa, ukuzithokozisa
🚚	iloli, iloli lokudiliva, isithuthi, ukudiliva
🚛	iloli, iloli elihlangene nogandaganda, isithuthi
🚜	isithuthi, ugandaganda
🏎️	imoto, imoto yomjaho, umjaho
🏍️	isithuthuthu esigijimayo, umjaho
🛵	imoto, isithuthuthu
🦽	isitulo esihanjiswayo, ukufinyelela
🦼	isitulo esizihambelayo, ukufinyelela
🛺	i-auto rickshaw, i-tuk tuk
🚲️	ibhayisikili, isithuthi
🛴	isikuta esikhahlelwayo, isithuthuthu, khahlela
🛹	ibhodi, skateboard
🚏	ibhasi, isitobhu, isitobhu sebhasi
🛣️	umgwaqo, umgwaqo onguthelawayeka, umgwaqo womphakathi
🛤️	isitimela, ujantshi, ujantshi wesitimela
🛢️	amafutha, idramu, idramu lamafutha
⛽️	igesi, isifutho, isifutho sesiphehlamandla, isiphehlamandla, isiteshi
🚨	amaphoyisa, ilambu lemoto yamaphoyisa, imoto, isithuthi, okujikelezayo, ukukhanya
🚥	irobhothi elivundlile, isiginali, ithrafikhi, ukukhanya
🚦	ilambu, irobhothi elibheke phezulu, isiginali, ithrafikhi
🛑	ima, octagonal, uphawu, uphawu lokuma
🚧	isithiyo, ukwakha
⚓️	ihange, ithuluzi, umkhumbi
⛵️	indawo yokuvakasha, isikebhe, isikebhe sasolwandle, isithuthi, ulwandle
🛶	isikebhe
🚤	isikebhe, isikebhe esinesivinini esikhulu, isithuthi
🛳️	isithuthi, umgibeli, umkhumbi, umkhumbi othwala abagbeli
⛴️	isikebhe, isikebhe sokuwelisa
🛥️	isikebhe, isikebhe esinenjini, isithuthi
🚢	isithuthi, umkhumbi
✈️	ibhanoyi, isithuthi
🛩️	ibhanoyi, ibhanoyi elincane, isithuthi
🛫	ibhanoyi, isithuthi, ukuhamba, ukuhamba kwebhanoyi, ukukhipa ithikithi
🛬	ibhanoyi, isthuthi, ukufika, ukufika kwebhanoyi, ukuhlala phansi kwebhanoyi
🪂	i-hang-glide, i-parachute, i-parasail, i-skydive
💺	isihlalo
🚁	ibhanoyi elinophephela emhlane, isithuthi
🚟	isithuthi, ujantshi
🚠	gondola, inqola, inqola eya entabeni, intamba, isithuthi
🚡	gondola, imoto, inqola, inqola yasemoyeni, intambo, isithuthi, umoya
🛰️	isethalayithi, isithuthi, umkhathi
🚀	irokhethi, isithuthi, umkhathi
🛸	i-UFO, isosa endizayo
🛎️	ihhotela, insimbi
🧳	hamba, pakisha, umthwalo
⌛️	hourglass, isihlabathi, isiklali sikhathi
⏳️	i-hourglass, i-hourglass egeleza isihlabathi, isihlabathi, isiklali sikhathi
⌚️	iwashi
⏰	i-alamu, iwashi, iwashi le-alamu
⏱️	i-stop washi, iwashi
⏲️	isiklalisikhathi, iwashi, timer clock
🕰️	iwashi, mantelpiece clock
🕛️	00, 12, 12:00, clock, o’clock, twelve, twelve o’clock
🕧	12, 12:30, 30, clock, thirty, twelve, twelve-thirty
🕐️	00, 1, 1:00, clock, one, one o’clock, o’clock
🕜	1, 1:30, 30, clock, one, one-thirty, thirty
🕑️	00, 2, 2:00, clock, o’clock, two, two o’clock
🕝	2, 2:30, 30, clock, thirty, two, two-thirty
🕒️	00, 3, 3:00, clock, o’clock, three, three o’clock
🕞	3, 30, 3:30, clock, thirty, three, three-thirty
🕓️	00, 4, 4:00, clock, four, four o’clock, o’clock
🕟	30, 4, 4:30, clock, four, four-thirty, thirty
🕔️	00, 5, 5:00, clock, five, five o’clock, o’clock
🕠	30, 5, 5:30, clock, five, five-thirty, thirty
🕕️	00, 6, 6:00, clock, o’clock, six, six o’clock
🕡	30, 6, 6:30, clock, six, six-thirty, thirty
🕖️	00, 7, 7:00, clock, o’clock, seven, seven o’clock
🕢	30, 7, 7:30, clock, seven, seven-thirty, thirty
🕗️	00, 8, 8:00, clock, eight, eight o’clock, o’clock
🕣	30, 8, 8:30, clock, eight, eight-thirty, thirty
🕘️	00, 9, 9:00, clock, nine, nine o’clock, o’clock
🕤	30, 9, 9:30, clock, nine, nine-thirty, thirty
🕙️	00, 10, 10:00, clock, o’clock, ten, ten o’clock
🕥	10, 10:30, 30, clock, ten, ten-thirty, thirty
🕚️	00, 11, 11:00, clock, eleven, eleven o’clock, o’clock
🕦	11, 11:30, 30, clock, eleven, eleven-thirty, thirty
🌑	inyanga, inyanga entsha, isimo sezulu, ubumnyama, umkhathi
🌒	inyanga, inyanga ewucezu olubheke emuva, isimo sezulu, ukubheka emuva, umkhathi
🌓	ikota, ikota yokuqala yenyanga, inyanga, isimo sezulu, umkhathi
🌔	inyanga, inyange ewucezu ebheke phambili, isimo sezulu, ukubhek phambili, umkhathi
🌕️	inyanga, inyange egcwele, isimo sezulu, ukugcwala, umkhathi
🌖	inyanga, inyanga ebheke emuva enciphile, isimo sezulu, ukubheka emuva, ukuncipha, umkhathi
🌗	ikota, inyanga, inyanga yekota yokugcina, isimo sezulu, umkhathi
🌘	inyanga, inyanga ebheke phambili enkulu, isimo sezulu, ukubheka phambili, ukuncipha, umkhathi
🌙	inyanga, inyanga enciphile, isimo sezulu, ukubheka emuva, umkhathi
🌚	inyanga, isimo sezulu, ubuso, ubuso benyanga entsha, umkhathi
🌛	inyanga, inyanga yekota lokuqala elinobuso, isimo sezulu, ubuso, umkhathi
🌜️	ikota yokugcina yenyanga enobuso, inyanga, isimo sezulu, ubuso, umkhathi
🌡️	isimo sezulu, ithemomitha
☀️	ilanga, imisebe, isikhala, isimo sezulu, kunelanga, ukukhanya
🌝	inyanga egcwele, inyanga egcwele enobuso, isimo sezulu, ubuso, ukukhanya, umkhathi
🌞	ilanga, ilanga elinobuso, isimo sezulu, ubuso, ukukhanya, umkhathi
🪐	i-saturine, i-saturn, iplanethi eringayo
⭐️	inkanyezi, inkanyezi ephakathi nendawo emhlophe
🌟	inkanyezi, inkanyezi ebhanyazayo, ukubhayaza
🌠	inkanyezi, inkanyezi edubulayo, ukudubula, ukuwa, umkhathi
🌌	imilkhi weyi, isimo sezulu, umkhathi
☁️	ifu, isimo sezulu
⛅️	ifu, ilanga, ilanga elingemuva kwefu, isimo sezulu
⛈️	ifu, ifu elinombani kanye nemvula, imvula, isimo sezulu, ukuduma
🌤️	ifu, ilanga, ilanga elingemuva kwefu elincane, isimo sezulu
🌥️	ifu, ilanga, ilanga elingemuva kwef elikhul, isimo sezulu
🌦️	ifu, ilanga, ilanga elingemuva kwefu elinemvula, imvula, isimo sezulu
🌧️	ifu, ifu elinemvula, imvula, isimo sezulu
🌨️	ifu, ifu elinesithwathwa, isimo sezulu, isithwathwa, ukubanda
🌩️	ifu, ifu elinombani, isimo sezulu, umbani
🌪️	ifu, inkanyamba, isimo sezulu, umoya ovunguzayo
🌫️	ifu, inkungu, isimo sezulu
🌬️	ifu, isimo sezulu, phephetha, ubuso, ubuso bomoya, umoya
🌀	inkanyamba, inzululwane, isimo sezulu, isiphepho
🌈	imvula, isimo sezulu, uthingo
🌂	impahla egqokwayo, imvula, isambulela, isambulela esivaliwe, isimo sezulu
☂️	impahla egqokwayo, imvula, isambulela, isimo sezulu
☔️	impahla egqokwayo, imvula, iqabazi, isambulela, isambulela esinamaqabazi emvula, isimo sezulu
⛱️	ilanga, imvula, isambulela, isambulela esiphansi, isimo sezulu
⚡️	amandla kagesi, amandla kagesi amakhulu, ubungozi, ugesi, umbani, zap
❄️	ikhekheba leqha, isimo sezulu, isithwathwa, ukubanda
☃️	indoda yesithwathwa, isimo sezulu, isithwathwa, ukubanda
⛄️	indoda yesithwathwa, indoda yesithwathwa engenasithwathwa, isimo sezulu, isithwathwa, ukubanda
☄️	ikhomethi, ukhathi
🔥	ilangabi, ithuluzi, umlimo
💧	iqabazi, isimo sezulu, opopayi, ukubanda, umjuluko
🌊	amanzi, igagasi, igagasi lamanzi, isimo sezulu, ulwandle
🎃	i-halloween, i-jack-o-lantern, ijack, ilambu, umbungazo
🎄	isihlahla, isihlahla sikhakhisimusi, ukhisimusi, umbungazo
🎆	amakhrikhethi, umbungazo
🎇	amakhrikhethi, okuqhumayo, umbungazo
✨	inkanyezi, okukhazimulayo, ukukhazimula
🎈	ibhaluni, umbungazo
🎉	iphathi, itada, okuqhuma ephathini, ukuqhuma, umbungazo
🎊	ibhala, ibhola eliqhumayo, ukuqhuma, umbungazo
🎋	isihlahla, isihlahla setanabata, japanese, umbungazo
🎍	imihlobiso yesundu, isitshalo, japanese, umbungazo, uqalo, usundu
🎎	japanese, onodoli, onodoli bejapanese, umbungazo, umcimbi
🎏	carp, i-carp streamer, istreamer, umbungazo
🎐	ichime, ichime yomoya, insimbi, umbungazo, umoya
🎑	inyanga, umbungazo, umcimbi, umcimbi wenyanga
🎀	iribhini, umbungazo
🎁	ibhokisi, iprezenti, isipho, isipho esigoqiwe, okugoqiwe, umbungazo
🎗️	iribhini, iribhini yesikhumbuzo, isikhumbuzo, umbungazo
🎟️	amathikithi, amathikithi okungena, ukungena
🎫	ithikithi, ukungena
🎖️	imedali, imedali yamasosha, okwamasosha, umbungazo
🏆️	indondo, umklomelo
🏅	imedali, imedali yezamidlalo
🥇	igolide, indodo yendawo yokuqala, indondo, qala
🥈	bili, indondo, indondo yendawo yesibili, isiliva
🥉	ibhulonzi, indondo, indondo yendawo yesithathu, thathu
⚽️	ibhola, ibhola likanobhujuzwayo, unobhujuzwayo
⚾️	i-baseball, ibhola
🥎	softball
🏀	i-basketball, ibhola, ihubhu
🏐	i-volleyball, ibhola, umdlalo
🏈	i-american football, ibhola, ibhola likanobhujuzwayo, okwasemelika
🏉	i-football, ibhola, ibhola lomboxo, umbhoxo
🎾	ibhalo, irekhethi, ithenisi
🎳	ibhola, ukubhowla, umdlalo
🏏	ibhethi, ibhola, umdlalo, umdlalo wekhilikithi
🏑	ibhola, ihokhi, induku, inkundla, umdlalo
🏒	ihokhi, ihokhi yaseqhweni, induku, iqhwa, umdlalo
🏓	ibhethi, ibhola, ithenisi yetafula, ping pong, umdlalo
🏸	ibadminton, irekhethi, umdlalo
🥊	igilavu, igilavu lokulwa, ukulwa, umdlalo
🥋	ezokulwa, ikarati, inyufomu, inyufomu yokulwa, judo, taekwondo, umdlalo
🥅	igoli, inethi, inethi yegoli, umdlalo
⛳️	ifalfu, ifulegi elisembobeni, imbobo
⛸️	ice skate, iqhwa, skate
🎣	induku, inhlanzi, udobo
🤿	i-scuba, i-snorkeling, imaski yokudayiva, ukudayiva
🎽	isikibha, isikibha sokugijima, ukugijima
🎿	isithwatha, ski, skis
🛷	isihlibhi, isleji
🥌	idwala, itshe lokutayela, umdlalo
🎯	idathi, ihlo, impokophelo, ukunemba, umdlalo
🪀	i-yo-yo, ithoyi, ukungahlaliseki
🪁	i-kite, i-soar, ukuphaph
🎱	8, billiard, billiards, ibhola, umdlalo
🔮	ibhola, ibhola lekhristali, ikhristali, inhlanhla, insumansumane, ithuluzi
🧿	bead, charm, evil-eye, nazar, talisman
🎮️	isilawuli, umdlalo, umdlalo wevidiyo
🕹️	ijoystiki, umdlalo, umdlalo wevidiyo
🎰	imbotshana yokufaka imali, umdlalo, umshini onembotshana yokufaka imali
🎲	idayisi, umdlalo, umdlalo wamadayisi
🧩	i-jigsaw, icebo, indida, izingcezu, ucezu, ukukhiya ngaphakathi
🧸	u-teddy bear
♠️	ikhadi, ispeyidi, umdlalo, uspeyidi
♥️	ikhadi, inhliziyo, izinhliziyo, umdlalo, unhliziyo
♦️	amadayimane, idayimane, ikhadi, okumise okwedayimane, umdlalo
♣️	ikhadi, izimpukane, umdlalo, umpukane
🃏	ikhadi, ujokha, ukudlala, umdlalo
🀄️	imajongi, okubomvu, umajongi oyidragoni ebomvu, umdlalo
🎴	amakhadi okudlala ayimbali, ikhadi, imbali, japanese, ukudlala, umdlalo
🎭️	ezobuciko bemibukiso, imaskhi, ubuciko, umbukiso
🖼️	ifulemu, ifulemu enesithombe, imyuziyemu, isithombe, ubuciko
🎨	ibhodi lengcweti yokupenda, imyuziyemu, isithombe esipendiwe, ubuciko
👓️	ihlo, impahla yokugqoka, izibuko, izibuko zamehlo, ukugqokisa amehlo
🕶️	ihlo, izibuko, izibuko zamehlo, izibuko zelanga, ubumnyana
🥽	eye protection, izibuko zokuzivikela, ukubhukuda, ukushisela
🥼	doctor, experiment, lab coat, scientist
🦺	iveste, iveste yokuphepha, okuphuthumayo, ukuphepha
👔	impahla yokugqoka, uthayi womqala
👕	ihembe, impahla yokugqoka, isikibha
👖	ibhulukwe, ijini, impahla yokugqoka
🧣	intamo, iskhafu
🧤	amaglavu, isandla
🧥	ijakhethi, ijazi
🧦	amasokisi, amastokhingi
👗	ingubo yokugqoka, irokwe
👘	ikinomo, ingubo yokugqoka
🥻	i-sari, ingubo, izingubo
🩱	insudu yebhavu, insudu yokubhukuda eyodwa
🩲	insudu yebhavu, insudu yokubhukuda, izifinyezo, kokugqoka ngaphansi, ucezu olulodwa
🩳	ibhulukwe, insudu yebhavu, izikhindi, kokugqoka ngaphansi
👙	ibikini, ingubo yokugqoka, ukubhukuda
👚	impahla yomuntu wesifazane, ingubo yokugqoka, umuntu wesifazane
👛	impahla yokugqoka, isikhwama semali, uhleza
👜	impahla yokugqoka, isikhwama, isikhwama esincane
👝	impahla yokugqoka, isikhwama
🛍️	ihhotela, isikhwama, izikhwama zokuthenga, ukuthenga
🎒	isikhwama, isikhwama sesikole, isikole, ubhaka
👞	impahla yukugqoka, indoda, isicathulo, izicathulo zamadoda
👟	impahla yokugqoka, isicathulo, iteku, izicathulo zokugijima, ukugijima
🥾	amabhuthi okuqwala, backpacking, boot, camping, hiking
🥿	ballet flat, isicathulo esiphansi, slip-on, slipper
👠	igqoksi, impahla yokugqoka, isicathulo, owesimame
👡	amasendeli, amasendeli owesimame, impahla yokugqoka, isicathulo, owesimame
🩰	izicathulo ze-ballet
👢	ibhuzu, ibhuzu lowesimame, impahla yokugqoka, isicathulo, owesimame
👑	impahla yokugqoka, inkosazana, inkosi, umqhele
👒	impahla yokugqoka, isigqoko, isigqoko sowesimame, owesimame
🎩	impahla yokugqoka, isigqoko, isigqoko sabesilisa, umswenko
🎓️	ikepisi, impahla yokugqoka, isigqoko, isigqoko semiyezane, ukuthweswa imiyezane, umbungazo
🧢	ikhehu ye-baseball, ikhephu ekhokhisiwe
⛑️	isigqoko, isigqoko esiqinile esinesiphambano esimhlophe, isiphambano, ubuso, usizo
📿	impahla yokugqoka, inkolo, ubuhlalu, ubuhlalu bokuthandaza, umgexo, umthandazo
💄	amakhozimetiksi, iruji, okokuzicwala
💍	idayimane, iringi
💎	idayimane, ijemu, ubucwebe
🔇	isipikha, ukucisha, ukucisha isipikha, ukuthula, umsindo
🔈️	ispikha, umsindo
🔉	igagasi, isipikha, phansi, ukuvula ispikha, umsindo
🔊	3, ispikha, ispikha esiphezulu, ivolumu, phezulu, umsindo
📢	isipikha esimemezayo, ukukhuluma nomphakathi, umsindo
📣	ukujabula, umbobho omkhulu
📯	iposi, umbobo weposi, umbono
🔔	ibheli, insimbi
🔕	insimbi, insimbi enodwi, okuvinjiwe, okwenqatshelwe, qha, ukucisha, ukuthula
🎼	umbhalo, umbhalo womculo, umculo
🎵	inothi, inothi lomculo, umculo
🎶	amanothi, amanothi omculo, inotih, umculo
🎙️	imakhrofoni, imakhrofoni yasestudiyo, imayikhi, istudiyo, umculo
🎚️	izinga, izinga lesilawuli, okokulawula, umculo
🎛️	izinkinobho, izinkinobho zezilawuli, ukulawula, umculo
🎤	ikhariyokhi, imakhrofoni, imayikhi
🎧️	ama-headphone, okufakwa endlebeni
📻️	ividiyo, umsakazo
🎷	imfiliji, insimbi, umculo
🎸	insimbi, isigingci, umculo
🎹	ikhibhodi, ikhibhodi yomculo, insimbi, umculo, uphiyano
🎺	icilongo, insimbi, umculo
🎻	insimbi, ivayolini, umculo
🪕	i-banjo, uchungechunge, umculo
🥁	idilamu, izinduku zedilamu, umculo
📱	iselula, ucingo
📲	iselula, iselula enomcibisholo, ucingo, ukufona, ukwamukela, umcibisholo
☎️	ifoni, ucingo
📞	ifoni, ithelefoni, ukwamukela
📟️	ipheja
📠	ifeksi, umshini wefeksi
🔋	ibhetri
🔌	ipulaki, ipulaki likagesi, ugesi
💻️	eqondene nomuntu, i-pc, ikhomputha, ikhompyutha eyilephuthophi
🖥️	ideskhithophu, ikhompyutha, ikhompyutha yedeskhithophu
🖨️	ikhompyutha, iphrinta
⌨️	ikhibhodi, ikhompytha
🖱️	3, ikhompyutha, inkinobho, isilawuli, isilawuli sekhompyutha
🖲️	ikhompyutha, itrackball
💽	idiski, idiski encane, ikhompyutha
💾	idiski, ifloppy, ifoppy diski, ikhompyutha
💿️	blu-ray, idiski, idvd, ikhompyutha, isidi
📀	blu-ray, idiski, idividi, idvd, ikhompyutha, isidi
🧮	abacus, calculation
🎥	icinema, ikhamera, ikhamera yamamuvi, umuvi
🎞️	amafreymi amafilimu, amafreymu, ifilimu, imuvi, isinema
📽️	amafreymu, ibhayisikobho, ifilimu, imuvi, isinema
🎬️	iclapper, iclapper board, imuvi
📺️	i-tv, ithelevishini, ividiyo
📷️	ikhamera, ividiyo
📸	ifleshi, ikhamera, ikhamera enefleshi, ividiyo
📹️	ikhamera, ividiyo, ividiyo khamera
📼	ikhasethi, ividiyo, ividiyo khasethi, vhs
🔍	ibhodlela, ibhodlela elikhulisayo elibheke kwesokunxele, ithuluzi, ukukhulisa, ukusesha
🔎	ibhodlela, ibhodlela elikhulisayo elibheke kwesokudla, ithuluzi, ukukhulisa, ukusesha
🕯️	ikhandlela, ukukhanya
💡	igilobhu, igilobhu likagesi, opopayi, ugesi, ukukhanya, umbono
🔦	ithoshi, ithuluzi, ugesi, ukukhanya
🏮	ibha, ilambu, ilambu elibomvu, japanese, okubomvu, ukukhanya
🪔	i-diya, isibani, isibani se-diya, uwoyela
📔	ikhava, incwadi, incwajana, incwajana enekhava ehlotshisiwe, umhlobiso
📕	incwadi, incwadi evaliwe, okuvaliwe
📖	incwadi, incwadi evuliwe, okuvuliwe
📗	incwadi, incwadi eluhlaza satshani, luhlaza satshani
📘	incwadi, incwadi eluhlaza sasibhakabhaka, luhlaza sasibhabhaka
📙	incwadi, incwadi ephuzi, okuphuzi
📚️	incwadi, izincwadi
📓	incwajana
📒	ileja, incwajana
📃	ikhasi, ikhasi eligobile, ukugoba, umbhalo
📜	ikhasi, umqulu
📄	ikhasi, ikhasi elibheke phezulu, umbhalo
📰	ipepha, iphephandaba, izindaba
🗞	eligoqiwe, iphepha, iphephandaba, iphephandaba eligoqiwe, izindaba
📑	ama-tabs, ama-tabs okumaka ibhuku, okokumaka ibhuku, umaka
🔖	ibhuku lokumaka, ukumaka
🏷️	ilebula
💰️	idola, imali, isaka lemali, isikhwama, isikhwama semali
💴	ibhange, imali, imali eyiyeni, isikweletu, iyeni, uhlobo lwemali
💵	ibhange, idola, imali, imali eyidola, isikweletu, uhlobo lwemali
💶	i-euro, ibhange, imali, imali yase-euro, isikweletu, uhlobo lwemali
💷	i-pound, ibhange, imali, imali eyi-pound, isikweletu, uhlobo lwemali
💸	amaphiko, ibhange, idola, imali, imali enamaphiko, isikweletu, ukundiza
💳️	ibhange, ikhadi, ikhredithi, ikhredithi khadi, imali
🧾	accounting, bookkeeping, evidence, proof, receipt
💹	ibhange, igrafu, imakethe, imali, ishadi, ishadi elivuza ukukhuphuka kweyeni, iyeni, phezulu, uhlobo lwemali, ukukhula, ukukhuphuka
