😀	gülmək, gülən üz, üz
👨🏽‍🤝‍👨🏻	açıq dəri tonu, cütlük, kişi, orta dəri tonu, tutmaq, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: orta dəri tonu, açıq dəri tonu
👨🏽‍🤝‍👨🏼	cütlük, kişi, orta dəri tonu, orta-açıq dəri tonu, tutmaq, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: orta dəri tonu, orta-açıq dəri tonu
👬🏽	cütlük, kişi, orta dəri tonu, tutmaq, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: orta dəri tonu
👨🏾‍🤝‍👨🏻	açıq dəri tonu, cütlük, kişi, orta-tünd dəri tonu, tutmaq, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: orta-tünd dəri tonu, açıq dəri tonu
👨🏾‍🤝‍👨🏼	cütlük, kişi, orta-açıq dəri tonu, orta-tünd dəri tonu, tutmaq, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: orta-tünd dəri tonu, orta-açıq dəri tonu
👨🏾‍🤝‍👨🏽	cütlük, kişi, orta dəri tonu, orta-tünd dəri tonu, tutmaq, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: orta-tünd dəri tonu, orta dəri tonu
👬🏾	cütlük, kişi, orta-tünd dəri tonu, tutmaq, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: orta-tünd dəri tonu
👨🏿‍🤝‍👨🏻	açıq dəri tonu, cütlük, kişi, tutmaq, tünd dəri tonu, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: tünd dəri tonu, açıq dəri tonu
👨🏿‍🤝‍👨🏼	cütlük, kişi, orta-açıq dəri tonu, tutmaq, tünd dəri tonu, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: tünd dəri tonu, orta-açıq dəri tonu
👨🏿‍🤝‍👨🏽	cütlük, kişi, orta dəri tonu, tutmaq, tünd dəri tonu, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: tünd dəri tonu, orta dəri tonu
👨🏿‍🤝‍👨🏾	cütlük, kişi, orta-tünd dəri tonu, tutmaq, tünd dəri tonu, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: tünd dəri tonu, orta-tünd dəri tonu
👬🏿	cütlük, kişi, tutmaq, tünd dəri tonu, zodiak, əkizlər, əl, əl-ələ tutan, əl-ələ tutan iki kişi, əl-ələ tutan iki kişi: tünd dəri tonu
💏	cütlük, romantika, öpüş
👩‍❤‍💋‍👨	cütlük, kişi, qadın, romantika, öpüş, öpüş: qadın, kişi
👨‍❤‍💋‍👨	cütlük, kişi, romantika, öpüş, öpüş: kişi, kişi
👩‍❤‍💋‍👩	cütlük, qadın, romantika, öpüş, öpüş: qadın, qadın
💑	cütlük, romantika, sevgi, ürək, ürəkli cütlük
👩‍❤‍👨	cütlük, kişi, qadın, romantika, sevgi, ürək, ürəkli cütlük, ürəkli cütlük: qadın, kişi
👨‍❤‍👨	cütlük, kişi, romantika, sevgi, ürək, ürəkli cütlük, ürəkli cütlük: kişi, kişi
👩‍❤‍👩	cütlük, qadın, romantika, sevgi, ürək, ürəkli cütlük, ürəkli cütlük: qadın, qadın
👪️	ailə, ana, ata, uşaq
👨‍👩‍👦	ailə, ailə: kişi, qadın, oğlan, ana, ata, kişi, oğlan, qadın, uşaq
👨‍👩‍👧	ailə, ailə: kişi, qadın, qız uşağı, ana, ata, kişi, qadın, qız uşağı, uşaq
👨‍👩‍👧‍👦	ailə, ailə: kişi, qadın, qız uşağı, oğlan, ana, ata, kişi, oğlan, qadın, qız uşağı, uşaq
👨‍👩‍👦‍👦	ailə, ailə: kişi, qadın, oğlan, oğlan, ana, ata, kişi, oğlan, qadın, uşaq
👨‍👩‍👧‍👧	ailə, ailə: kişi, qadın, qız uşağı, qız uşağı, ana, ata, kişi, qadın, qız uşağı, uşaq
👨‍👨‍👦	ailə, ailə: kişi, kişi, oğlan, ana, ata, kişi, oğlan, uşaq
👨‍👨‍👧	ailə, ailə: kişi, kişi, qız uşağı, ana, ata, kişi, qız uşağı, uşaq
👨‍👨‍👧‍👦	ailə, ailə: kişi, kişi, qız uşağı, oğlan, ana, ata, kişi, oğlan, qız uşağı, uşaq
👨‍👨‍👦‍👦	ailə, ailə: kişi, kişi, oğlan, oğlan, ana, ata, kişi, oğlan, uşaq
👨‍👨‍👧‍👧	ailə, ailə: kişi, kişi, qız uşağı, qız uşağı, ana, ata, kişi, qız uşağı, uşaq
👩‍👩‍👦	ailə, ailə: qadın, qadın, oğlan, ana, ata, oğlan, qadın, uşaq
👩‍👩‍👧	ailə, ailə: qadın, qadın, qız uşağı, ana, ata, qadın, qız uşağı, uşaq
👩‍👩‍👧‍👦	ailə, ailə: qadın, qadın, qız uşağı, oğlan, ana, ata, oğlan, qadın, qız uşağı, uşaq
👩‍👩‍👦‍👦	ailə, ailə: qadın, qadın, oğlan, oğlan, ana, ata, oğlan, qadın, uşaq
👩‍👩‍👧‍👧	ailə, ailə: qadın, qadın, qız uşağı, qız uşağı, ana, ata, qadın, qız uşağı, uşaq
👨‍👦	ailə, ailə: kişi, oğlan, ana, ata, kişi, oğlan, uşaq
👨‍👦‍👦	ailə, ailə: kişi, oğlan, oğlan, ana, ata, kişi, oğlan, uşaq
👨‍👧	ailə, ailə: kişi, qız uşağı, ana, ata, kişi, qız uşağı, uşaq
👨‍👧‍👦	ailə, ailə: kişi, qız uşağı, oğlan, ana, ata, kişi, oğlan, qız uşağı, uşaq
👨‍👧‍👧	ailə, ailə: kişi, qız uşağı, qız uşağı, ana, ata, kişi, qız uşağı, uşaq
👩‍👦	ailə, ailə: qadın, oğlan, ana, ata, oğlan, qadın, uşaq
👩‍👦‍👦	ailə, ailə: qadın, oğlan, oğlan, ana, ata, oğlan, qadın, uşaq
👩‍👧	ailə, ailə: qadın, qız uşağı, ana, ata, qadın, qız uşağı, uşaq
👩‍👧‍👦	ailə, ailə: qadın, qız uşağı, oğlan, ana, ata, oğlan, qadın, qız uşağı, uşaq
👩‍👧‍👧	ailə, ailə: qadın, qız uşağı, qız uşağı, ana, ata, qadın, qız uşağı, uşaq
🗣️	baş, danışan, danışan baş, danışmaq, siluet, üz
👤	büst, büst silueti, siluet
👥	büst, büst siluetləri, siluet
👣	ayaq izi, ayaq izləri, geyim, iz
🦰	kürən, qırmızı saç
🦱	afro, buruq, buruq saç, zülf
🦳	ağ, ağ saç, boz, qoca, saç
🦲	keçəl, kimya terapiyası, qırxılmış, saçsız
🐵	meymun, meymun üzü, üz
🐒	meymun
🦍	qorilla
🦧	böyük meymun, oranqutanq
🐶	ev heyvanı, it, it üzü, üz
🐕️	ev heyvanı, it
🦮	bələdçi, bələdçi it, kor
🐕‍🦺	it, xidmətçi, xidmətçi it
🐩	it, pudel
🐺	canavar, canavar üzü, üz
🦊	heyvan, sifət, tülkü
🦝	hiyləgər, maraq içində olan, yenot
🐱	ev heyvanı, pişik, pişik üzü, üz
🐈️	ev heyvanı, pişik
🦁	aslan, zodiak, üz, şir, şir üzü
🐯	pələng, pələng üzü, üz
🐅	pələng
🐆	bəbir
🐴	at, at üzü, üz
🐎	at, yarış, yarış atı
🦄	təkbuynuz, təkbuynuz üzü, üz
🦓	zebra, zolaq
🦌	heyvan, maral
🐮	inək, inək üzü, üz
🐂	buğa, zodiak, öküz
🐃	camış, su, su camışı
🐄	inək
🐷	donuz, donuz üzü, üz
🐖	donuz, qar
🐗	donuz, qaban
🐽	burun, donuz, donuz burnu, üz
🐏	qoyun, qoç, zodiak
🐑	dişi qoyun, qoyun
🐐	keçi, oğlaq, zodiak
🐪	birhürgüclüdəvə, dəvə, hörgüc
🐫	baktrian, dəvə, hörgüc, ikihürgüclü dəvə
🦙	alpaka, lama, quanako, vikunya, yun
🦒	ləkələr, zürafə
🐘	fil
🦏	heyvan, kərgədan
🦛	hippo, hippopotam
🐭	siçan, siçan üzü, üz
🐁	siçan
🐀	siçovul
🐹	dağsiçanı, ev heyvanı, üz
🐰	dovşan, dovşan üzü, ev heyvanı, üz
🐇	dovşan, ev heyvanı
🐿️	brunduk, burunduk
🦔	kirpi, tikanlı
🦇	vampir, yarasa
🐻	ayı, ayı üzü, üz
🐨	ayı, koala
🐼	panda, panda üzü, üz
🦥	tənbəl, yavaş
🦦	balıqtutma, oynamağa həvəsli, samur
🦨	skunsk, üfunət
🦘	Avstraliya, kenquru, kenquru balası, kisəli, tullanma
🦡	porsuq, zəhlətökən
🐾	ayaq, iz, pəncə, pəncə izləri
🦃	hinduşka, quş
🐔	quş, toyuq
🐓	quş, xoruz
🐣	cücə, körpə, yumurtadan çıxan cücə, yumurtadan çıxmaq
🐤	cücə, körpə, körpə cücə, quş
🐥	cücə, körpə, qabağa baxan balaca cücə, quş
🐦️	quş
🐧	pinqvin, quş
🕊️	göyərçin, quş, sülh, uçmaq
🦅	qartal, quş
🦆	quş, ördək
🦢	qu, qu balası, quş, suya girmə
🦉	bayquş, müdrik, quş
🦩	flaminqo, rəngli, tropik
🦚	farmazon, quş, qürrəli, tovuz
🦜	pirat, quş, söhbət, tutuquşu
🐸	qurbağa, qurbağa üzü, üz
🐊	timsah
🐢	tısbağa
🦎	kərtənkələ, sürünən
🐍	daşıyan, ilan, ilandaşıyan, zodiak
🐲	nağıl, üz, əjdaha, əjdaha üzü
🐉	nağıl, əjdaha
🦕	braxiozavr, brontozavr, diplodok, sauropod
🦖	Tirannozavr Reks, Tireks
🐳	balina, püskürtmək, su püskürdən balina, üz
🐋	balina, kit
🐬	delfin, üzgəc
🐟️	balıq, balıqlar, zodiak
🐠	balıq, tropik, tropik balıq
🐡	balıq, iynəqarın balıq
🦈	akula, balıq, yırtıcı
🐙	osminoq
🐚	balıqqulağı, spiral, spiral balıqqulağı
🐌	ilbiz
🦋	həşərat, kəpənək, uçan canlı
🐛	böcək, həşərat
🐜	həşərat, qarışqa
🐝	arı, bal arısı, həşərat
🐞	böcək, həşərat, parabizən, parabüzən
🦗	cırcırama, çəyirtkə
🕷️	hörümçək, həşərat
🕸️	hörümçək, hörümçək toru, tor
🦂	zodiak, əqrəb
🦟	ağcaqənəd, həşərat, malariya, qızdırma, virus, xəstəlik
🦠	amöb, bakteriya, mikrob, virus
💐	buket, gül
🌸	albalı, albalı çiçəyi, bitki, gül, çiçək
💮	ağ gül, gül
🏵️	bitki, rozetka
🌹	bitki, gül, qızılgül
🥀	gül, solmaq, solmuş gül
🌺	bitki, gül, hibiskus
🌻	bitki, gül, günəbaxan, günəş
🌼	bitki, gül, çiçək
🌷	bitki, gül, liliya
🌱	bitki, cavan, şitil
🌲	ağac, bitki, həmişəyaşıl
🌳	ağac, bitki, enliyarpaqlı, enliyarpaqlı ağac, tökmək
🌴	ağac, bitki, palma, palma ağacı
🌵	bitki, kaktus
🌾	bitki, düyü, düyü sünbülü, qulaq
🌿	bitki, dərman bitkisi, yarpaq
☘️	bitki, yonca
🍀	4, bitki, dörd, dörd yarpaq yonca, yarpaq, yonca
🍁	ağcaqayın, ağcaqayın yarpağı, bitki, tökülmək, yarpaq
🍂	bitki, tökülmək, tökülən yarpaq, yarpaq
🍃	bitki, külək, küləkdə əsən yarpaq, titrəmək, yarpaq, əsmək
🍇	meyvə, üzüm
🍈	meyvə, yemiş
🍉	meyvə, qarpız
🍊	mandarin, meyvə, portağal
🍋	limon, meyvə, sitrus
🍌	banan, meyvə
🍍	ananas, meyvə
🥭	manqo, meyvə, tropik
🍎	alma, meyvə, qırmızı, qırmızı alma
🍏	alma, meyvə, yaşıl, yaşıl alma
🍐	armud, meyvə
🍑	meyvə, şaftalı
🍒	albalı, bitki, meyvə
🍓	giləmeyvə, meyvə, çiyələk
🥝	kivi, meyvə
🍅	meyvə, pomidor, tərəvəz
🥥	kokos, palma
🥑	avokado, meyvə
🍆	badımcan, tərəvəz
🥔	kartof, tərəvəz
🥕	kök, tərəvəz
🌽	qarğıdalı, qarğıdalı qamışı, qarğıdalı sünbülü, sünbül
🌶️	acı, acı bibər, bitki, istiot
🥒	tərəvəz, xiyar
🥬	göyərti, kahı, kələm, salat
🥦	brokkoli, yabanı kələm
🧄	dadlandırma, sarımsaq
🧅	dadlandırma, soğan
🍄	göbələk, milçəkqıran
🥜	yer fındığı, çərəz
🌰	bitki, şabalıd
🍞	bulka, çörək
🥐	kruasan, kökə, qəlyanaltı, çay
🥖	kərpic çörək, tikə, yemək, çörək
🥨	burulmuş, pretsel
🥯	bublik, bulki, çörəkxana
🥞	blin, kökə, yemək
🧇	dəmir, qərarsız, vafli
🧀	pendir
🍖	sümük, sümükdə ət, ət
🍗	ayaq, cücə, ev quşları, sümük, toyuq budu
🥩	steyk, ət tikəsi
🥓	bekon, ət
🍔	burger, hamburger
🍟	fransız, kartof qızartması, qızartma
🍕	dilim, pendir, pizza
🌭	frankfurter, hot doq, hotdoq, sosiska
🥪	sendviç, çörək
🌮	meksika, tako
🌯	buritto, meksika
🥙	bişirmək, qutab, yemək
🧆	falafel, küftə, noxud
🥚	yemək, yumurta
🍳	bişirmək, qızartmaq, tava, yumurta
🥘	dayaz, dayaz qazan, qazan, qida, yemək
🍲	qab, raqu, yemək qazanı
🥣	dənəvər, qaşıq ilə kasa, səhər yeməyi
🥗	salat, tərəvəz, yaşıl
🍿	popkorn
🧈	kərə yağı, süd məhsulu
🧂	duz, duzqabı, ədviyyat
🥫	konserv, konserv qida
🍱	bentu, bentu qutusu, qutu
🍘	düyü, düyü krekeri, kreker
🍙	düyü, düyü küftəsi, küftə, yapon
🍚	bişmiş, bişmiş düyü, düyü
🍛	düyü, karri, karri düyüsü
🍜	buxarlanan kasa, buğlanan, kasa, ramen, əriştə
🍝	makaron, spagetti
🍠	kartof, qızardılmış, qızardılmış şirin kartof, şirin
🍢	dəniz məhsulu, kabab, oden, çubuq, şiş
🍣	suşi
🍤	krevet, qızardılmış, qızardılmış krivet, tempura
🍥	balıq, burulğan, piroq, spiralşəkilli balıq piroqu, xəmir
🥮	ay piroqu, festival, payız, yuebin
🍡	danqo, desert, yapon, çubuq, şirin, şiş
🥟	empanada, gyoza, jiaozi, klyotek, pierogi, potsticker
🥠	bəxt peçenyesi, peyğəmbərlik
🥡	stridiya vedrəsi, özünlə aparmaq qutusu
🦀	qırmızı xərçəng, xərçəng, zodiak
🦞	caynaq, dəniz mətbəxi, lobster, xərçəng əti
🦐	krevet, su canlısı, xərçəng
🦑	su canlısı, səkkiz ayaq
🦪	mirvari, stridiya, suyagirmə
🍦	buz, desert, dondurma, krem, yumuşaq, yumşaq dondurma, şirin
🍧	buz, desert, rəndələnmiş, rəndələnmiş dondurma, şirin
🍨	buz, desert, dondurma, krem, şirin
🍩	desert, ponçik, şirin
🍪	desert, peçenye, şirin
🎂	ad günü, ad günü tortu, bayram, desert, tort, xəmir, şirin
🍰	bir dilim tort, desert, dilim, tort, xəmir, şirin
🧁	keks, çörəkxana, şirniyyat
🥧	piroq, tort
🍫	desert, plitka, şirin, şokolad, şokolad plitkası
🍬	desert, konfet, şirin
🍭	desert, konfet, şirin, şüşəli karamel
🍮	bişirilmiş krem, desert, pudinq, şirin
🍯	bal, bal qabı, qab, şirin
🍼	içmək, körpə, süd, uşaq şüşəsi, şüşə
🥛	bir stəkan süd, içki, stəkan, süd
☕️	buxarlanan, isti, isti içki, içki, içmək, kofe, çay
🍵	fincan, içki, içmək, qulpsuz çay fincanı, çay
🍶	bar, fincan, içki, içmək, sake, şüşə
🍾	bar, dartmaq, içmək, tıxac, tıxacı çıxan şüşə, şüşə
🍷	bar, içki, içmək, şüşə, şərab, şərəb bakalı
🍸️	bar, içmək, kokteyl, kokteyl bakalı, şüşə
🍹	bar, içmək, tropik, tropik içki
🍺	bar, içmək, krujka, pivə, pivə krujkası
🍻	bar, cingilti, içmək, krujka, pivə, pivə krujkalarını toqquşdurmaq
🥂	badə, badələri qaldırmaq, sağlıq demək, toqquşdurmaq
🥃	içki, likör, spirtli, viski stəkanı
🥤	borucuqlu stəkan, soda, şirə
🧃	içki qutusu, şirə qutusu
🧉	içki, mate
🧊	aysberq, buz kubu, soyuq
🥢	haşi, yemək çubuqları
🍽️	bişirmək, boşqab, bıçaq, çəngəl, çəngəl və bıçaq ilə boşqab
🍴	bişirmək, bıçaq, çəngəl, çəngəl və bıçaq
🥄	qaşıq, süfrə, yemək
🔪	alət, bişirmək, bıçaq, hoço, mətbəx bıçağı, silah
🏺	alət, amfora, bişirmək, dolça, içmək, silah, zodiak
🌍	Avropa-Afrikanı göstərən qlobus, afrika, avropa, dünya, qlobus, yer kürəsi
🌎️	amerika, amerika-qitələrini göstərən qlobus, dünya, qlobus, yer kürəsi
🌏	asiya, asiya-avstraliya qitələrini göstərən qlobus, avstraliya, dünya, qlobus, yer kürəsi
🌐	dünya, meridianlar, meridianları olan qlobus, qlobus, yer kürəsi
🗺️	dünya, dünya xəritəsi, xəritə
🗾	xəritə, yaponiya, yaponiyanın xəritəsi
🧭	kompas, maqnit, naviqasiya, orientasiya
🏔️	başı qarla örtülmüş dağ, dağ, qar, soyuq
⛰️	dağ
🌋	dağ, hava, püskürmə, vulkan
🗻	dağ, fuji, fuji dağı
🏕️	kempinq
🏖️	çimərlik, çətir, çətirli çimərlik
🏜️	səhra
🏝️	ada, səhra, tənha ada
🏞️	milli park, park
🏟️	stadion
🏛️	bina, klassik, klassik bina
🏗️	bina, bina tikintisi, tikinti
🧱	divar, kərpic, sement
🏘️	bina, ev, ev binaları
🏚️	baxımsız ev binası, bina, ev, tərk edilmiş
🏠️	bina, ev, ev binası, mənzil
🏡	bağ, bağı olan ev, bina, ev, mənzil
🏢	bina, ofis binası
🏣	bina, poçt, yapon, yapon poçt idarəsi
🏤	avropa, bina, poçt, poçt idarəsi
🏥	bina, həkim, tibb, xəstəxana
🏦	bank, bina
🏨	bina, otel
🏩	bina, otel, sevgi, sevgi oteli
🏪	7/24 açıq olan mağaza, bina, mağaza, rahatlıq
🏫	bina, məktəb
🏬	bina, mağaza, univermaq, şöbə
🏭️	bina, fabrik
🏯	bina, qəsr, yapon, yapon qəsri
🏰	avropa, bina, qəsr
💒	kilsə, romantika, toy
🗼	qala, tokio, tokiyo qalası
🗽	azadlıq, azadlıq heykəli, heykəl
⛪️	bina, din, kilsə, xaç, xristian
🕌	din, islam, müsəlman, məscid
🛕	hindu, hindu məbədi, məbədi
🕍	din, məbəd, sinaqoq, yəhudi
⛩️	din, məbəd, sinto, sinto məbədi
🕋	din, islam, kəbə, müsəlman
⛲️	fontan
⛺️	kempinq, çadır
🌁	duman, dumanlı, hava
🌃	axşam, hava, ulduz, ulduzlu gecə
🏙️	bina, şəhər, şəhər mənzərəsi
🌄	dağ, dağlardan qalxan günəş, günəş, günəşin doğması, hava, səhər
🌅	gün doğumu, günəş, hava, səhər
🌆	bina, günəş, günəşin batması, hava qaralanda şəhər mənzərəsi
🌇	bina, gün batımı, günəş, hava, toran
🌉	axşam, gecə körpü, hava, körpü
♨️	bulaqlar, buxarlanan, isti, qaynar bulaqlar
🎠	at, karusel, karusel at
🎡	feris, feris çarxı, lunapark, çarx
🎢	attraksion, lunapark, maneəli dəmir yolu attraksionu, çarx
💈	bərbər, saç düzümü, sütun, şlaqbaum
🎪	sirk, sirk çadırı, çadır
🚂	buxar, dəmir yolu, lokomotiv, mühərrik, nəqliyyat, qatar
🚃	dəmir yolu, dəmir yolu qatarı vaqonu, elektrik, maşın
🚄	dəmir yolu, nəqliyyat, qatar, sürət, sərnişin ekspressi, yüksək sürətli qatar
🚅	dəmir yolu, güllə, gülləyə bənzər ucluqlu yüksək sürət qatarı, nəqliyyat, qatar, sürət, sərnişin ekspressi
🚆	dəmir yolu, nəqliyyat, qatar
🚇️	metro, nəqliyyat
🚈	dəmir yolu, işıq qatarı, nəqliyyat
🚉	dəmir yolu, nəqliyyat, qatar, stansiya
🚊	nəqliyyat, stritkar, trolleybus
🚝	monorels, nəqliyyat
🚞	dağ, dağ yolu, dəmir yolu, maşın, nəqliyyat
🚋	avtomobil, tramvay, tramvay vaqonu, trolleybus
🚌	avtobus, nəqliyyat
🚍️	avtobus, nəqliyyat, yaxınlaşan avtobus, yaxınlaşma
🚎	avtobus, nəqliyyat, tramvay, trolleybus
🚐	avtobus, mini avtobus, nəqliyyat
🚑️	nəqliyyat, təcili yardım maşını
🚒	mühərrik, nəqliyyat, yanğın, yanğınsöndürən, yük maşını
🚓	maşın, nəqliyyat, patrul, polis, polis maşını
🚔️	maşın, nəqliyyat, polis, yaxınlaşan polis maşını, yaxınlaşma
🚕	nəqliyyat, taksi
🚖	nəqliyyat, taksi, yaxınlaşan taksi, yaxınlaşma
🚗	avtomobil, maşın, nəqliyyat
🚘️	avtomobil, maşın, nəqliyyat, yaxınlaşan avtomobil, yaxınlaşma
🚙	nəqliyyat, rekreasiya, rekreasiya avtomobili, rn
🚚	nəqliyyat, yük maşını, çatdırılma
🚛	konteynerli maşın, nəqliyyat, yarım, yük maşını
🚜	nəqliyyat, traktor
🏎️	maşın, yarış, yarış maşını
🏍️	motosiklet, yarış
🛵	motorlu, motorlu skuter, motosikl, skuter
🦽	manual təkərli kreslo, əlverişlilik
🦼	motorlu təkərli kreslo, əlverişlilik
🛺	avto-rikşa, tuk-tuk
🚲️	nəqliyyat, velosiped
🛴	samokat, skuter
🛹	bord, skeytbord
🚏	avtobus, avtobus dayanacağı, dayanacaq, dayanmaq
🛣️	yol, şosse
🛤️	dəmir yolu, qatar
🛢️	neft, neft silindiri, silindir
⛽️	boru, qaz, stansiya, yanacaq, yanacaq borusu
🚨	fırlanan, işıq, mayak, maşın, nəqliyyat, polis, polis maşının işığı
🚥	işıq, nəqliyyat, siqnal, üfüqi işıqfor
🚦	işıq, nəqliyyat, siqnal, şaquli işıqfor
🛑	dayanmaq, dayanmaq işarəsi, yol işarəsi
🚧	maneə, tikinti
⚓️	alət, gəmi, lövbər
⛵️	dəniz, kurort, nəqliyyat, qayıq, yaxta, yelkənli qayıq
🛶	qayıq, sürmə
🚤	nəqliyyat, qayıq, sürətli qayıq
🛳️	gəmi, nəqliyyat, sərnişin, sərnişin gəmisi
⛴️	bərə gəmisi, qayıq
🛥️	motorlu qayıq, nəqliyyat, qayıq
🚢	gəmi, nəqliyyat
✈️	nəqliyyat, təyyarə
🛩️	balaca təyyarə, nəqliyyat, təyyarə
🛫	nəqliyyat, qeydiyyat, təyyarə, təyyarə qalxır, uçuş, uçuşlar
🛬	daxilolma, daxilolmalar, eniş, nəqliyyat, təyyarə, təyyarə enir
🪂	parayelkən, paraşüt, səma dayvı
💺	oturacaq, stul
🚁	helikopter, nəqliyyat
🚟	asma dəmir yolu, asılma, dəmir yolu, nəqliyyat
🚠	dağ, dağ kanatı, kabel, nəqliyyat, qondola
🚡	hava, hava tramvayı, kabel, kanat yol, maşın
🛰️	kosmos, nəqliyyat, peyk
🚀	kosmos, nəqliyyat, raketa
🛸	UFO, uşan boşqab
🛎️	otel, xidmət zəngi, xidmətçi, zəng
🧳	səyahət, yük, əşyaları toplamaq
⌛️	qum, qum saatı, taymer
⏳️	qum, qum saatı, qum tökülən qum saatı, taymer
⌚️	qol saatı, saat
⏰	saat, siqnal, zəngli saat
⏱️	saat, saniyəölçən
⏲️	saat, taymer
🕰️	buxarı saat, saat
🕛️	00, 12, 12 tamam, 12:00, on iki, saat
🕧	12, 12:30, 30, birin yarısı, on iki, otuz, saat
🕐️	00, 1, 1:00, bir, bir tamam, saat
🕜	1, 1:30, 30, bir, ikinin yarısı, otuz, saat
🕑️	00, 2, 2:00, iki, iki tamam, saat
🕝	2, 2:30, 30, iki, otuz, saat, üçün yarısı
🕒️	00, 3, 3:00, saat, üç, üç tamam
🕞	3, 30, 3:30, dördün yarısı, otuz, saat, üç
🕓️	00, 4, 4:00, dörd, dörd tamam, saat
🕟	30, 4, 4:30, beşin yarısı, dörd, otuz, saat
🕔️	00, 5, 5:00, beş, beş tamam, saat
🕠	30, 5, 5:30, altının yarısı, beş, otuz, saat
🕕️	00, 6, 6:00, altı, altı tamam, saat
🕡	30, 6, 6:30, altı, otuz, saat, yeddinin yarısı
🕖️	00, 7, 7:00, saat, yeddi, yeddi tamam
🕢	30, 7, 7:30, otuz, saat, səkkizin yarısı, yeddi
🕗️	00, 8, 8:00, saat, səkkiz, səkkiz tamam
🕣	30, 8, 8:30, doqquzun yarısı, otuz, saat, səkkiz
🕘️	00, 9, 9:00, doqquz, doqquz tamam, saat
🕤	30, 9, 9:30, doqquz, onun yarısı, otuz, saat
🕙️	00, 10, 10:00, on, on tamam, saat
🕥	10, 10:30, 30, on, on birin yarısı, otuz, saat
🕚️	00, 11, 11:00, on bir, on bir tamam, saat
🕦	11, 11:30, 30, on bir, on ikinin yarısı, otuz, saat
🌑	ay, hava, kosmos, tünd, yeni ay
🌒	ay, aypara, dörddə bir, dörddə bir aypara, hava, kosmos
🌓	ay, ayın birinci dörrdə bir hissəsi, dörddə bir, hava, kosmos
🌔	ay, böyüyən, dörddə bir, dörddə bir böyüyən ay, hava, kosmos
🌕️	ay, hava, kosmos, tam, tam ay
🌖	ay, böyüyən, hava, kosmos, sönən, sönən böyüyən ay
🌗	ay, ayın sonuncu dörddə bir hissəsi, dörddə bir, hava, kosmos
🌘	ay, aypara, hava, kosmos, sönən, sönən aypara
🌙	ay, aypara, hava, kosmos
🌚	ay, hava, kosmos, yeni ay üzü, üz
🌛	ay, ayın birinci dörrdə bir hissəsinin üzü, dörddə bir, hava, kosmos, üz
🌜️	ay, ayın sonuncu dörddə bir hissəsinin üzü, dörddə bir, hava, kosmos, üz
🌡️	hava, termometr
☀️	günəş, günəşli, hava, kosmos, parlaq, şüalar
🌝	ay, hava, kosmos, parlaq, tam, üz, üzü olan tam ay
🌞	günəş, hava, kosmos, parlaq, üz, üzü olan günəş
🪐	saturn, üzüklü planet
⭐️	ağ orta ulduz, ulduz
🌟	işıq, parlaq, parıldayan, parıldayan ulduz, qığılcım, ulduz
🌠	düşən ulduz, kosmos, parlama, tökülmək, ulduz
🌌	hava, kosmos, süd yolu
☁️	bulud, hava
⛅️	bulud, buludun arxasında günəş, günəş, hava
⛈️	bulud, hava, ildırım, ildırım və yağışlı bulud, yağış
🌤️	balaca buludun arxasına günəş, bulud, günəş, hava
🌥️	bulud, böyük buludun arxasında günəş, günəş, hava
🌦️	bulud, günəş, hava, yağış, yağışlı buludun arxasında günəş
🌧️	bulud, hava, yağış, yağışlı bulud
🌨️	bulud, hava, qar, qarlı bulud, soyuq
🌩️	bulud, hava, ildırım, ildırımlı bulud
🌪️	bulud, hava, qasırğa
🌫️	bulud, duman, hava
🌬️	bulud, hava, külək, külək üzü, üz, əsmək
🌀	başgicəllənmə, hava, qasırğa, siklon, tufan
🌈	göyqurşağı, hava, yağış
🌂	bağlı çətir, geyim, hava, yağış, çimərlik
☂️	geyim, hava, yağış, çətir
☔️	damcı, geyim, hava, yağış, yağış damcıları düşən çətir, çimərlik
⛱️	günəş, hava, yağış, yerdə çətir, çimərlik
⚡️	elektrik, ildırım, toqquşma, təhlükə, voltaj, yüksək voltaj
❄️	hava, qar, qara dənəciyi, soyuq
☃️	hava, qar, qar adam, soyuq
⛄️	hava, qar, qar adam, qarsız qar adam, soyuq
☄️	kometa, kosmos
🔥	alov, alət
