😀	инээсэн царай, инээх, царай
🗾	газрын зураг, япон, япон улсын газрын зураг
🧭	луужин, навигаци, соронз, чиглүүлэх
🏔️	уул, хүйтэн, цас, цаст уул
⛰️	уул
🌋	галт, галт уул, уул, цаг агаар
🗻	уул, фүжи, фүжи уул
🏕️	аялал, майхан, хээр хонох
🏖️	далай, далайн эрэг, зоонтог, элс, эрэг
🏜️	кактус, цөл, элс
🏝️	арал, дал мод, далай
🏞️	ус, үндэсний цэцэрлэгт хүрээлэн
🏟️	цэнгэлдэх хүрээлэн
🏛️	барилга, сонгодог, сонгодог барилга
🏗️	барилга, барилга угсралт, угсралт
🧱	зуурмаг, тоосго, хана, шавар
🏘️	байшин, байшингийн барилга, барилга
🏚️	байшин, балгас
🏠️	байшин, гэр, давхар
🏡	байшин, гэр, мод, цэцэрлэг, цэцэрлэгтэй байшин
🏢	барилга, оффис, оффисын барилга
🏣	барилга, шуудан, япон, японы шуудан
🏤	барилга, европ, шуудан
🏥	барилга, эмнэлэг, эмч
🏦	банк, барилга
🏨	байшин, барилга, зочид буудал
🏩	барилга, зочид буудал, хайр, хайрын зочид буудал
🏪	24, 24 цагийн дэлгүүр, барилга, дэлгүүр, цаг
🏫	барилга, сургууль
🏬	барилга, их дэлгүүр
🏭️	барилга, үйлдвэр
🏯	барилга, ордон, япон, японы ордон
🏰	европ, ордон
💒	хайр дурлал, хурим
🗼	токио, токио цамхаг, цамхаг
🗽	хөшөө, эрх чөлөө, эрх чөлөөний хөшөө
⛪️	загалмай, сүм, христ, шашин
🕌	бурхан, лалын сүм, мөргөл, шашин, шинто
🛕	сүм, хиндү, хиндү сүм
🕍	жүүдийн сүм, шашин
⛩️	бурхны газар, шашин
🕋	ислам, кааба, муслим, шашин
⛲️	оргилуур, ус, усан оргилуур
⛺️	зугаалга, майхан
🌁	манан, манантай, цаг агаар
🌃	од, одтой шөнө, шөнө
🏙️	барилга, хот
🌄	дээгүүр, мандах, нар, толгод, уул, уулын толгод дээгүүр нар мандах
🌅	мандах, нар, нар мандах
🌆	бүрий, харагдац, хот, үдшийн бүрийд хотын харагдац, үдэш
🌇	жаргах, нар, нар жаргах
🌉	гүүр, шөнийн гүүр, шөнө
♨️	рашаан, уур, халуун, халуун рашаан
🎠	морин тойруулга, морь, тойруулга
🎡	алс, алсыг харагч, парк, тоглоом, харагч
🎢	галзуу хулгана, парк
💈	салон, үсчин, үсчин салон
🎪	майхан, тойруулга, цирк, циркийн майхан
🚂	зүтгүүр, тэрэг, төмөр зам, уур
🚃	зам, машин, тээвэр, төмөр, төмөр замын машин
🚄	галт, тэрэг, хурдан, хурдны галт тэрэг
🚅	галт, сумт, тэрэг, хурд, хурдны сумт галт тэрэг
🚆	галт, галт тэрэг, тэрэг
🚇️	метро, тээврийн хэрэгсэл
🚈	төмөр зам, хөнгөн, хөнгөн төмөр зам
🚉	буудал, галт тэрэг, галт тэрэгний буудал
🚊	машин, трамвай
🚝	дүүжин, дүүжин төмөр зам, төмөр зам
🚞	галт тэрэг, зам, уул, уулын галт тэргийн зам
🚋	машин, трамвай, трамвай машин
🚌	автобус, тээврийн хэрэгсэл
🚍️	автобус, ирж байгаа автобус, ирэх
🚎	машин, троллейбус, тээвэр
🚐	автобус, жижиг, жижиг оврын автобус, овор
🚑️	машин, эмнэлгийн машин, эмнэлэг
🚒	гал, галын машин, машин
🚓	машин, цагдаа, цагдаагийн машин
🚔️	ирж буй цагдаагийн машин, ирэх, машин, цагдаа
🚕	такси, тээврийн хэрэгсэл
🚖	ирж буй такси, ирэх, такси
🚗	автомашин, машин, тээврийн хэрэгсэл
🚘️	ирж байгаа машин, ирэх, машин
🚙	аялал, аялалын машин, машин
🚚	ачаа, тэрэг, хүргэлт, хүргэлтийн ачааны тэрэг
🚛	ачаа, бүхээг, бүхээгтэй ачааны тэрэг, тэрэг
🚜	трактор, тээврийн хэрэгсэл
🏎️	машин, уралдаан, уралдааны машин
🏍️	мотоцикл, мотоцикль, уралдаан
🛵	дугуй, мотор, моторт дугуй
🦽	гар тэргэнцэр, хөгжлийн бэрхшээл
🦼	моторт тэргэнцэр, хөгжлийн бэрхшээл
🛺	рикша, тук тук
🚲️	дугуй, унадаг, унадаг дугуй
🛴	жийх, самокат
🛹	скейтборд, хавтан
🚏	автобус, автобусны зогсоол, зогсоол
🛣️	зам, худны зам
🛤️	галт тэрэг, галт тэрэгний зам, зам
🛢️	газар, газрын тосны хүрд, тос, хүрд
⛽️	түгээгүүр, шатахуун, шатахуун түгээгүүр
🚨	гэрэл, машин, цагдаа, цагдаагийн машины гэрэл
🚥	гэрэл, зам, замын хөндлөн гэрэл, хөндлөн
🚦	босоо, гэрэл, зам, замын босоо гэрэл
🛑	зогс, зогсох тэмдэг, октагональ, тэмдэг
🚧	бүтээн байгуулалт, хаалт
⚓️	зангуу, усан онгоц
⛵️	дарвуул, завь
🛶	завь, сэлүүр, сэлүүрт завь
🚤	завь, хурдан, хурдан завь
🛳️	зорчих, зорчих хөлөг онгоц, хөлөг онгоц
⛴️	гатлага, гатлага хөлөг онгоц, хөлөг онгоц
🛥️	мотор, моторт онгоц, онгоц
🚢	тээвэр, хөлөг онгоц
✈️	онгоц, тээвэр
🛩️	жижиг, жижиг онгоц, онгоц
🛫	бүртгүүлэх, нисэх онгоц, онгоц, хөөрч буй онгоц, хөөрөх
🛬	газардах, ирж буй онгоц, ирэх нислэгүүд, нисэх онгоц, онгоц
🪂	дельтаплан, шүхрээр буух, шүхэр
💺	сандал, суудал
🚁	нисдэг, нисдэг тэрэг, тэрэг, тээвэр
🚟	Дүүжлэгддэг тээвэр, дүүжин тээвэр, төмөр зам
🚠	зам, кабель, уул, уулын кабель зам
🚡	агаар, агаарын трамвай, трамвай
🛰️	огторгуй, сансар, хиймэл дагуул
🚀	пуужин, сансар, тээврийн хэрэгсэл
🛸	нисдэг таваг, үл танигдах нисдэг биет
🛎️	зочид буудал, хонх
🧳	ачаа тээш, ачаагаа баглах, аялал
⌛️	цаг, элс, элсэн цаг
⏳️	гойжих, цаг, элс, элс нь гойжиж буй элсэн цаг
⌚️	бугуйн цаг, цаг
⏰	сэрүүлэг, сэрүүлэгтэй цаг, цаг
⏱️	секунд, секунд хэмжигч, хэмжигч
⏲️	хэмжигч, цаг, цаг хэмжигч
🕰️	зуухны цаг, ил, ил зуухны цаг
🕛️	12:00, арван хоёр цаг, цаг
🕧	12:00, 30, арван хоёр цаг гучин минут, минут, цаг
🕐️	1:00, нэг цаг, цаг
🕜	1:00, 30, минут, нэг цаг гучин минут, цаг
🕑️	2:00, хоёр цаг, цаг
🕝	2:00, 30, минут, хоёр цаг гучин минут, цаг
🕒️	3:00, гурван цаг, цаг
🕞	30, 3:00, гурван цаг гучин минут, минут, цаг
🕓️	4:00, дөрвөн цаг, цаг
🕟	30, 4:00, дөрвөн цаг гучин минут, минут, цаг
🕔️	5:00, таван цаг, цаг
🕠	30, 5:00, минут, таван цаг гучин минут, цаг
🕕️	6:00, зургаан цаг, цаг
🕡	30, 6:00, зургаан цаг гучин минут, минут, цаг
🕖️	7:00, долоон цаг, цаг
🕢	30, 7:00, долоон цаг гучин минут, минут, цаг
🕗️	8:00, найман цаг, цаг
🕣	30, 8:00, минут, найман цаг гучин минут, цаг
🕘️	9:00, есөн цаг, цаг
🕤	30, 9:00, есөн цаг гучин минут, минут, цаг
🕙️	10:00, арван цаг, цаг
🕥	10:00, 30, арван цаг гучин минут, минут, цаг
🕚️	11:00, арван нэгэн цаг, цаг
🕦	11:00, 30, арван нэгэн цаг гучин минут, минут, цаг
🌑	одон гариг, сар, цаг агаар, шинэ, шинэ сар
🌒	одон гариг, сар, хавирга, хавирган сар (баруун), цаг агаар
🌓	сар, улирал, эхний улирлын сар, эхнийх
🌔	бүтэн, бүтэн сарын өмнөх сар, одон гариг, сар
🌕️	бүтэн, бүтэн сар, сар
🌖	бүтэн, бүтэн сарын дараах сар, сар, цаг агаар
🌗	сар, сүүлийн, сүүлийн улирлын сар, улирал, цаг агаар
🌘	одон гариг, сар, хавирга, хавирган сар (зүүн), цаг агаар
🌙	одон гариг, сар, хавирга, хавирган сар, цаг агаар
🌚	нүүр, нүүртэй шинэ сар, сар, шинэ
🌛	нүүр, нүүртэй эхний хагас сар, сар, хагас, цаг агаар
🌜️	нүүр, нүүртэй сүүлийн хагас сар, сар, хагас
🌡️	термометр, цаг агаар
☀️	нар, цаг агаар
🌝	бүтэн, нүүр, нүүртэй бүтэн сар, сар
🌞	нар, нүүр, нүүртэй нар, цаг агаар
🪐	санчир, санчир гараг, тойрог замтай гараг
⭐️	дундаж, од, цагаан, цагаан дундаж од
🌟	гялалзаж буй од, гялалзах, од, тэнгэр
🌠	аз, од, од харвах, харвах
🌌	зам, сүүн, сүүн зам
☁️	цаг агаар, үүл
⛅️	нар, үүл, үүлний цаагуурх нар
⛈️	бороо, нар, цахилгаан, цахилгаантай, нартай бороо
🌤️	жижиг, жижиг үүлний цаагуурх нар, нар, үүл
🌥️	нар, том, том үүлний цаагуурх нар, үүл
🌦️	бороо, бороотой үүлний цаагуурх нар, нар, үүл
🌧️	бороо, бороотой үүл, үүл
🌨️	цас, цастай үүл, үүл
🌩️	хур тунадас, цаг агаар, цахилгаан, цахилгаантай үүл, үүл
🌪️	хар салхи, цаг агаар
🌫️	манан, цаг агаар
🌬️	нүүр, салхи, салхиар үлээж буй нүүр, үлээх
🌀	цаг агаар, циклон
🌈	солонго, цаг агаар
🌂	бороо, нээгээгүй шүхэр, цаг агаар, шүхэр
☂️	бороо, нээсэн шүхэр, цаг агаар, шүхэр
☔️	бороо, борооны дусалтай зоонтог, дусал, зоонтог, цаг агаар
⛱️	бороо, борооны шүхэр, газар байгаа борооны шүхэр, газар байгаа зоонтог, нар
⚡️	аюул, тог цохих, уур, цахилгаан
❄️	хүйтэн, цас, цасан ширхэг, ширхэг
☃️	хүйтэн, цас, цасан хүн, цасан хүн дээр цас орж байна
⛄️	хүн, цаг агаар, цас, цасан хүн, өвөл
☄️	сансар огторгуй, сүүлт од
🔥	гал, гал хэрэгсэл
💧	дусал, ус, усны дусал
🌊	давалгаа, далай, ус, усны давалгаа
🎃	аймшгийн баяр, дэнлүү, хулуу, хулуугаар хийсэн дэнлүү
🎄	гацуур, зул сар, зул сарын гацуур, мод, шинэ жил
🎆	баяр ёслол, галын наадам, шинэ жил
🎇	баяр ёслол, бенгал, бенгалийн гал, гал, гялалзах
🧨	галын наадам, динамит, салют, тэсрэх бодис
✨	гэрэлтэх, од
🎈	баяр ёслол, шаар
🎉	чимэглэл, үдэшлэг, үдэшлэгийн чимэглэл
🎊	баяр ёслол, жингэнэгч хонх, жингэнэх, хонх
🎋	мод, танабата, танабата мод, япон
🎍	Японы, баяр тэмдэглэх, нарс, нарсан чимэглэл, хулс
🎎	хүүхэлдэй, япон, япон хүүхэлдэй
🎏	баяр, дарцаг тууз, мөрөг загас, мөрөг загасан дарцаг
🎐	баяр ёслол, салхи, салхин хонх, хонх
🎑	баяр, наадам, сар, сарын баяр
🧧	hóngbāo, lai see, амжилт хүсье, бэлэг, бэлэгний улаан дугтуй, мөнгө
🎀	баяр ёслол, тууз
🎁	баяр тэмдэглэх, боолттой, боолттой бэлэг, бэлэг, хайрцаг
🎗️	дурсгал, дурсгалын тууз, тууз, тэмдэглэлт баяр
🎟️	орох, орох тасалбар, тасалбар
🎫	тасалбар, элсэлт
🎖️	медаль, хүндэтгэл, цэргийн медал, цэрэг
🏆️	цом, шагнал
🏅	медал, спорт, спортын медал
🥇	1-р, 1-р байрны медаль, байр, медаль
🥈	2-р, 2-р байрны медаль, байр, медаль
🥉	3-р, 3-р байрны медаль, байр, медаль
⚽️	бөмбөг, спорт, хөлбөмбөг, хөлбөмбөгийн бөмбөг
⚾️	бейсбол, бөмбөг, спорт
🥎	бээлий, бөмбөг, софтбол, суга
🏀	сагсан бөмбөг, спорт
🏐	гар бөмбөг, тоглоом
🏈	америк, америк хөл бөмбөг, спорт, хөл бөмбөг
🏉	бөмбөг, регби, регбигийн бөмбөг, спорт
🎾	спорт, теннис
🥏	нисдэг тоглоом, шилдэг
🎳	боулинг, спорт
🏏	крикет, спорт
🏑	тоглоом, хоккей
🏒	мөс, мөсөн хоккейны хэрэгсэл, хоккей, хэрэгсэл
🥍	бөмбөг, гоол, лакрос, цохиур
🏓	теннис, ширээ, ширээний теннис
🏸	агаар, агаарын теннис, теннис
🥊	бокс, боксын бээлий, бээлий, спорт
🥋	жудо, зодооны өмсгөл, карате, таеквондо, тулааны урлаг, өмсгөл
🥅	гоол, гоолын хаалга, спорт, тор
⛳️	гольф, гольфийн нүх, нүх, спорт
⛸️	мөс, мөсөн тэшүүр, спорт, тэшүүр
🎣	загас, загасны уурга, уурга
🤿	скуба, сноркель, сноркельтой шумбах, шумбах
🎽	гүйлт, гүйлтийн майк, майк
🎿	спорт, цана, цас
🛷	чарга
🥌	кёрлинг, тоглоом, чулуу
🎯	дартс, онох, тоглоом
🪀	тоглоом, хэлбэлзэл, ёо-ёо
🪁	нисэх, цаасан шувуу, элин халих
🎱	биллиард, спорт
🔮	бөмбөлөг, кристал, кристал бөмбөлөг, төсөөлөл, үлгэр
🧿	зүүлт, назар, талисман, увидас, цэнхэр нүд, чөтгөрийн нүд
🎮️	видео, видео тоглоом, тоглоом
🕹️	тоглоом, удирдлага
🎰	машин, тоглоом, хонжвор, хонжворт тоглоомын машин
🎲	тоглоом, тоглоомон шоо, шоо
🧩	сэжим, таавар, харилцан хамаарал, хэсэг, эвлүүлдэг зураг
🧸	зугаа, тоглоом, тэдди бамбарууш, хилэн, чихмэл
♠️	гил, тоглоом, хөзрийн гил, хөзөр
♥️	бунд, тоглоом, хөзрийн бунд, хөзөр
♦️	дөрвөлжин, тоглоом, хөзрийн дөрвөлжин, хөзөр
♣️	тоглоом, хөзрийн цэцэг, хөзөр, цэцэг
♟️	хууртсан, хэрэгцээгүй болсон, шатар, шатрын хүү
🃏	тоглоом, хүн, хөзрийн хүн, хөзөр
🀄️	луу, мажонг, мажонг улаан луу, улаан
🎴	тоглоом, хөзөр, цэцэг, япон
🎭️	баг, жүжиг
🖼️	жааз, жаазтай зураг, зураг, уран зураг
🎨	паллет, уран зураг, уран зургийн паллет
🧵	зүү, оёх, утас, утасны дамар
🧶	бөөрөнхий, дэгээ зүүгээр нэхэх, нэхмэлийн утас, сүлжмэл
👓️	хараа, харааны шил, шил
🕶️	нар, нарны шил, шил
🥽	гагнуур, нүдний хамгаалалт, нүдний шил, усанд сэлэлт
🥼	лабораторын өмсгөл, туршилт, шинжлэх ухаанч, эмч
🦺	аврах, аврах хантааз, осол, тусламж, хантааз
👔	зангиа, хувцас
👕	подволк, хувцас
👖	жинс, хувцас
🧣	алчуур, хүзүү
🧤	бээлий, гар
🧥	хүрэм, цув
🧦	оймс, трико
👗	даашинз, хувцас
👘	кимоно, хувцас
🥻	саарий, хувцас ︱ даашинз
🩱	усны хувцас, усны үргэлж хувцас
🩲	дотуур хувцас, дотуур өмд, купальник, салдаггүй, усны хувцас
🩳	богино өмд, дотуур өмд, усны хувцас, өмд
👙	сэлэлт, усны хувцас
👚	хувцас, эмэгтэй, эмэгтэй хувцас
👛	зоос, түрийвч
👜	гар, гар цүнх, цүнх, эдлэл
👝	цүнх, эдлэл
🛍️	буудал, дэлгүүр, дэлгүүр хэсэг зориулалттай цүнх, цүнх
🎒	сургуулийн үүргэвч, сургууль, үүргэвч
👞	гутал, эрэгтэй, эрэгтэй гутал
👟	гутал, гүйлт, пүүз
🥾	гутал, кэмп, ууланд авирах, уулны гутал, үүргэвчтэй аялал
🥿	гэрийн шаахай, намхан ултай гутал, үдээсгүй гутал
👠	гутал, хувцаслалт, эмэгтэй, өндөр өсгийт, өндөр өсгийтэй гутал
👡	углааш, хүн, эмэгтэй, эмэгтэй углааш
🩰	балет, балетын шаахай, бүжиг
👢	гутал, хүн, эмэгтэй, эмэгтэй гутал
👑	гүнж, титэм, хаан, хатан
👒	малгай, хувцас, эмэгтэй, эмэгтэй малгай
🎩	малгай, хувцас өмсгөл, өндөр, өндөр малгай
🎓️	их сургууль, малгай, оюутан, төгсөлт, төгсөлтийн малгай
🧢	бейсболын малгай, саравчтай малгай
⛑️	загалмай, малгай, хамгаалалт, цагаан, цагаан загалмайтай хамгаалалтын малгай
📿	залбирал, хүзүүний зүүлт, эрх
💄	косметик, нүүрний будаг, уруулын будаг
💍	алмааз, бөгж, хайр дурлал, хурим
💎	алмааз, хайр дурлал, үнэт эдлэл
🔇	хаалттай, яригч, яригч хаалттай
🔈️	түвшин, яригч
🔉	нээлттэй, яригч, яригч нээлттэй
🔊	дуу, чанга, яригч, яригчийн дуу чанга
📢	олон нийт, чанга, чанга яригч, яригч
📣	дэмжигч, цагаан хоолой, цагаан хоолойн чанга яригч, чанга яригч
📯	бүрээ, шуудан, шуудангийн, шуудангийн бүрээ
🔔	нээлттэй хонх, хонх
🔕	хонх, хориглосон, хориглосон хонх, чимээгүй
🎼	нот, нотны шугам, хөгжим, шугам
🎵	нот, хөгжим, хөгжмийн нот
🎶	нот, хөгжим, хөгжмийн нотнууд
🎙️	микрофон, студи, студийн микрофон
🎚️	дуу, дууны түвшин тохируулагч, тохируулагч, түвшин
🎛️	тохируулагч, хөгжим
🎤	караоке, микрофон
🎧️	чихэвч
📻️	видео, радио
🎷	саксафон, хөгжим
🎸	гитар, хөгжим
🎹	товчлуур, төгөлдөр хуур, төгөлдөр хуурын товчлуур, хөгжим
🎺	хөгжим, эвэр бүрээ
🎻	хийл, хөгжим
🪕	банжо, хөгжим, чавхдас
🥁	бөмбөр, хөгжим, цохиур
📱	гар утас, утас
📲	гар утас, гар утсыг заасан нум, нум
☎️	суурин, суурин утас, утас
📞	утас, утасны харилцуур, харилцуур
📟️	пейжер
📠	машин, факс, факсын машин
🔋	батерей
🔌	залгуур, цахилгаан
💻️	зөөврийн компьютер, зөөвөр, компьютер
🖥️	компьютер, ширээ, ширээний компьютер
🖨️	компьютер, хэвлэгч
⌨️	гар, компьютер, компьютерийн гар
🖱️	компьютер, компьютерийн хулгана, хулгана
🖲️	бөмбөг, удирдлага, удирдлагын бөмбөг
💽	диск, жижиг, жижиг диск
💾	диск, уян, уян диск
💿️	диск, оптик, оптик диск
📀	blu-ray, dvd, диск, компьютер, оптикал
🧮	сампин, тооцоолол
🎥	камер, кино, киноны камер
🎞️	кино, кино хальсны хүрээ, хүрээ
📽️	кино, кино проектор, проектор
🎬️	кадр, кино
📺️	видео, тв, телевизор
📷️	видео, камер
📸	асдаг, гэрэл, гэрэл асдаг камер, камер
📹️	видео, видео камер, камер
📼	видео, видеоны хуурцаг, хуурцаг
🔍	зүүн, зүүн томруулагч шил, томруулагч, шил
🔎	баруун, баруун томруулагч шил, томруулагч, шил
🕯️	гэрэл, лаа
💡	гэрлийн чийдэн, гэрэл, чийдэн
🔦	багаж, гар чийдэн, гэрэл, цахилгаан
🏮	дэнлүү, цаас, цаасан дэнлүү
🪔	дэнлүү, тос, тосон дэн
📔	дэвтэр, тэмдэглэл, тэмдэглэлийн дэвтэр, чимэглэл
📕	ном, хаалттай, хаалттай ном
📖	ном, нээлттэй, нээлттэй ном
📗	ногоон, ногоон ном, ном
📘	ном, цэнхэр, цэнхэр ном
📙	ном, улбар шар, улбар шар ном
📚️	ном
📓	дэвтэр
📒	дэвтэр, өврийн дэвтэр, өвөр
📃	бичиг баримт, хуудас
📜	хуйлмал, цаас
📄	бичиг баримт, цаас
📰	мэдээ, сонин, цаас
🗞	сонин, хуйлмал, хуйлмал сонин
📑	хавчуурга, хавчуургын чихтэй хуудас, чихтэй хуудас
🔖	номны хавчуурга, тэмдэглэх
🏷️	шошго
💰️	мөнгө, мөнгөтэй цүнх, цүнх
💴	иен, иений мөнгөн тэмдэгт, мөнгө, мөнгөн тэмдэгт
💵	доллар, долларын мөнгөн тэмдэгт, мөнгө, мөнгөн тэмдэгт
💶	евро, евроны мөнгөн тэмдэгт, мөнгө, мөнгөн тэмдэгт
💷	мөнгө, мөнгөн тэмдэгт, фунт, фунтын мөнгөн тэмдэгт
💸	далавч, далавчтай мөнгө, мөнгө
💳️	карт, кредит, кредит карт, мөнгө
🧾	баримт, данс хөтлөх, нотолгоо, нягтлан бодох, төлбөрийн баримт
💹	диаграмм, иен, иений өгсөж буй диаграмм, иений өсч буй диаграмм, мөнгө, өсөлт
💱	арилжаа, валют, валют арилжаа
💲	доллар, долларын тэмдэг, тэмдэг
✉️	дугтуй, захиа, имэйл
📧	захиа, имэйл
📨	дугтуй, захиа, ирж буй дугтуй, ирсэн
📩	дугтуй, захиа, сум, сумтай дугтуй, явуулсан
📤️	захиа, хайрцаг, явуулсан, явуулсан хайрцаг
📥️	захиа, ирсэн, ирсэн хайрцаг, хайрцаг
📦️	илгээмж, хайрцаг
📫️	туг, хаалттай, хайрцаг, шуудан, шуудангийн дээр тугтай хайрцаг
📪️	туг, хайрцаг, шуудан, шуудангийн доор тугтай хайрцаг
📬️	Тугтай онгорхой шуудангийн хайрцаг, онгорхой, тугтай онгорхой шуудангийн хайрцаг, шуудан, шуудангийн хайрцаг
📭️	буулгасан, онгорхой, тугийг нь буулгасан онгорхой шуудангийн хайрцаг, шуудан, шуудангийн хайрцаг
📮	хайрцаг, шуудан, шуудангийн хайрцаг
🗳️	санал, саналын хайрцаг, хайрцаг
✏️	харандаа
✒️	хар үзгийн хошуу, үзгийн хошуу, үзэг
🖋️	бэх, бэхтэй үзэг, үзэг
🖊️	бал, тосон бал
🖌️	бийр, зураг, зургийн бийр
🖍️	тосон харандаа
📝	тэмдэглэл, харандаа
💼	ажил хэргийн цүнх, ажил хэрэг, цүнх
📁	файл, файлын хавтас, хавтас
📂	онгорхой, онгорхой файлын хавтас, файл, хавтас
🗂️	карт, карт хуваарилагч, хуваарилагч
📅	огноо, хуанли
📆	урах, урдаг хуанли, хуанли
🗒️	тэмдэглэл, хуудас, эргүүлдэг тэмдэглэлийн хуудас, эргүүлэх
🗓️	хуанли, эргүүлдэг хуанли, эргүүлэх
📇	индекс, карт, картын индекс
📈	диаграмм, нэмэгдэж буй диаграмм, нэмэгдэх, чиг хандлага
📉	диаграмм, доошилж буй диаграмм, доошлох, чиг хандлага
📊	график, график хүснэгт, хүснэгт, үзүүлэлт
📋️	самбар
📌	хатгуур, хатгуур кноп
📍	бөөрөнхий, бөөрөнхий тогтоогч, тогтоогч
📎	хавчуурга, цаас, цаасны хавчуурга
🖇️	хавчуурга, холбох, цаас, цаасны холбосон хавчуурга
📏	шугам, шулуун, өнцөг
📐	багц, гурвалжин, гурвалжин шугам, шугам
✂️	багаж, хайч
🗃️	карт, картын хайрцаг, файл, хайрцаг
🗄️	файл, файлын шүүгээ, шүүгээ
🗑️	сав, хог, хогийн сав
🔒️	түгжээтэй, цоож
🔓️	онгорхой, онгорхой цоож, цоож
🔏	бал, цоож, цоож, бал
🔐	түлхүүр, цоож, цоож, түлхүүр
🔑	нууц үг, түлхүүр, цоож
🗝️	түлхүүр, хуучин, хуучин түлхүүр
🔨	алх, багаж
🪓	мод, сүх, хагалах, цавчих
⛏️	багаж, зээтүү, уурхай
⚒️	алх, алх, зээтүү, зээтүү
🛠️	алх, алх, түлхүүр, түлхүүр
🗡️	хутга, чинжаал, чинжаал хутга
⚔️	илбэ, солбиж тавьсан илбэ, солбих
🔫	багаж, буу, гар буу, зэвсэг
🏹	нум, нум сум, сум
🛡️	бамбай, дуулга, зэвсэг
🔧	түлхүүр, чангалах, эрэг, эрэг чангалах түлхүүр
🔩	боолт, эрэг, эрэг боолт
⚙️	багаж, хөдөлгүүр
🗜️	багаж, бахь, шахагч
⚖️	Либра, жин, жинлүүр, зурхай, тэнцвэр, шударга ёс
🦯	сохор, хараагүй, хараагүй хүний таяг, хөгжлийн бэрхшээл
🔗	гогцоо
⛓️	гинж
🧰	багаж, багажны хайрцаг, механик, чээж
🧲	соронз, татах, тах
⚗️	багаж, нэрэх тогоо, хими
🧪	лаб, туршилт, хими, химич, хуруу шил, шинжлэх ухаан
🧫	бактер, биологи, биологич, лаб, петрийн аяга, соёл
🧬	ДНА, амьдрал, биологич, ген, генетик, хувьсал
🔬	багаж, микроскоп
🔭	багаж, телескоп
📡	антен, дагуул, хиймэл, хиймэл дагуулын антен
💉	тариа, эмч
🩸	дусал цус, сарын тэмдэг, цус хандивлах, эмнэлэг
💊	эм, эмнэлэг
🩹	боолт, хурууны наалт
🩺	зүрх, чагнуур, эмнэлэг, эмч
🚪	хаалга
🛏️	гэр, зочид буудал, ор
🛋️	буйдан, буйдан, ширээний гэрэл, ширээний гэрэл
🪑	сандал, суудал, суух
🚽	жорлон
🚿	орох, ус, усанд орох
🛁	ванн
🪒	ир, сахал хусах, сахлын хутга, хутга
🧴	нарны тос, тос, тосны сав, чийгшүүлэгч, шампунь
🧷	живх, панк рок, сүлбээр зүү
🧹	хогийн шүүр, цэвэрлэгээ, шулам, шүүрдэх
🧺	зугаалга, сагс, ферм, хувцас угаалга
🧻	жорлонгийн цаас, хуйлсан цаас, цаасан алчуур
🧼	саван, савангийн тавиур, усанд орох, хөөс, цэвэрлэгээ
🧽	хөвсгөр ус шингээгч резин, хөөстэй, цэвэрлэгээ, шингээх
🧯	гал, гал унтраагч, унтраах
🛒	дэлгүүр, дэлгүүрийн тэрэг, тэрэг, худалдан авах
🚬	тамхи, тамхи татах, татах
⚰️	авс, нас барах, үхэл
⚱️	ваар, сав, хадгалах, чандар, чандар хадгалах сав, үнс
🗿	хүн, хүн чулуу, чулуу
🏧	ATM, ATM-н тэмдэг, автоматжуулсан, банк, теллер
🚮	тэмдэг, хийх, хог, хогийн сав, хогоо хогийн саванд хийх тэмдэг
🚰	унд, ундны ус, ус
♿️	тэргэнцэр, хүрэлт
🚹️	эрэгтэйчүүд, эрэгтэйчүүдийн өрөө, өрөө
🚺️	эмэгтэйчүүд, эмэгтэйчүүдийн өрөө, өрөө
🚻	ариун цэврийн өрөө, ариун цэвэр, өрөө
🚼️	дүрс тэмдэг, нялх, нялх хүүхдийн дүрс тэмдэг, хүүхэд
🚾	ус, усны шүүгээ, шүүгээ
🛂	паспорт, паспортын шалгалт, шалгалт
🛃	шалган
🛄	тээш, тээшний шаардлага, шаардлага
🛅	орхисон тээш, орхих, тээш
⚠️	анхааруулга
🚸	гарах, зам, хүүхэд, хүүхэд зам гарах
⛔️	зөвшөөрөлгүй, нэвтрэх, нэвтэрч болохгүй
🚫	хориглосон, хориглох
🚳	дугуй, дугуй унахыг хориглоно, унах, хориглох
🚭️	тамхи, тамхи татахыг хориглоно, татах, хориглох
🚯	хаях, хог, хог хаяхыг хориглоно, хориглох
🚱	унд, ундны бус ус, ус
🚷	зам гарах, зам гарахыг хориглоно, хориглох
📵	утас, утас хориглосон, хориглосон
🔞	18, 18-с доош насныханд хориглоно, доош, нас, хориглох
☢️	тэмдэг, цацраг идэвхт
☣️	биологи, биологийн
⬆️	дээш, дээшээ сум, сум
↗️	баруун, баруун дээшээ сум, дээш, сум
➡️	баруун, баруун сум, сум
↘️	баруун, баруун доошоо сум, доош, сум
⬇️	доош, доошоо сум, сум
↙️	доош, зүүн, зүүн доошоо сум, сум
⬅️	зүүн, зүүн сум, сум
↖️	дээш, зүүн, зүүн дээшээ сум, сум
↕️	доош, дээш, дээш доошоо сум, сум
↔️	баруун, зүүн, зүүн-баруун сум, сум
↩️	баруун, зүүн, зүүн эргэсэн баруун сум, сум, эргэх
↪️	баруун, баруун эргэсэн зүүн сум, зүүн, сум, эргэх
⤴️	баруун, дээш, дээшээ заасан баруун сум, заах, сум
⤵️	баруун, доош, доошоо заасан баруун сум, сум
🔃	босоо, сум, цагийн зүү, цагийн зүүний босоо сум
