😀	guyu, rai, rai ngguyu
👩🏿‍🔬	ahli biologi, ahli fisika, ahli kimia, ilmuwan, ilmuwan wadon: kulit ireng, insinyur, kulit ireng, wadon
👨‍💻	ahli teknologi, ahli teknologi lanang, developer, koder, lanang, panemu, prangkat alus
👨🏻‍💻	ahli teknologi, ahli teknologi lanang, ahli teknologi lanang: kulit putih, developer, koder, kulit putih, lanang, panemu, prangkat alus
👨🏼‍💻	ahli teknologi, ahli teknologi lanang, ahli teknologi lanang: kulit putih langsep, developer, koder, kulit putih langsep, lanang, panemu, prangkat alus
👨🏽‍💻	ahli teknologi, ahli teknologi lanang, ahli teknologi lanang: kulit kuning, developer, koder, kulit kuning, lanang, panemu, prangkat alus
👨🏾‍💻	ahli teknologi, ahli teknologi lanang, ahli teknologi lanang: kulit sawo mateng, developer, koder, kulit sawo mateng, lanang, panemu, prangkat alus
👨🏿‍💻	ahli teknologi, ahli teknologi lanang, ahli teknologi lanang: kulit ireng, developer, koder, kulit ireng, lanang, panemu, prangkat alus
👩‍💻	ahli teknologi, ahli teknologi wadon, developer, koder, panemu, prangkat alus, wadon
👩🏻‍💻	ahli teknologi, ahli teknologi wadon, ahli teknologi wadon: kulit putih, developer, koder, kulit putih, panemu, prangkat alus, wadon
👩🏼‍💻	ahli teknologi, ahli teknologi wadon, ahli teknologi wadon: kulit putih langsep, developer, koder, kulit putih langsep, panemu, prangkat alus, wadon
👩🏽‍💻	ahli teknologi, ahli teknologi wadon, ahli teknologi wadon: kulit kuning, developer, koder, kulit kuning, panemu, prangkat alus, wadon
👩🏾‍💻	ahli teknologi, ahli teknologi wadon, ahli teknologi wadon: kulit sawo mateng, developer, koder, kulit sawo mateng, panemu, prangkat alus, wadon
👩🏿‍💻	ahli teknologi, ahli teknologi wadon, ahli teknologi wadon: kulit ireng, developer, koder, kulit ireng, panemu, prangkat alus, wadon
👨‍🎤	aktor, biduan, biduan lanang, lanang, musik rock, panampil, selebriti
👨🏻‍🎤	aktor, biduan, biduan lanang: kulit putih, kulit putih, lanang, musik rock, panampil, selebriti
👨🏼‍🎤	aktor, biduan, biduan lanang: kulit putih langsep, kulit putih langsep, lanang, musik rock, panampil, selebriti
👨🏽‍🎤	aktor, biduan, biduan lanang: kulit kuning, kulit kuning, lanang, musik rock, panampil, selebriti
👨🏾‍🎤	aktor, biduan, biduan lanang: kulit sawo mateng, kulit sawo mateng, lanang, musik rock, panampil, selebriti
👨🏿‍🎤	aktor, biduan, biduan lanang: kulit ireng, kulit ireng, lanang, musik rock, panampil, selebriti
👩‍🎤	aktor, biduan, biduan wadon, musik rock, panampil, selebriti, wadon
👩🏻‍🎤	aktor, biduan, biduan wadon: kulit putih, kulit putih, musik rock, panampil, selebriti, wadon
👩🏼‍🎤	aktor, biduan, biduan wadon: kulit putih langsep, kulit putih langsep, musik rock, panampil, selebriti, wadon
👩🏽‍🎤	aktor, biduan, biduan wadon: kulit kuning, kulit kuning, musik rock, panampil, selebriti, wadon
👩🏾‍🎤	aktor, biduan, biduan wadon: kulit sawo mateng, kulit sawo mateng, musik rock, panampil, selebriti, wadon
👩🏿‍🎤	aktor, biduan, biduan wadon: kulit ireng, kulit ireng, musik rock, panampil, selebriti, wadon
👨‍🎨	artis, lanang, palet, seniman
👨🏻‍🎨	artis, kulit putih, lanang, palet, seniman, seniman: kulit putih
👨🏼‍🎨	artis, kulit putih langsep, lanang, palet, seniman, seniman: kulit putih langsep
👨🏽‍🎨	artis, kulit kuning, lanang, palet, seniman, seniman: kulit kuning
👨🏾‍🎨	artis, kulit sawo mateng, lanang, palet, seniman, seniman: kulit sawo mateng
👨🏿‍🎨	artis, kulit ireng, lanang, palet, seniman, seniman: kulit ireng
👩‍🎨	artis, artis wadon, palet, wadon
👩🏻‍🎨	artis, artis wadon: kulit putih, kulit putih, palet, wadon
👩🏼‍🎨	artis, artis wadon: kulit putih langsep, kulit putih langsep, palet, wadon
👩🏽‍🎨	artis, artis wadon: kulit kuning, kulit kuning, palet, wadon
👩🏾‍🎨	artis, artis wadon: kulit sawo mateng, kulit sawo mateng, palet, wadon
👩🏿‍🎨	artis, artis wadon: kulit ireng, kulit ireng, palet, wadon
👨‍✈	lanang, montor mabur, pilot, pilot lanang
👨🏻‍✈	kulit putih, lanang, montor mabur, pilot, pilot lanang: kulit putih
👨🏼‍✈	kulit putih langsep, lanang, montor mabur, pilot, pilot lanang: kulit putih langsep
👨🏽‍✈	kulit kuning, lanang, montor mabur, pilot, pilot lanang: kulit kuning
👨🏾‍✈	kulit sawo mateng, lanang, montor mabur, pilot, pilot lanang: kulit sawo mateng
👨🏿‍✈	kulit ireng, lanang, montor mabur, pilot, pilot lanang: kulit ireng
👩‍✈	montor mabur, pilot, pilot wadon, wadon
👩🏻‍✈	kulit putih, montor mabur, pilot, pilot wadon: kulit putih, wadon
👩🏼‍✈	kulit putih langsep, montor mabur, pilot, pilot wadon: kulit putih langsep, wadon
👩🏽‍✈	kulit kuning, montor mabur, pilot, pilot wadon: kulit kuning, wadon
👩🏾‍✈	kulit sawo mateng, montor mabur, pilot, pilot wadon: kulit sawo mateng, wadon
👩🏿‍✈	kulit ireng, montor mabur, pilot, pilot wadon: kulit ireng, wadon
👨‍🚀	astronot, astronot lanang, lanang, roket
👨🏻‍🚀	astronot, astronot lanang: kulit putih, kulit putih, lanang, roket
👨🏼‍🚀	astronot, astronot lanang: kulit putih langsep, kulit putih langsep, lanang, roket
👨🏽‍🚀	astronot, astronot lanang: kulit kuning, kulit kuning, lanang, roket
👨🏾‍🚀	astronot, astronot lanang: kulit sawo mateng, kulit sawo mateng, lanang, roket
👨🏿‍🚀	astronot, astronot lanang: kulit ireng, kulit ireng, lanang, roket
👩‍🚀	astronot, astronot wadon, roket, wadon
👩🏻‍🚀	astronot, astronot wadon: kulit putih, kulit putih, roket, wadon
👩🏼‍🚀	astronot, astronot wadon: kulit putih langsep, kulit putih langsep, roket, wadon
👩🏽‍🚀	astronot, astronot wadon: kulit kuning, kulit kuning, roket, wadon
👩🏾‍🚀	astronot, astronot wadon: kulit sawo mateng, kulit sawo mateng, roket, wadon
👩🏿‍🚀	astronot, astronot wadon: kulit ireng, kulit ireng, roket, wadon
👨‍🚒	blamwir, damkar, damkar lanang, lanang
👨🏻‍🚒	blamwir, damkar, damkar lanang: kulit putih, kulit putih, lanang
👨🏼‍🚒	blamwir, damkar, damkar lanang: kulit putih langsep, kulit putih langsep, lanang
👨🏽‍🚒	blamwir, damkar, damkar lanang: kulit kuning, kulit kuning, lanang
👨🏾‍🚒	blamwir, damkar, damkar lanang: kulit sawo mateng, kulit sawo mateng, lanang
👨🏿‍🚒	blamwir, damkar, damkar lanang: kulit ireng, kulit ireng, lanang
👩‍🚒	blamwir, damkar, damkar wadon, wadon
👩🏻‍🚒	blamwir, damkar, damkar wadon: kulit putih, kulit putih, wadon
👩🏼‍🚒	blamwir, damkar, damkar wadon: kulit putih langsep, kulit putih langsep, wadon
👩🏽‍🚒	blamwir, damkar, damkar wadon: kulit kuning, kulit kuning, wadon
👩🏾‍🚒	blamwir, damkar, damkar wadon: kulit sawo mateng, kulit sawo mateng, wadon
👩🏿‍🚒	blamwir, damkar, damkar wadon: kulit ireng, kulit ireng, wadon
👮	aparat, pulisi
👮🏻	aparat, kulit putih, pulisi, pulisi: kulit putih
👮🏼	aparat, kulit putih langsep, pulisi, pulisi: kulit putih langsep
👮🏽	aparat, kulit kuning, pulisi, pulisi: kulit kuning
👮🏾	aparat, kulit sawo mateng, pulisi, pulisi: kulit sawo mateng
👮🏿	aparat, kulit ireng, pulisi, pulisi: kulit ireng
👮‍♂	aparat, lanang, pulisi, pulisi lanang
👮🏻‍♂	aparat, kulit putih, lanang, pulisi, pulisi lanang: kulit putih
👮🏼‍♂	aparat, kulit putih langsep, lanang, pulisi, pulisi lanang: kulit putih langsep
👮🏽‍♂	aparat, kulit kuning, lanang, pulisi, pulisi lanang: kulit kuning
👮🏾‍♂	aparat, kulit sawo mateng, lanang, pulisi, pulisi lanang: kulit sawo mateng
👮🏿‍♂	aparat, kulit ireng, lanang, pulisi, pulisi lanang: kulit ireng
👮‍♀	aparat, pulisi, pulisi wadon, wadon
👮🏻‍♀	aparat, kulit putih, pulisi, pulisi wadon: kulit putih, wadon
👮🏼‍♀	aparat, kulit putih langsep, pulisi, pulisi wadon: kulit putih langsep, wadon
👮🏽‍♀	aparat, kulit kuning, pulisi, pulisi wadon: kulit kuning, wadon
👮🏾‍♀	aparat, kulit sawo mateng, pulisi, pulisi wadon: kulit sawo mateng, wadon
👮🏿‍♀	aparat, kulit ireng, pulisi, pulisi wadon: kulit ireng, wadon
🕵️	dhetektif, nelik, telik sandi
🕵🏻	dhetektif, dhetektif: kulit putih, kulit putih, nelik, telik sandi
🕵🏼	dhetektif, dhetektif: kulit putih langsep, kulit putih langsep, nelik, telik sandi
🕵🏽	dhetektif, dhetektif: kulit kuning, kulit kuning, nelik, telik sandi
🕵🏾	dhetektif, dhetektif: kulit sawo mateng, kulit sawo mateng, nelik, telik sandi
🕵🏿	dhetektif, dhetektif: kulit ireng, kulit ireng, nelik, telik sandi
🕵‍♂	dhetektif, dhetektif lanang, lanang, nelik, telik sandi
🕵🏻‍♂	dhetektif, dhetektif lanang: kulit putih, kulit putih, lanang, nelik, telik sandi
🕵🏼‍♂	dhetektif, dhetektif lanang: kulit putih langsep, kulit putih langsep, lanang, nelik, telik sandi
🕵🏽‍♂	dhetektif, dhetektif lanang: kulit kuning, kulit kuning, lanang, nelik, telik sandi
🕵🏾‍♂	dhetektif, dhetektif lanang: kulit sawo mateng, kulit sawo mateng, lanang, nelik, telik sandi
🕵🏿‍♂	dhetektif, dhetektif lanang: kulit ireng, kulit ireng, lanang, nelik, telik sandi
🕵‍♀	dhetektif, dhetektif wadon, nelik, telik sandi, wadon
🕵🏻‍♀	dhetektif, dhetektif wadon: kulit putih, kulit putih, nelik, telik sandi, wadon
🕵🏼‍♀	dhetektif, dhetektif wadon: kulit putih langsep, kulit putih langsep, nelik, telik sandi, wadon
🕵🏽‍♀	dhetektif, dhetektif wadon: kulit kuning, kulit kuning, nelik, telik sandi, wadon
🕵🏾‍♀	dhetektif, dhetektif wadon: kulit sawo mateng, kulit sawo mateng, nelik, telik sandi, wadon
🕵🏿‍♀	dhetektif, dhetektif wadon: kulit ireng, kulit ireng, nelik, telik sandi, wadon
💂	prejurit
💂🏻	kulit putih, prejurit, prejurit: kulit putih
💂🏼	kulit putih langsep, prejurit, prejurit: kulit putih langsep
💂🏽	kulit kuning, prejurit, prejurit: kulit kuning
💂🏾	kulit sawo mateng, prejurit, prejurit: kulit sawo mateng
💂🏿	kulit ireng, prejurit, prejurit: kulit ireng
💂‍♂	lanang, prejurit, prejurit lanang
💂🏻‍♂	kulit putih, lanang, prejurit, prejurit lanang: kulit putih
💂🏼‍♂	kulit putih langsep, lanang, prejurit, prejurit lanang: kulit putih langsep
💂🏽‍♂	kulit kuning, lanang, prejurit, prejurit lanang: kulit kuning
💂🏾‍♂	kulit sawo mateng, lanang, prejurit, prejurit lanang: kulit sawo mateng
💂🏿‍♂	kulit ireng, lanang, prejurit, prejurit lanang: kulit ireng
💂‍♀	prejurit, prejurit wadon, wadon
💂🏻‍♀	kulit putih, prejurit, prejurit wadon: kulit putih, wadon
💂🏼‍♀	kulit putih langsep, prejurit, prejurit wadon: kulit putih langsep, wadon
💂🏽‍♀	kulit kuning, prejurit, prejurit wadon: kulit kuning, wadon
💂🏾‍♀	kulit sawo mateng, prejurit, prejurit wadon: kulit sawo mateng, wadon
💂🏿‍♀	kulit ireng, prejurit, prejurit wadon: kulit ireng, wadon
👷	bangunan, buruh, buruh bangunan, helem
👷🏻	bangunan, buruh, buruh bangunan: kulit putih, helem, kulit putih
👷🏼	bangunan, buruh, buruh bangunan: kulit putih langsep, helem, kulit putih langsep
👷🏽	bangunan, buruh, buruh bangunan: kulit kuning, helem, kulit kuning
👷🏾	bangunan, buruh, buruh bangunan: kulit sawo mateng, helem, kulit sawo mateng
👷🏿	bangunan, buruh, buruh bangunan: kulit ireng, helem, kulit ireng
👷‍♂	bangunan, buruh, buruh bangunan lanang, lanang
👷🏻‍♂	bangunan, buruh, buruh bangunan lanang: kulit putih, kulit putih, lanang
👷🏼‍♂	bangunan, buruh, buruh bangunan lanang: kulit putih langsep, kulit putih langsep, lanang
👷🏽‍♂	bangunan, buruh, buruh bangunan lanang: kulit kuning, kulit kuning, lanang
👷🏾‍♂	bangunan, buruh, buruh bangunan lanang: kulit sawo mateng, kulit sawo mateng, lanang
👷🏿‍♂	bangunan, buruh, buruh bangunan lanang: kulit ireng, kulit ireng, lanang
👷‍♀	bangunan, buruh, buruh bangunan wadon, wadon
👷🏻‍♀	bangunan, buruh, buruh bangunan wadon: kulit putih, kulit putih, wadon
👷🏼‍♀	bangunan, buruh, buruh bangunan wadon: kulit putih langsep, kulit putih langsep, wadon
👷🏽‍♀	bangunan, buruh, buruh bangunan wadon: kulit kuning, kulit kuning, wadon
👷🏾‍♀	bangunan, buruh, buruh bangunan wadon: kulit sawo mateng, kulit sawo mateng, wadon
👷🏿‍♀	bangunan, buruh, buruh bangunan wadon: kulit ireng, kulit ireng, wadon
🤴	pangeran
🤴🏻	kulit putih, pangeran, pangeran: kulit putih
🤴🏼	kulit putih langsep, pangeran, pangeran: kulit putih langsep
🤴🏽	kulit kuning, pangeran, pangeran: kulit kuning
🤴🏾	kulit sawo mateng, pangeran, pangeran: kulit sawo mateng
🤴🏿	kulit ireng, pangeran, pangeran: kulit ireng
👸	dongeng, fantasi, putri
👸🏻	dongeng, fantasi, kulit putih, putri, putri: kulit putih
👸🏼	dongeng, fantasi, kulit putih langsep, putri, putri: kulit putih langsep
👸🏽	dongeng, fantasi, kulit kuning, putri, putri: kulit kuning
👸🏾	dongeng, fantasi, kulit sawo mateng, putri, putri: kulit sawo mateng
👸🏿	dongeng, fantasi, kulit ireng, putri, putri: kulit ireng
👳	serban, wong serbanan
👳🏻	kulit putih, serban, wong serbanan, wong serbanan: kulit putih
👳🏼	kulit putih langsep, serban, wong serbanan, wong serbanan: kulit putih langsep
👳🏽	kulit kuning, serban, wong serbanan, wong serbanan: kulit kuning
👳🏾	kulit sawo mateng, serban, wong serbanan, wong serbanan: kulit sawo mateng
👳🏿	kulit ireng, serban, wong serbanan, wong serbanan: kulit ireng
👳‍♂	lanang, serban, wong lanang serbanan
👳🏻‍♂	kulit putih, lanang, serban, wong lanang serbanan, wong lanang serbanan: kulit putih
👳🏼‍♂	kulit putih langsep, lanang, serban, wong lanang serbanan, wong lanang serbanan: kulit putih langsep
👳🏽‍♂	kulit kuning, lanang, serban, wong lanang serbanan, wong lanang serbanan: kulit kuning
👳🏾‍♂	kulit sawo mateng, lanang, serban, wong lanang serbanan, wong lanang serbanan: kulit sawo mateng
👳🏿‍♂	kulit ireng, lanang, serban, wong lanang serbanan, wong lanang serbanan: kulit ireng
👳‍♀	serban, wadon, wong wadon serbanan
👳🏻‍♀	kulit putih, serban, wadon, wong wadon serbanan, wong wadon serbanan: kulit putih
👳🏼‍♀	kulit putih langsep, serban, wadon, wong wadon serbanan, wong wadon serbanan: kulit putih langsep
👳🏽‍♀	kulit kuning, serban, wadon, wong wadon serbanan, wong wadon serbanan: kulit kuning
👳🏾‍♀	kulit sawo mateng, serban, wadon, wong wadon serbanan, wong wadon serbanan: kulit sawo mateng
👳🏿‍♀	kulit ireng, serban, wadon, wong wadon serbanan, wong wadon serbanan: kulit ireng
👲	gua pi mao, kethu, lanang, wong lanang nganggo kethu Cina
👲🏻	gua pi mao, kethu, kulit putih, lanang, wong lanang nganggo kethu Cina, wong lanang nganggo kethu Cina: kulit putih
👲🏼	gua pi mao, kethu, kulit putih langsep, lanang, wong lanang nganggo kethu Cina, wong lanang nganggo kethu Cina: kulit putih langsep
👲🏽	gua pi mao, kethu, kulit kuning, lanang, wong lanang nganggo kethu Cina, wong lanang nganggo kethu Cina: kulit kuning
👲🏾	gua pi mao, kethu, kulit sawo mateng, lanang, wong lanang nganggo kethu Cina, wong lanang nganggo kethu Cina: kulit sawo mateng
👲🏿	gua pi mao, kethu, kulit ireng, lanang, wong lanang nganggo kethu Cina, wong lanang nganggo kethu Cina: kulit ireng
🧕	hijab, kudhung, mantilla, tichel, wong wadon jilbaban
🧕🏻	hijab, kudhung, kulit putih, mantilla, tichel, wong wadon jilbaban, wong wadon jilbaban: kulit putih
🧕🏼	hijab, kudhung, kulit putih langsep, mantilla, tichel, wong wadon jilbaban, wong wadon jilbaban: kulit putih langsep
🧕🏽	hijab, kudhung, kulit kuning, mantilla, tichel, wong wadon jilbaban, wong wadon jilbaban: kulit kuning
🧕🏾	hijab, kudhung, kulit sawo mateng, mantilla, tichel, wong wadon jilbaban, wong wadon jilbaban: kulit sawo mateng
🧕🏿	hijab, kudhung, kulit ireng, mantilla, tichel, wong wadon jilbaban, wong wadon jilbaban: kulit ireng
🤵	lanang, penganten lanang, tuksedo, wong lanang anganggo jas tuksedo
🤵🏻	kulit putih, lanang, penganten lanang, tuksedo, wong lanang anganggo jas tuksedo, wong lanang anganggo jas tuksedo: kulit putih
🤵🏼	kulit putih langsep, lanang, penganten lanang, tuksedo, wong lanang anganggo jas tuksedo, wong lanang anganggo jas tuksedo: kulit putih langsep
🤵🏽	kulit kuning, lanang, penganten lanang, tuksedo, wong lanang anganggo jas tuksedo, wong lanang anganggo jas tuksedo: kulit kuning
🤵🏾	kulit sawo mateng, lanang, penganten lanang, tuksedo, wong lanang anganggo jas tuksedo, wong lanang anganggo jas tuksedo: kulit sawo mateng
🤵🏿	kulit ireng, lanang, penganten lanang, tuksedo, wong lanang anganggo jas tuksedo, wong lanang anganggo jas tuksedo: kulit ireng
👰	kudhung manten, penganten wadon, penganten wadon nganggo kudhung manten, pengantenan
👰🏻	kudhung manten, kulit putih, penganten wadon, penganten wadon nganggo kudhung manten, penganten wadon nganggo kudhung manten: kulit putih, pengantenan
👰🏼	kudhung manten, kulit putih langsep, penganten wadon, penganten wadon nganggo kudhung manten, penganten wadon nganggo kudhung manten: kulit putih langsep, pengantenan
👰🏽	kudhung manten, kulit kuning, penganten wadon, penganten wadon nganggo kudhung manten, penganten wadon nganggo kudhung manten: kulit kuning, pengantenan
👰🏾	kudhung manten, kulit sawo mateng, penganten wadon, penganten wadon nganggo kudhung manten, penganten wadon nganggo kudhung manten: kulit sawo mateng, pengantenan
👰🏿	kudhung manten, kulit ireng, penganten wadon, penganten wadon nganggo kudhung manten, penganten wadon nganggo kudhung manten: kulit ireng, pengantenan
🤰	ngandhut, wadon, wong wadon ngandhut
🤰🏻	kulit putih, ngandhut, wadon, wong wadon ngandhut, wong wadon ngandhut: kulit putih
🤰🏼	kulit putih langsep, ngandhut, wadon, wong wadon ngandhut, wong wadon ngandhut: kulit putih langsep
🤰🏽	kulit kuning, ngandhut, wadon, wong wadon ngandhut, wong wadon ngandhut: kulit kuning
🤰🏾	kulit sawo mateng, ngandhut, wadon, wong wadon ngandhut, wong wadon ngandhut: kulit sawo mateng
🤰🏿	kulit ireng, ngandhut, wadon, wong wadon ngandhut, wong wadon ngandhut: kulit ireng
🤱	bayi, menthili, nyusoni, penthil
🤱🏻	bayi, kulit putih, menthili, menthili: kulit putih, nyusoni, penthil
🤱🏼	bayi, kulit putih langsep, menthili, menthili: kulit putih langsep, nyusoni, penthil
🤱🏽	bayi, kulit kuning, menthili, menthili: kulit kuning, nyusoni, penthil
🤱🏾	bayi, kulit sawo mateng, menthili, menthili: kulit sawo mateng, nyusoni, penthil
