😀	muka, muka tersengih, sengih
👮🏾‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit sederhana gelap, polis, ton kulit sederhana gelap
👮🏿‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit gelap, polis, ton kulit gelap
👮‍♀	pegawai polis wanita, perempuan, polis, wanita
👮🏻‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit cerah, perempuan, polis, ton kulit cerah, wanita
👮🏼‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit sederhana cerah, perempuan, polis, ton kulit sederhana cerah, wanita
👮🏽‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit sederhana, perempuan, polis, ton kulit sederhana, wanita
👮🏾‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit sederhana gelap, perempuan, polis, ton kulit sederhana gelap, wanita
👮🏿‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit gelap, perempuan, polis, ton kulit gelap, wanita
🕵️	detektif, penyiasat, perisik
🕵🏻	detektif, detektif: ton kulit cerah, penyiasat, perisik, ton kulit cerah
🕵🏼	detektif, detektif: ton kulit sederhana cerah, penyiasat, perisik, ton kulit sederhana cerah
🕵🏽	detektif, detektif: ton kulit sederhana, penyiasat, perisik, ton kulit sederhana
🕵🏾	detektif, detektif: ton kulit sederhana gelap, penyiasat, perisik, ton kulit sederhana gelap
🕵🏿	detektif, detektif: ton kulit gelap, penyiasat, perisik, ton kulit gelap
🕵‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, pengintip
🕵🏻‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit cerah, pengintip, ton kulit cerah
🕵🏼‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit sederhana cerah, pengintip, ton kulit sederhana cerah
🕵🏽‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit sederhana, pengintip, ton kulit sederhana
🕵🏾‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit sederhana gelap, pengintip, ton kulit sederhana gelap
🕵🏿‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit gelap, pengintip, ton kulit gelap
🕵‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, pengintip, perempuan, wanita
🕵🏻‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit cerah, pengintip, perempuan, ton kulit cerah, wanita
🕵🏼‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit sederhana cerah, pengintip, perempuan, ton kulit sederhana cerah, wanita
🕵🏽‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit sederhana, pengintip, perempuan, ton kulit sederhana, wanita
🕵🏾‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit sederhana gelap, pengintip, perempuan, ton kulit sederhana gelap, wanita
🕵🏿‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit gelap, pengintip, perempuan, ton kulit gelap, wanita
💂	pengawal
💂🏻	pengawal, pengawal: ton kulit cerah, ton kulit cerah
💂🏼	pengawal, pengawal: ton kulit sederhana cerah, ton kulit sederhana cerah
💂🏽	pengawal, pengawal: ton kulit sederhana, ton kulit sederhana
💂🏾	pengawal, pengawal: ton kulit sederhana gelap, ton kulit sederhana gelap
💂🏿	pengawal, pengawal: ton kulit gelap, ton kulit gelap
💂‍♂	lelaki, pengawal, pengawal lelaki
💂🏻‍♂	lelaki, pengawal, pengawal lelaki: ton kulit cerah, ton kulit cerah
💂🏼‍♂	lelaki, pengawal, pengawal lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
💂🏽‍♂	lelaki, pengawal, pengawal lelaki: ton kulit sederhana, ton kulit sederhana
💂🏾‍♂	lelaki, pengawal, pengawal lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
💂🏿‍♂	lelaki, pengawal, pengawal lelaki: ton kulit gelap, ton kulit gelap
💂‍♀	pengawal, pengawal wanita, perempuan, wanita
💂🏻‍♀	pengawal, pengawal wanita: ton kulit cerah, perempuan, ton kulit cerah, wanita
💂🏼‍♀	pengawal, pengawal wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, wanita
💂🏽‍♀	pengawal, pengawal wanita: ton kulit sederhana, perempuan, ton kulit sederhana, wanita
💂🏾‍♀	pengawal, pengawal wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, wanita
💂🏿‍♀	pengawal, pengawal wanita: ton kulit gelap, perempuan, ton kulit gelap, wanita
👷	pekerja, pekerja pembinaan, pembinaan, topi
👷🏻	pekerja, pekerja pembinaan: ton kulit cerah, pembinaan, ton kulit cerah, topi
👷🏼	pekerja, pekerja pembinaan: ton kulit sederhana cerah, pembinaan, ton kulit sederhana cerah, topi
👷🏽	pekerja, pekerja pembinaan: ton kulit sederhana, pembinaan, ton kulit sederhana, topi
👷🏾	pekerja, pekerja pembinaan: ton kulit sederhana gelap, pembinaan, ton kulit sederhana gelap, topi
👷🏿	pekerja, pekerja pembinaan: ton kulit gelap, pembinaan, ton kulit gelap, topi
👷‍♂	lelaki, pekerja, pekerja pembinaan lelaki, pembinaan
👷🏻‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit cerah, pembinaan, ton kulit cerah
👷🏼‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit sederhana cerah, pembinaan, ton kulit sederhana cerah
👷🏽‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit sederhana, pembinaan, ton kulit sederhana
👷🏾‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit sederhana gelap, pembinaan, ton kulit sederhana gelap
👷🏿‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit gelap, pembinaan, ton kulit gelap
👷‍♀	pekerja, pekerja pembinaan wanita, pembinaan, perempuan, wanita
👷🏻‍♀	pekerja, pekerja pembinaan wanita: ton kulit cerah, pembinaan, perempuan, ton kulit cerah, wanita
👷🏼‍♀	pekerja, pekerja pembinaan wanita: ton kulit sederhana cerah, pembinaan, perempuan, ton kulit sederhana cerah, wanita
👷🏽‍♀	pekerja, pekerja pembinaan wanita: ton kulit sederhana, pembinaan, perempuan, ton kulit sederhana, wanita
👷🏾‍♀	pekerja, pekerja pembinaan wanita: ton kulit sederhana gelap, pembinaan, perempuan, ton kulit sederhana gelap, wanita
👷🏿‍♀	pekerja, pekerja pembinaan wanita: ton kulit gelap, pembinaan, perempuan, ton kulit gelap, wanita
🤴	putera
🤴🏻	putera, putera: ton kulit cerah, ton kulit cerah
🤴🏼	putera, putera: ton kulit sederhana cerah, ton kulit sederhana cerah
🤴🏽	putera, putera: ton kulit sederhana, ton kulit sederhana
🤴🏾	putera, putera: ton kulit sederhana gelap, ton kulit sederhana gelap
🤴🏿	putera, putera: ton kulit gelap, ton kulit gelap
👸	cerita dongeng, fantasi, puteri
👸🏻	cerita dongeng, fantasi, puteri, puteri: ton kulit cerah, ton kulit cerah
👸🏼	cerita dongeng, fantasi, puteri, puteri: ton kulit sederhana cerah, ton kulit sederhana cerah
👸🏽	cerita dongeng, fantasi, puteri, puteri: ton kulit sederhana, ton kulit sederhana
👸🏾	cerita dongeng, fantasi, puteri, puteri: ton kulit sederhana gelap, ton kulit sederhana gelap
👸🏿	cerita dongeng, fantasi, puteri, puteri: ton kulit gelap, ton kulit gelap
👳	lelaki, orang berserban, serban
👳🏻	lelaki, orang berserban, orang berserban: ton kulit cerah, serban, ton kulit cerah
👳🏼	lelaki, orang berserban, orang berserban: ton kulit sederhana cerah, serban, ton kulit sederhana cerah
👳🏽	lelaki, orang berserban, orang berserban: ton kulit sederhana, serban, ton kulit sederhana
👳🏾	lelaki, orang berserban, orang berserban: ton kulit sederhana gelap, serban, ton kulit sederhana gelap
👳🏿	lelaki, orang berserban, orang berserban: ton kulit gelap, serban, ton kulit gelap
👳‍♂	lelaki, lelaki berserban, serban
👳🏻‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit cerah, serban, ton kulit cerah
👳🏼‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit sederhana cerah, serban, ton kulit sederhana cerah
👳🏽‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit sederhana, serban, ton kulit sederhana
👳🏾‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit sederhana gelap, serban, ton kulit sederhana gelap
👳🏿‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit gelap, serban, ton kulit gelap
👳‍♀	perempuan, serban, wanita, wanita berserban
👳🏻‍♀	perempuan, serban, ton kulit cerah, wanita, wanita berserban, wanita berserban: ton kulit cerah
👳🏼‍♀	perempuan, serban, ton kulit sederhana cerah, wanita, wanita berserban, wanita berserban: ton kulit sederhana cerah
👳🏽‍♀	perempuan, serban, ton kulit sederhana, wanita, wanita berserban, wanita berserban: ton kulit sederhana
👳🏾‍♀	perempuan, serban, ton kulit sederhana gelap, wanita, wanita berserban, wanita berserban: ton kulit sederhana gelap
👳🏿‍♀	perempuan, serban, ton kulit gelap, wanita, wanita berserban, wanita berserban: ton kulit gelap
👲	gua pi mao, lelaki, lelaki bertopi cina, topi
👲🏻	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit cerah, ton kulit cerah, topi
👲🏼	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit sederhana cerah, ton kulit sederhana cerah, topi
👲🏽	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit sederhana, ton kulit sederhana, topi
👲🏾	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit sederhana gelap, ton kulit sederhana gelap, topi
👲🏿	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit gelap, ton kulit gelap, topi
🧕	hijab, mantila, tichel, tudung, wanita bertudung
🧕🏻	hijab, mantila, tichel, ton kulit cerah, tudung, wanita bertudung, wanita bertudung: ton kulit cerah
🧕🏼	hijab, mantila, tichel, ton kulit sederhana cerah, tudung, wanita bertudung, wanita bertudung: ton kulit sederhana cerah
🧕🏽	hijab, mantila, tichel, ton kulit sederhana, tudung, wanita bertudung, wanita bertudung: ton kulit sederhana
🧕🏾	hijab, mantila, tichel, ton kulit sederhana gelap, tudung, wanita bertudung, wanita bertudung: ton kulit sederhana gelap
🧕🏿	hijab, mantila, tichel, ton kulit gelap, tudung, wanita bertudung, wanita bertudung: ton kulit gelap
🤵	lelaki, lelaki bertuksedo, pengantin, tuksedo
🤵🏻	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit cerah, pengantin, ton kulit cerah, tuksedo
🤵🏼	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit sederhana cerah, pengantin, ton kulit sederhana cerah, tuksedo
🤵🏽	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit sederhana, pengantin, ton kulit sederhana, tuksedo
🤵🏾	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit sederhana gelap, pengantin, ton kulit sederhana gelap, tuksedo
🤵🏿	lelaki, lelaki bertuksedo, lelaki bertuksedo: ton kulit gelap, pengantin, ton kulit gelap, tuksedo
👰	pengantin perempuan, pengantin perempuan memakai vel, perkahwinan, vel
👰🏻	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit cerah, perkahwinan, ton kulit cerah, vel
👰🏼	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit sederhana cerah, perkahwinan, ton kulit sederhana cerah, vel
👰🏽	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit sederhana, perkahwinan, ton kulit sederhana, vel
👰🏾	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit sederhana gelap, perkahwinan, ton kulit sederhana gelap, vel
👰🏿	pengantin perempuan, pengantin perempuan memakai vel, pengantin perempuan memakai vel: ton kulit gelap, perkahwinan, ton kulit gelap, vel
🤰	hamil, mengandung, wanita, wanita hamil
🤰🏻	hamil, mengandung, ton kulit cerah, wanita, wanita hamil: ton kulit cerah
🤰🏼	hamil, mengandung, ton kulit sederhana cerah, wanita, wanita hamil: ton kulit sederhana cerah
🤰🏽	hamil, mengandung, ton kulit sederhana, wanita, wanita hamil: ton kulit sederhana
🤰🏾	hamil, mengandung, ton kulit sederhana gelap, wanita, wanita hamil: ton kulit sederhana gelap
🤰🏿	hamil, mengandung, ton kulit gelap, wanita, wanita hamil: ton kulit gelap
🤱	bayi, menyusu, menyusu badan, payu dara
🤱🏻	bayi, menyusu, menyusu badan, menyusu badan: ton kulit cerah, payu dara, ton kulit cerah
🤱🏼	bayi, menyusu, menyusu badan, menyusu badan: ton kulit sederhana cerah, payu dara, ton kulit sederhana cerah
🤱🏽	bayi, menyusu, menyusu badan, menyusu badan: ton kulit sederhana, payu dara, ton kulit sederhana
🤱🏾	bayi, menyusu, menyusu badan, menyusu badan: ton kulit sederhana gelap, payu dara, ton kulit sederhana gelap
🤱🏿	bayi, menyusu, menyusu badan, menyusu badan: ton kulit gelap, payu dara, ton kulit gelap
👼	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi
👼🏻	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit cerah, ton kulit cerah
👼🏼	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit sederhana cerah, ton kulit sederhana cerah
👼🏽	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit sederhana, ton kulit sederhana
👼🏾	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit sederhana gelap, ton kulit sederhana gelap
👼🏿	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi, pari-pari bayi: ton kulit gelap, ton kulit gelap
🎅	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus
🎅🏻	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit cerah, ton kulit cerah
🎅🏼	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit sederhana cerah, ton kulit sederhana cerah
🎅🏽	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit sederhana, ton kulit sederhana
🎅🏾	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit sederhana gelap, ton kulit sederhana gelap
🎅🏿	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus, santa klaus: ton kulit gelap, ton kulit gelap
🤶	Pn. Claus, ibu, krismas, puan claus
🤶🏻	Pn. Claus, Pn. Claus: ton kulit cerah, ibu, krismas, puan claus, ton kulit cerah
🤶🏼	Pn. Claus, Pn. Claus: ton kulit sederhana cerah, ibu, krismas, puan claus, ton kulit sederhana cerah
🤶🏽	Pn. Claus, Pn. Claus: ton kulit sederhana, ibu, krismas, puan claus, ton kulit sederhana
🤶🏾	Pn. Claus, Pn. Claus: ton kulit sederhana gelap, ibu, krismas, puan claus, ton kulit sederhana gelap
🤶🏿	Pn. Claus, Pn. Claus: ton kulit gelap, ibu, krismas, puan claus, ton kulit gelap
🦸	adi wira, baik, sangat berkuasa, wira, wirawati
🦸🏻	adi wira, adi wira: ton kulit cerah, baik, sangat berkuasa, ton kulit cerah, wira, wirawati
🦸🏼	adi wira, adi wira: ton kulit sederhana cerah, baik, sangat berkuasa, ton kulit sederhana cerah, wira, wirawati
🦸🏽	adi wira, adi wira: ton kulit sederhana, baik, sangat berkuasa, ton kulit sederhana, wira, wirawati
🦸🏾	adi wira, adi wira: ton kulit sederhana gelap, baik, sangat berkuasa, ton kulit sederhana gelap, wira, wirawati
🦸🏿	adi wira, adi wira: ton kulit gelap, baik, sangat berkuasa, ton kulit gelap, wira, wirawati
🦸‍♂	adi wira lelaki, baik, lelaki, sangat berkuasa, wira
🦸🏻‍♂	adi wira lelaki, adi wira lelaki: ton kulit cerah, baik, lelaki, sangat berkuasa, ton kulit cerah, wira
🦸🏼‍♂	adi wira lelaki, adi wira lelaki: ton kulit sederhana cerah, baik, lelaki, sangat berkuasa, ton kulit sederhana cerah, wira
🦸🏽‍♂	adi wira lelaki, adi wira lelaki: ton kulit sederhana, baik, lelaki, sangat berkuasa, ton kulit sederhana, wira
🦸🏾‍♂	adi wira lelaki, adi wira lelaki: ton kulit sederhana gelap, baik, lelaki, sangat berkuasa, ton kulit sederhana gelap, wira
🦸🏿‍♂	adi wira lelaki, adi wira lelaki: ton kulit gelap, baik, lelaki, sangat berkuasa, ton kulit gelap, wira
🦸‍♀	adi wira wanita, baik, sangat berkuasa, wanita, wira, wirawati
🦸🏻‍♀	adi wira wanita, adi wira wanita: ton kulit cerah, baik, sangat berkuasa, ton kulit cerah, wanita, wira, wirawati
🦸🏼‍♀	adi wira wanita, adi wira wanita: ton kulit sederhana cerah, baik, sangat berkuasa, ton kulit sederhana cerah, wanita, wira, wirawati
🦸🏽‍♀	adi wira wanita, adi wira wanita: ton kulit sederhana, baik, sangat berkuasa, ton kulit sederhana, wanita, wira, wirawati
🦸🏾‍♀	adi wira wanita, adi wira wanita: ton kulit sederhana gelap, baik, sangat berkuasa, ton kulit sederhana gelap, wanita, wira, wirawati
🦸🏿‍♀	adi wira wanita, adi wira wanita: ton kulit gelap, baik, sangat berkuasa, ton kulit gelap, wanita, wira, wirawati
🦹	jahat, ketua penjahat, penjahat, penjenayah, sangat berkuasa
🦹🏻	jahat, ketua penjahat, ketua penjahat: ton kulit cerah, penjahat, penjenayah, sangat berkuasa, ton kulit cerah
🦹🏼	jahat, ketua penjahat, ketua penjahat: ton kulit sederhana cerah, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana cerah
🦹🏽	jahat, ketua penjahat, ketua penjahat: ton kulit sederhana, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana
🦹🏾	jahat, ketua penjahat, ketua penjahat: ton kulit sederhana gelap, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana gelap
🦹🏿	jahat, ketua penjahat, ketua penjahat: ton kulit gelap, penjahat, penjenayah, sangat berkuasa, ton kulit gelap
🦹‍♂	jahat, ketua penjahat lelaki, lelaki, penjahat, penjenayah, sangat berkuasa
🦹🏻‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit cerah, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit cerah
🦹🏼‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit sederhana cerah, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana cerah
🦹🏽‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit sederhana, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana
🦹🏾‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit sederhana gelap, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit sederhana gelap
🦹🏿‍♂	jahat, ketua penjahat lelaki, ketua penjahat lelaki: ton kulit gelap, lelaki, penjahat, penjenayah, sangat berkuasa, ton kulit gelap
