😀	tirjaygan yuz, tirjayish, yuz
👨‍👨‍👧‍👦	erkak, farzand, oila, oila: erkak erkak qiz bola o‘g‘il bola, ona, ota, o‘g‘il bola, qiz bola
👨‍👨‍👦‍👦	erkak, farzand, oila, oila: erkak erkak o‘g‘il bola o‘g‘il bola, ona, ota, o‘g‘il bola
👨‍👨‍👧‍👧	erkak, farzand, oila, oila: erkak erkak qiz bola qiz bola, ona, ota, qiz bola
👩‍👩‍👦	ayol, farzand, oila, oila: ayol ayol o‘g‘il bola, ona, ota, o‘g‘il bola
👩‍👩‍👧	ayol, farzand, oila, oila: ayol ayol qiz bola, ona, ota, qiz bola
👩‍👩‍👧‍👦	ayol, farzand, oila, oila: ayol ayol qiz bola o‘g‘il bola, ona, ota, o‘g‘il bola, qiz bola
👩‍👩‍👦‍👦	ayol, farzand, oila, oila: ayol ayol o‘g‘il bola o‘g‘il bola, ona, ota, o‘g‘il bola
👩‍👩‍👧‍👧	ayol, farzand, oila, oila: ayol ayol qiz bola qiz bola, ona, ota, qiz bola
👨‍👦	erkak, farzand, oila, oila: erkak o‘g‘il bola, ona, ota, o‘g‘il bola
👨‍👦‍👦	erkak, farzand, oila, oila: erkak o‘g‘il bola o‘g‘il bola, ona, ota, o‘g‘il bola
👨‍👧	erkak, farzand, oila, oila: erkak qiz bola, ona, ota, qiz bola
👨‍👧‍👦	erkak, farzand, oila, oila: erkak qiz bola o‘g‘il bola, ona, ota, o‘g‘il bola, qiz bola
👨‍👧‍👧	erkak, farzand, oila, oila: erkak qiz bola qiz bola, ona, ota, qiz bola
👩‍👦	ayol, farzand, oila, oila: ayol o‘g‘il bola, ona, ota, o‘g‘il bola
👩‍👦‍👦	ayol, farzand, oila, oila: ayol o‘g‘il bola o‘g‘il bola, ona, ota, o‘g‘il bola
👩‍👧	ayol, farzand, oila, oila: ayol qiz bola, ona, ota, qiz bola
👩‍👧‍👦	ayol, farzand, oila, oila: ayol qiz bola o‘g‘il bola, ona, ota, o‘g‘il bola, qiz bola
👩‍👧‍👧	ayol, farzand, oila, oila: ayol qiz bola qiz bola, ona, ota, qiz bola
🗣️	bosh, gapirayotgan bosh, gapirish, nutq, siluet, yuz
👤	byust, kontur suratli byust, siluet
👥	byust, kontur suratli byustlar, siluet
👣	iz, kiyim, oyoq izi, oyoq izlari, tana
🦰	malla, malla soch, qizil, soch
🦱	jingalak, jingalak soch, jingalak sochli, kimyoviy, kimyoviy ishlov berish
🦳	oq, oqargan, oqargan soch, qari, soch
🦲	kal, kallik, siyqa, sochi yo‘q, toz, ustara
🐵	maymun, maymun qiyofasi, yuz
🐒	maymun
🦍	gorilla, hayvon, maymun
🦧	maymun, orangutan
🐶	kuchuk, kuchuk qiyofasi, uy hayvoni, yuz
🐕️	kuchuk, uy hayvoni
🦮	boshlovchi, boshlovchi it, gid, koʻr, maxsus imkoniyatlar
🐕‍🦺	it, nogiron, xizmat, xizmat iti, yordam
🐩	kuchuk, pudel
🐺	boʻri, qiyofa, yuz
🦊	qiyofa, tulki, yuz
🦝	jonivor, silash, yenot, yenot tumshug‘i
🐱	mushuk, mushuk qiyofasi, uy hayvoni, yuz
🐈️	mushuk, uy hayvoni
🦁	Sherxon, burj, sher, yuz
🐯	yo‘lbars, yo‘lbars qiyofasi, yuz
🐅	yo‘lbars
🐆	qoplon
🐴	ot, ot qiyofasi, yuz
🐎	ot, ot poygasi
🦄	qiyofa, yakkashox, yuz
🦓	oq-qora, yo‘l-yo‘l, zebra
🦌	hayvon, kiyik
🐮	sigir, sigir qiyofasi, yuz
🐂	burj, ho‘kiz
🐃	buyvol, suv
🐄	sigir
🐷	cho‘chqa, cho‘chqa qiyofasi, yuz
🐖	cho‘chqa
🐗	cho‘chqa, to‘ng‘iz
🐽	burun, cho‘chqa, cho‘chqa burni, yuz
🐏	burj, qo‘chqor, qo‘y
🐑	qo‘y, sovliq
🐐	burj, echki, uloq
🐪	bukur, nortuya, tuya
🐫	baqtriya tuyasi, ikki o‘rkachli tuya, o‘rkach, tuya
🦙	guanko, hayvon, jonivor, lama, tuyoqli
🦒	jirafa, olachipor, xol-xol
🐘	fil
🦏	hayvon, karkidon
🦛	begemot, gippopotam, hayvon, jonovor
🐭	sichqon, sichqon qiyofasi, yuz
🐁	sichqon
🐀	kalamush
🐹	oʻgmaxon, qiyofa, uy hayvoni, yuz
🐰	quyon, quyon qiyofasi, uy hayvoni, yuz
🐇	quyon, uy hayvobi
🐿️	burunduq
🦔	ignali, tikanli, tipratikan
🦇	hayvon, ko‘rshapalak, vampir
🐻	ayiq, qiyofa, yuz
🐨	ayiq, koala
🐼	panda, qiyofa, yuz
🦥	dangasa, sekin, yalqov
🦦	baliq ovi, hayvon, oʻyinqaroq, qunduz, suv
🦨	qoʻlansa, sassiq, sassiqvoy, skuns
🦘	avstraliya, jonivor, kenguru, sakrash, xaltali
🦡	bo‘rsiq, jonivor
🐾	bosma, oyoq, panja, panja izlari
🦃	kurka
🐔	jo‘ja, tovuq
🐓	xo‘roz
🐣	chaqaloq, jo‘ja, tuxumdan chiqayotgan jo‘ja, tuxumdan yorib chiqish
🐤	chaqaloq, jo‘ja
🐥	chaqaloq, jo‘ja, oldiga qarab turgan jo‘ja
🐦️	qush
🐧	pingvin
🕊️	kabutar, qush, tinchlik, uchish
🦅	burgut, qush
🦆	o‘rdak, qush
🦢	irkit o‘rdakcha, oqqush, parranda, qush, suvda suzuvchi
🦉	boyqush, donolik, parranda
🦩	ajoyib, flamingo, tropik
🦚	dum, parranda, pat, qush, tovus, yelpig‘ich, yoyish
🦜	dengiz qaroqchisi, gapiruvchi, qaroqchi, qush, to‘ti
🐸	baqa, qurbaqa, qurbaqa qiyofasi, yuz
🐊	timsoh
🐢	toshbaqa
🦎	kaltakesak, sudralib yuruvchi
🐍	burj, ilon
🐲	ajdar, ajdar qiyofasi, ajdarho, ertak, yuz
🐉	ajdar, ertak
🦕	braxiozavr, brontozavr, diplodok, zauropod
🦖	T-Reks, reks, tirannozavr
🐳	favvora hosil qilayotgan kit, kit, sachratish, yuz
🐋	kit
🐬	delfin, suzgich
🐟️	baliq, burj
🐠	baliq, tropik, tropik baliq
🐡	baliq, qorni katta baliq
🦈	akula, baliq
🐙	sakkizoyoq
🐚	qobiq, spiral, spiral qobiq
🐌	shilliqqurt
🦋	go‘zallik, hasharot, kapalak
🐛	taxtakana, xasharot
🐜	chumoli, xasharot
🐝	ari, asalari, xasharot
🐞	xasharot, xonqizi
🦗	chigirtka, qora chigirtka
🕷️	o‘rgimchak, xasharot
🕸️	o‘rgimchak, o‘rgimchak turi, veb
🦂	burj, chayon
🦟	bezgak, chivin, malyariya, qon so‘rish, virus
🦠	amyoba, bakteriya, mikrob, virus
💐	gul, guldasta, o‘simlik, romantika
🌸	gilos, gilos guli, gul, o‘simlik
💮	gul, oq gul
🏵️	o‘simlik, to‘pbarggul
🌹	atirgul, gul, o‘simlik
🥀	gul, quriyotgan, so‘nayotgan, so‘nayotgan gul
🌺	gul, o‘simlik, xitoy atirguli
🌻	gul, kungaboqar, o‘simlik, quyosh
🌼	gul, o‘simlik
🌷	gul, lola, o‘simlik
🌱	ko‘chat, o‘simlik, yosh
🌲	archa, daraxt, o‘simlik
🌳	barg, bargli daraxt, daraxt, o‘simlik, to‘kilish
🌴	daraxt, o‘simlik, palma, palma daraxti
🌵	kaktus, o‘simlik
🌾	boshoq, guruch, o‘simlik, sholi poyasi
🌿	barg, o‘simlik
☘️	o‘simlik, sebarga
🍀	4, barg, o‘simlik, to‘rt, to‘rt yaproqli beda bargi, yaproq
🍁	barg, o‘simlik, xazon, zarang, zarang bargi
🍂	barg, o‘simlik, xazon, xazon bargi
🍃	barg, o‘simlik, shamol, shamolda uchayotgan barg, uchish
🍇	meva, o‘simlik, uzum
🍈	meva, o‘simlik, qovun
🍉	meva, o‘simlik, tarvuz
🍊	apelsin, mandarin, meva, o‘simlik
🍋	limon, meva, nordon, o‘simlik, sitrus
🍌	banan, meva, o‘simlik
🍍	ananas, meva, o‘simlik
🥭	mango, meva, tropik
🍎	meva, olma, o‘simlik, qizil, qizil olma
🍏	meva, olma, o‘zimlik, yashil, yashil olma
🍐	meva, nok, o‘simlik
🍑	meva, o‘simlik, shaftoli
🍒	gilos, meva, olcha, o‘simlik
🍓	meva, o‘simlik, qulupnay
🥝	kivi, meva, taom
🍅	o‘simlik, pomidor, sabzavot
🥥	kokos, palma, pina kolada
🥑	avokado, meva, taom
🍆	baqlajon, o‘simlik, sabzavot
🥔	kartoshka, sabzavot, taom
🥕	sabzavot, sabzi, taom
🌽	boshoq, jo‘xori, makkajo‘xori, o‘simlik
🌶️	achchiq, achchiq qalampir, o‘simlik, qalampir
🥒	bodring, sabzavot, taom, tuzlama
🥬	botva, karam, latuk, salat, salat bargi
🥦	brokkoli, karam, yovvoyi karam
🧄	sarimsoq, ziravor
🧅	bosh, koʻz yoshi, piyoz, yigʻi
🍄	o‘simlik, qo‘ziqorin
🥜	sabzavot, taom, yeryong‘oq, yong‘oq
🌰	kashtan yong‘oq, o‘simlik
🍞	bulka non, non
🥐	fransuz, kruassan, non, taom
🥖	baget, fransuz, non, taom
🥨	kulcha, o‘ralgan, o‘rama
🥯	kulcha, shirmoy teshik kulcha, teshik kulcha
🥞	blinchik, taom
🧇	qattiq, vafli, yumshoq
🧀	pishloq, pishloq bo‘lagi
🍖	go‘sht, suyak, suyakdagi go‘sht
🍗	oyoq, parranda, parranda oyog‘i, suyak, tovuq
🥩	go‘sht bo‘lagi, kesilgan, lahm, steyk
🥓	bekon, go‘sht, taom
🍔	burger, gamburger
🍟	fri, kartoshka, qovurilgan, qovurilgan fri-kartoshka
🍕	bo‘lak, pishloq, pitsa
🌭	kolbasa, xot-dog
🥪	buterbrod, non, sendvich
🌮	meksika taomi, tako
🌯	burrito, meksika taomi
🥙	kabob, lavash, shaurma, taom
🧆	falafel, noʻxat, qiyma, yumaloq qiyma
🥚	taom, tuxum
🍳	qovurish, taom tayyorlash, tova, tuxum
🥘	bir tova qovurdoq, jarkop, paelya, taom, tova
🍲	bir qozon ovqat, go‘sht, qozon
🥣	atala, bodroq, bo‘tqa, kosa bilan qoshiq, nonushta
🥗	sabzavot, sabzavotli salat, salat, taom
🍿	popkorn
🧈	qaymoq, sariyogʻ, sut mahsulotlari, yogʻ
🧂	dengiz tuzi, tuz, tuzdon, tuzluq
🥫	banka, konserva, tunuka idish
🍱	quti, xonachali, xonachali taom qutisi
🍘	guruch, guruchli pishiriq, kreker
🍙	guruch, yapon, yumaloq, yumaloqlangan guruch
🍚	guruch, pishirilgan, pishirilgan guruch
🍛	guruch, guruchli karri, karri
🍜	issiq, issiq lag‘mon, kosa, lag‘mon, ramyon
🍝	pasta, spagetti
🍠	jigarli batat, kartoshka, qovurilgan, shirin
🍢	dengiz taomi, kabob, six, sixdagi dengiz taomi
🍣	sushi
🍤	qisqichbaqa, qovurilgan, qovurilgan qisqichbaqa, tempura
🍥	baliq, girdob, girdob ko‘rinishidagi baliqli tort, qandolat, tort
🥮	bayram, festival, kuz, oyli pirog, oyli pishiriq, yuebin
🍡	dango, shirin, shirinlik, six, tayoq, yapon
🥟	chuchvara, gyoza, manti, pilak, qovurma somsa, uzma, xonim
🥠	bashorat, folbin, kohin, pechenye, taqdir pechenyesi
🥡	olib ketish, taom olib ketish uchun quti
🦀	burj, dengiz qisqichbaqasi, qisqichbaqa
🦞	dengiz, dengiz mahsulotlari, dengiz qisqichbaqasi, omar, qisqich, qisqichbaqa
🦐	dengiz mahsulotlari, mayda, mayda qisqichbaqa, qisqichbaqa, taom
🦑	kalmar, mollyuska, taom
🦪	chigʻanoq, dayving, marvarid, shoʻngʻish
🍦	krem, muz, muzqaymoq, shirin, shirinlik, yumshoq, yumshoq muzqaymoq
🍧	muz, qirilgan, qirilgan muz, shirin, shirinlik
🍨	krem, muz, muzqaymoq, shirin, shirinlik
🍩	ponchik, shirin, shirinlik, teshik kulcha
🍪	pishiriq, shirin, shirinlik
🎂	nishonlash, qandolat, shirin, shirinlik, tort, tug‘ilgan kun
🍰	bo‘lak, qandolat, shirin, shirinlik, tort, tort bo‘lagi
🧁	kapkeyk, keks, pishiriq
🥧	pirog, pishiriq, sut shirinlik, tort
🍫	bo‘lak, shirin, shirinlik, shokolad, shokolad bo‘lagi
🍬	konfet, shirin, shirinlik
🍭	konfet, obakidandon, shirin, shirinlik
🍮	krem, puding, shirin, shirinlik
🍯	asal, asal idishi, bochka, shirin
🍼	chaqaloq, chaqaloqlar idishi, ichimlik, shisha idish, sut
🥛	bir stakan sut, ichimlik, stakan, sut
☕️	bug‘lanib turgan, choy, ichimlik, issiq, issiq ichimlik, kofe
🍵	choy, ichimlik, issiq ichimlik, piyola
🍶	bar, ichimlik, issiq ichimlik, ko‘za va piyola, piyola, shisha idish
🍾	bar, ichimlik, otilayotgan, shisha idish, tiqinli shisha idish
🍷	bar, ichimlik, issiq ichimlik, stakan, vino, vino qadahi
🍸️	bar, ichimlik, kokteyl, kokteyl qadahi, stakan
🍹	bar, ichimlik, tropik, tropik ichimlik
🍺	bar, ichimlik, krujka, pivo, pivo stakani
🍻	bar, ichimlik, jaranglash, krujka, pivo, to‘qnashtirilayotgan pivo stakanlari
🥂	bayram, ichimlik, jaranglash, qadah, qadah urishtirish
🥃	kokteyl, liker, stakan, vino, vino uchun stakan, viski
🥤	fanta, gaz suv, kola, mineral suv, pepsi, shartbar, stakan bilan cho‘p, suv
🧃	ichimlik qutisi, sharbat qutisi
🧉	ichimlik, mate
🧊	aysberg, muz, sovuq
🥢	asboblar, tayoqcha, xascho‘p
🍽️	likopcha, pichoq, sanchqi, sanchqi, pichoq va likopcha, taom
🍴	pichoq, sanchqi, sanchqi va pichoq, taom
🥄	oshxona anjomi, qoshiq
🔪	asbob, pichoq, qurol, taom
🏺	burj, ichimlik, ko‘za, qovg‘a, taom
🌍	afrika, dunyo, globus, globusda yevropa va afrika qit’asi, yer, yevropa
🌎️	amerika, dunyo, globus, globusda amerika qit’asi, yer
🌏	avstraliya, dunyo, globus, globusda osiyo va avstraliya qit’asi, osiyo, yer
🌐	dunyo, globus, meridian, meridian chiziqli globus, yer
🗺️	dunyo, dunyo xaritasi, xarita
🗾	xarita, yapon, yaponiya xaritasi
🧭	asbob, dunyo tomonlari, kompas, magnitli, sayohat
🏔️	qor, qor qoplagan tog‘, sovuq, tog‘
⛰️	tog‘
🌋	ob-havo, tog‘, vulqon
🗻	fuji, fuji tog‘i, tog‘
🏕️	tabiat qo‘ynida dam
🏖️	qirg‘oq, qirg‘oq va soyabon, soyabon
🏜️	sahro
🏝️	cho‘l, cho‘l orol, orol
🏞️	bog‘, istirohat bog‘i, park
🏟️	stadion
🏛️	bino, qadimiy, qadimiy bino
🏗️	bino, bino qurilishi, qurilish
🧱	g‘isht devor, g‘isht terish, g‘ishtin, q‘isht, terish
🏘️	bino, uy, uylar
🏚️	bino, tashlandiq, tashlandiq uy, uy
🏠️	bino, uy
🏡	bino, bog‘, hovli, uy
🏢	bino, ofis binosi
🏣	bino, pochtampt, yapon, yaponcha pochtampt
🏤	bino, pochtamp, pochtampt, yevropa
🏥	bino, shifokor, shifoxona, tibbiyot
🏦	bank, bino
🏨	bino, mehmonxona
🏩	bino, mehmonxona, sevgi, sevgi mehmonxonasi
🏪	bino, do‘kon, navbatchi do‘kon, qulaylik
🏫	bino, maktab
🏬	bino, do‘kon, savdo, univermag
🏭️	bino, zavod
🏯	bino, qasr, yapon, yapon qasri
🏰	bino, qasr, yevropa
💒	butxona, ibodatxona, mehrob, nikoh, nikoh to‘yi, romantika
🗼	minora, tokio teleminorasi, tokyo
🗽	haykal, ozodlik, ozodlik haykali
⛪️	bino, cherkov, din, nasroniylik, xoch
🕌	din, islom, masjid, muslim
🛕	hindu, hindu ibodatxonasi, ibodatxona, sigʻinish
🕍	din, ibodatxona, ibroniy, sinagog, yahudiy
⛩️	din, shinto, shinto shrin, shrin
🕋	din, islom, kabatulloh, muslim
⛲️	fontan
⛺️	chodir, lager
🌁	ob-havo, tuman, tumanli
🌃	ob-havo, tun, yulduz, yulduzli tun
🏙️	bino, shahar, shahar manzarasi
🌄	ob-havo, quyosh, quyosh chiqishi, tog‘, tog‘lar ortidan quyosh chiqishi, tong
🌅	ob-havo, quyosh, quyosh chiqishi, tong
🌆	bino, kechqurun, kunbotar mahaldagi shahar manzarasi, manzara, ob-havo, quyosh, quyosh botishi, shahar, shom
🌇	bino, ob-havo, quyosh, quyosh botishi
🌉	ko‘prik, ob-havo, tun, tundagi ko‘prik
♨️	bug‘, buloq, issiq, issiq buloq
🎠	karusel, karusel oti, ot
🎡	charxpalak, ko‘ngilochar park
🎢	g‘ildiratma, g‘ildiratma hayinchak, hayinchak, ko‘ngilochar park
💈	sartarosh, sartaroshlar ustuni, soch kaltalatish, ustun
🎪	chodir, sirk, sirk chodiri
🚂	bug‘, lokomotiv, motor, poyezd, temiryo‘l, transport
🚃	elektr, mashina, poyezd, temiryo‘l, temiryo‘l vagoni, tramvay, transport, trolleybus
🚄	poyezd, shinkansen, temiryo‘l, tezyurar, tezyurar poyezd, transport
🚅	oldi uchli tezyurar poyezd, poyezd, shinkansen, temiryo‘l, tezyurar, transport, uchli
🚆	poyezd, temiryo‘l, transport
🚇️	metro, transport
🚈	temiryo‘l, tor izli temiryo‘l, transport
🚉	bekat, poyezd, temiryo‘l, transport
🚊	tramvay, transport, trolleybus
🚝	bir izli temiryo‘l, transport
🚞	mashina, temiryo‘l, tog‘, to‘g‘ temiryo‘li, transport
🚋	mashina, tramvay, tramvay vagoni, transport, trolleybus
🚌	avtobus, transport
🚍️	avtobus, kelayotgan, transport, yaqinlashayotgan, yaqinlashayotgan avtobus
🚎	avtobus, tramvay, transport, trolleybus
🚐	avtobus, minibus, transport
🚑️	tez yordam mashinasi, transport
🚒	motor, o‘t o‘chirish mashinasi, transport, yong‘in, yuk mashinasi
🚓	mashina, patrul, politsiya, politsiya mashinasi, transport
🚔️	kelayotgan, mashina, politsiya, transport, yaqinlashayotgan, yaqinlashayotgan politsiya mashinasi
🚕	taksi, transport
🚖	taksi, transport, yaqinlashayotgan, yaqinlashayotgan taksi
🚗	avtomobil, mashina, transport
🚘️	avtomobil, mashina, transport, yaqinlashayotgan, yaqinlashayotgan avtomobil
🚙	hordiq, hordiq chiqarish avtomobili, transport
🚚	transport, yetkazib berish, yetkazib beruvchi yuk mashinasi, yuk mashinasi
🚛	tirkamali yuk mashinasi, transport, yuk mashinasi
🚜	traktor, transport
🏎️	mashina, poyga, poyga mashinasi
🏍️	mototsikl, poyga
🛵	moped
🦽	aravacha, nogironlik, nogironlik aravachasi
🦼	motorli aravacha, motorli nogironlik aravachasi, nogironlik
🛺	avtoriksha, tuk tuk
🚲️	transport, velosiped
🛴	samokat
🛹	doska, g‘ildirak, g‘ildirkali doska, rolik, skeyt, skeytbord
🚏	avtobus, avtobus bekati, bekat
🛣️	avtomobil yo‘li, ko‘cha, trassa, yo‘l
🛤️	poyezd, temiryo‘l
🛢️	bochka, neft, neft bochkasi
⛽️	benzin, qo‘yish, shahobcha, yonilg‘i, yonilg‘i nasosi
🚨	mashina, mayoq, politsiya, politsiya mashinasi mayog‘i, transport
🚥	signal, svetofor, tirbandlik, yotiq svetofor, yo‘l
🚦	signal, svetofor, tik svetofor, tirbandlik, yo‘l
🛑	belgi, sakkizburchak, stop, stop belgisi
🚧	qurilish, to‘siq
⚓️	asbob, kema, langar
⛵️	dengiz, kema, transport, yaxta, yelkanli kema
🛶	kanoe, qayiq
🚤	qayiq, tezyurar qayiq, transport
🛳️	kema, transport, yo‘lovchi, yo‘lovchi kemasi
⛴️	parom, qayiq
🛥️	motorli qayiq, qayiq, transport
🚢	kema, transport
✈️	samolyot, transport
🛩️	kichik samolyot, samolyot, transport
🛫	aeroport, jo‘nab ketish, samolyot, samolyot jo‘nab ketishi, transport
🛬	aeroport, qo‘nish, samolyot, samolyot qo‘nishi, transport
🪂	osilish, parashyut, parvoz, skaydayving, uchish
💺	kreslo, o‘rindiq, stul
🚁	transport, vertolyot
🚟	osma, osma temiryo‘l, temiryo‘l, transport
🚠	dor, tog‘, tog‘ dor yo‘li, transport
🚡	dor yo‘li, havo, havo tramvayi, mashina, sim, tramvay, transport
🛰️	koinot, sun’iy yo‘ldosh, transport
🚀	koinot, raketa, transport
🛸	uchar likopcha
🛎️	mehmonxona, pochtachi, pochtachi qo‘ng‘irog‘i, qabulxona, qo‘ng‘iroqcha
🧳	chemodan, jomadon, sayohat, yuk
⌛️	qum, qumsoat, soat
⏳️	qum, qum tushayotgan qumsoat, qumsoat, soat
⌚️	qo‘l soati, soat
⏰	budilnik, soat, uyg‘otadigan soat, uyg‘otkich
⏱️	sekundomer, soat
⏲️	soat, taymer, taymer soat
🕰️	soat, tosh soat
🕛️	00, 12, 12:00, o‘n ikki, soat, soat o‘n ikki
🕧	12, 12:30, 30, o‘n ikki, o‘ttiz, soat, soat o‘n ikki yarim, yarim
🕐️	00, 1, 1:00, bir, soat, soat bir
🕜	1, 1:30, 30, bir, bir yarim, o‘ttiz, soat, yarim
🕑️	00, 2, 2:00, ikki, soat, soat ikki
🕝	2, 2:30, 30, ikki, ikki yarim, o‘ttiz, soat, yarim
🕒️	00, 3, 3:00, soat, soat uch, uch
🕞	3, 30, 3:30, o‘ttiz, soat, uch, uch yarim, yarim
🕓️	00, 4, 4:00, soat, soat to‘rt, to‘rt
🕟	30, 4, 4:30, o‘ttiz, soat, to‘rt, to‘rt yarim, yarim
🕔️	00, 5, 5:00, besh, soat, soat besh
🕠	30, 5, 5:30, besh, besh yarim, o‘ttiz, soat, yarim
🕕️	00, 6, 6:00, olti, soat, soat olti
🕡	30, 6, 6:30, olti, olti yarim, o‘ttiz, soat, yarim
🕖️	00, 7, 7:00, soat, soat yetti, yetti
🕢	30, 7, 7:30, o‘ttiz, soat, yarim, yetti, yetti yarim
🕗️	00, 8, 8:00, sakkiz, soat, soat sakkiz
🕣	30, 8, 8:30, o‘ttiz, sakkiz, sakkiz yarim, soat, yarim
🕘️	00, 9, 9:00, soat, soat to‘qqiz, to‘qqiz
🕤	30, 9, 9:30, o‘ttiz, soat, to‘qqiz, to‘qqiz yarim, yarim
🕙️	00, 10, 10:00, o‘n, soat, soat o‘n
🕥	10, 10:30, 30, o‘n, o‘n yarim, o‘ttiz, soat, yarim
🕚️	00, 11, 11:00, o‘n bir, soat, soat o‘n bir
🕦	11, 11:30, 30, o‘n bir, o‘n bir yarim, o‘ttiz, soat, yarim
🌑	koinot, ob-havo, oy, qora, yangi oy
🌒	kattalashib boruvchi, kattalashib boruvchi yarim oy, koinot, ob-havo, oy
🌓	birinchi chorakdagi oy, chorak, koinot, ob-havo, oy
🌔	kattalashib boruvchi qavariq oy, koinot, ob-havo, oy, qavariq
🌕️	koinot, ob-havo, to‘lin, to‘lin oy, to‘liq
🌖	kichiklashib borayotgan qavariq oy, kichrayib borayotgan, koinot, ob-havo, oy, qavariq
🌗	chorak, koinot, ob-havo, oxirgi chorakdagi oy, oy
🌘	kichiklashib borayotgan yarim oy, kichiklashib boruvchi, koinot, ob-havo, oy
🌙	koinot, ob-havo, oy, yarim oy
🌚	koinot, ob-havo, oy, oymomo, yangi oy qiyofasi, yuz
🌛	birinchi chorakdagi oy qiyofasi, chorak, koinot, ob-havo, oy, yuz
🌜️	chorak, koinot, ob-havo, oxirgi chorakdagi oy qiyofasi, oy, yuz
🌡️	ob-havo, termometr
☀️	koinot, nurlar, ob-havo, quyosh, quyoshli, yorug‘lik
🌝	koinot, ob-havo, osmon, to‘lin, to‘lin oy qiyofali, to‘liq, yorug‘lik, yuz
🌞	ob-havo, osmon, quyosh, quyosh qiyofasi, yorug‘ilik, yuz
🪐	halqali sayyora, qoʻrgʻoshin, saturn
⭐️	oq o‘rtacha yulduz, yulduz
🌟	charaqlash, porlash, porlayotgan, porlayotgan yulduz, porloq, yulduz
🌠	koinot, osmon, uchayotgan, uchayotgan yulduz, yulduz
🌌	koinot, ob-havo, somon yo‘li
☁️	bulut, ob-havo
⛅️	bulut, bulut ortidagi quyosh, ob-havo, quyosh
⛈️	bulut, bulut, chaqmoq va yomg‘ir, chaqmoq, ob-havo, yomg‘ir
🌤️	bulut, kichik bulut ortidagi quyosh, ob-havo, quyosh
🌥️	bulut, bulutlar ortidagi quyosh, ob-havo, quyosh
🌦️	bulut, ob-havo, quyosh, yomg‘ir, yomg‘irli bulutlar ortidagi quyosh
🌧️	bulut, ob-havo, yomg‘ir, yomg‘irli bulut
🌨️	bulut, ob-havo, qor, qor yog‘ayotgan bulut, sovuq
🌩️	bulut, chaqmoq, chaqmoq chaqayotgan bulut, ob-havo, yashin
🌪️	bulut, dovul, ob-havo, quyun, shamol
🌫️	bulut, ob-havo, tuman
🌬️	bulut, esish, ob-havo, puflash, shamol, shamol qiyofasi, yuz
🌀	aylanuvchan, bo‘ron, ob-havo, siklon, tayfun
🌈	kamalak, ob-havo, yomg‘ir
🌂	kiyim, ob-havo, soyabon, yomg‘ir, yopiq soyabon
☂️	kiyim, ob-havo, soyabon, yomg‘ir
☔️	kiyim, ob-havo, soyabon, tomchi, yomg‘ir, yomg‘ir tomchilari va soyabon
⛱️	ob-havo, qumga qadalgan soyabon, quyosh, soyabon, yomg‘ir
⚡️	chaqmoq, elektr, elektr toki, kuchlanish, xavfli, yuqori kuchlanish
❄️	ob-havo, qor, qor parchasi, sovuq
☃️	ob-havo, qor, qorbobo va qor, sovuq
⛄️	ob-havo, qor, qor odami, qorbobo, sovuq
☄️	koinot, kometa, osmon, samo
🔥	alanga, asbob, olov
💧	ko‘z yoshi, latifa, ob-havo, sovuq, tomchi
🌊	ob-havo, okean, suv, suv to‘lqini, to‘lqin, ummon
🎃	bayram, halloween, nishonlash, oshqovoq, shamchiroqli oshqovoq
🎄	bayram, daraxt, nishonlash, yangi yil, yangi yil archasi
🎆	bayram, mushakbozlik, nishonlash
🎇	bayram, bengal olovi, charaqlash, mushakbozlik
🧨	bang‘illoq, bombacha, feyerverk, portlash, portlatgich
✨	*, uchqun, uchqunlar, yulduz
🎈	bayram, shar
🎉	bayram, nishonlash, paqildoq, popildoq
🎊	bayram, konfetti, shar
🎋	banner, bayram, daraxt, tanabata daraxti, yapon
🎍	bambuk, bayram, o‘simlik, qarag‘ay, qarag‘ay bezagi, yapon
🎎	bayram, festival, qo‘g‘irchoq, yapon, yapon qo‘g‘irchoqlari
🎏	bayram, vimpel, zog‘orabaliq, zog‘orabaliq shaklidagi vimpel
🎐	bayram, jarangi, qo‘ng‘iroqcha, shamol, shamol qo‘ng‘irog‘i
🎑	bayram, marosim, oy, oy marosimi, tadbir
🧧	konvert, omad, pul, qizil, qizil xatjild, sovg‘a, xatjild
🎀	bayram, lenta
🎁	bayram, o‘ralgan, o‘ralgan sovg‘a, quri, sovg‘a
🎗️	bayram, eslatma, eslatma lentasi, lenta
🎟️	chipta, kirish, kirish chiptalari
🎫	chipta, kirish
🎖️	bayram, harbiy, harbiy medal, medal
🏆️	kubok, sovrin
🏅	medal, sport medali
🥇	birinchi o‘rin, medal, oltin, oltin medal
🥈	ikkinchi o‘rin, kumush, kumush medal, medal
🥉	bronza, bronza medal, medal, uchinchi o‘rin
⚽️	futbol, futbol to‘pi, to‘p
⚾️	beysbol, to‘p
🥎	bosish, koptok, qo‘lqop, softbol, to‘p, yumshoq
🏀	basketbol, chambarak, gardish, to‘p
🏐	o‘yin, to‘p, voleybol
🏈	amerikacha, amerikancha futbol, futbol, to‘p
🏉	futbol, regbi, to‘p
🎾	raketka, tennis, to‘p
🥏	disk, frisbi, otish, uchar disk, uchar likopcha
🎳	bouling, o‘yin, to‘p
🏏	cho‘p, kriket, o‘yin, to‘p
