😀	arc, nevetés, nevető arc
🥑	avokádó, gyümölcs, étel
🍆	növény, padlizsán, zöldség
🥔	krumpli, zöldség, étel
🥕	sárgarépa, zöldség, étel
🌽	cső, kukorica, kukoricacső, növény
🌶️	erős, erőspaprika, növény, paprika
🥒	uborka, zöldség, étel
🥬	kel, káposzta, kínai kel, leveles zöldség, saláta
🥦	brokkoli, vadkáposzta
🧄	fokhagyma, ízesítés
🧅	hagyma, ízesítés
🍄	gomba, növény
🥜	földimogyoró, mogyoró, étel
🌰	gesztenye, növény
🍞	kenyér, vekni
🥐	croissant, francia, reggeli, étel
🥖	bagett, francia, kenyér, étel
🥨	csavart, perec
🥯	bagel, pékáru, vajkrém
🥞	palacsinta, étel
🧇	gofri, határozatlan, vas
🧀	lyukas sajt, sajt, sajtdarab
🍖	csont, csontos hús, hús
🍗	baromfi, comb, csirke, csirkecomb, csontos
🥩	bárányszelet, húsdarab, hússzelet, sertésszelet, steak
🥓	bacon, hús, szalonna, étel
🍔	burger, hambi, hamburger
🍟	krumpli, sült krumpli, sültkrumpli
🍕	pizza, sajtos, szelet
🌭	hot dog, hotdog, kifli, kolbász, mustár, virsli
🥪	kenyér, szendvics
🌮	mexikói, taco, étel
🌯	burrito, mexikói, étel
🥙	falafel, gírosz, kebab, pita, töltött, étel
🧆	csicseriborsó, falafel, húsgolyó
🥚	tojás, étel
🍳	serpenyő, sütés-főzés, tojás
🥘	serpenyő, serpenyős étel, étel
🍲	egy tál étel, ennivaló, tál, étel
🥣	gabonapehely, reggeli, rizskása, tál kanállal
🥗	saláta, zöld, zöld saláta, étel
🍿	kukorica, pattogatott kukorica
🧈	tejtermék, vaj
🧂	fűszer, só, sószóró
🥫	konzerv, konzervdoboz
🍱	bento, japán ételdoboz, ételdoboz
🍘	japán, keksz, rizs, rizskeksz
🍙	golyó, japán, rizs, rizsgolyó
🍚	főtt rizs, főzött, rizs
🍛	curry, currys rizs, rizs
🍜	forró, gőzölgő tál, gőzölög, tál, tészta
🍝	spagetti, tészta
🍠	burgonya, sült édesburgonya, édesburgonya, étel
🍢	japán kebab, oden, étel
🍣	szusi, étel
🍤	rák, sült, sült garnélarák, tenger gyümölcsei
🍥	csavart, csavart haltorta, haltorta, étel
🥮	fesztivál, holdsütemény, yuèbǐng, ősz
🍡	dango, desszert, pálca, édesség, étel
🥟	gombóc, töltött tészta
🥠	jóslat, szerencsesüti
🥡	elviteles doboz, elviteles papírdoboz
🦀	csillagjegy, rák, állatöv
🦞	homár, ollók, rákleves, tengeri étel
🦐	garnélarák, kicsi, étel
🦑	tintahal, étel
🦪	búvárkodás, gyöngy, osztriga
🍦	desszert, fagyi, gépi fagylalt, lágyfagylalt, édesség
🍧	desszert, fagyi, fagylalt öntettel, édesség, öntet
🍨	desszert, fagyi, fagylalt, édesség
🍩	desszert, fánk, édesség
🍪	desszert, keksz, sütemény, süti, édesség
🎂	desszert, születésnapi torta, szülinap, sütemény, süti, torta, édesség
🍰	desszert, gyümölcstorta, sütemény, süti, torta, tortaszelet, édesség
🧁	cupcake, pékáru, édesség
🥧	pite, sütemény, töltelék
🍫	csoki, csokoládé, desszert, táblás csokoládé, édesség
🍬	cukorka, desszert, édesség
🍭	cukorka, desszert, nyalóka, édesség
🍮	desszert, puding, édesség
🍯	bödön, csupor, méz, mézes bödön, mézes csupor
🍼	baba, cumi, cumisüveg, tej
🥛	egy pohár tej, ital, pohár, tej
☕️	forró, forró ital, gőzölgő, ital, kávé, tea
🍵	fül nélküli teáscsésze, ital, tea, teáscsésze
🍶	bár, csésze, ital, szaké, üveg
🍾	bár, ital, kiugrik, kupak, üveg kiugró dugóval
🍷	bor, borospohár, bár, ital, pohár
🍸️	bár, ital, koktél, koktélos pohár, pohár
🍹	bár, ital, koktél, trópusi, trópusi ital
🍺	bár, ital, korsó, sör, söröskorsó
🍻	bár, ital, koccintás, korsó, sör, összekoccanó söröskorsók
🥂	ivás, koccintás, koccintó, koccintó poharak, pohár, ünneplés
🥃	alkohol, feles, feles pohár, tömény, whisky
🥤	dszúz, ivólé, pohár szívószállal, szóda
🧃	gyümölcsleves doboz, italos doboz
🧉	ital, maté
🧊	hideg, jéghegy, jégkocka
🥢	evőpálcikák, hashi
🍽️	kés, kés és villa tányérral, tálalás, tányér, villa
🍴	kés, kés és villa, tálalás, villa
🥄	evőeszköz, kanál
🔪	eszköz, felszerelés, konyha, konyhakés, kés
🏺	amfora, edény, váza, vízöntő
🌍	Afrika, Európa, Európát és Afrikát mutató földgömb, föld, földgömb, világ
🌎️	Amerika, Amerikát mutató földgömb, föld, földgömb, földrajz, világ
🌏	Ausztrália, föld, világ, Ázsia, Ázsiát és Ausztráliát mutató földgömb
🌐	délkörök, föld, földgömb, földgömb délkörökkel, földrajz, világ
🗺️	föld, térkép, világ, világtérkép
🗾	Japán, Japán térképe, földrajz, térkép
🧭	iránytű, mágneses, navigáció, tájékozódás
🏔️	hegy, hegy hótakaróval, hideg, hó
⛰️	hegy, hegység
🌋	kitörés, tűzhányó, vulkán
🗻	Fudzsi-hegy, fudzsi, hegy
🏕️	kemping, sátorozás
🏖️	napernyő, strand, strand napernyővel, tengerpart
🏜️	kaktusz, sivatag
🏝️	lakatlan sziget, sivatag, sziget
🏞️	nemzeti park, park, védett terület
🏟️	sportlétesítmény, stadion
🏛️	klasszikus, klasszikus épület, régi, épület
🏗️	építkezés, építés
🧱	agyag, fal, malter, tégla, téglák
🏘️	ház, lakóházak, épület
🏚️	elhagyatott, elhagyatott ház, ház, épület
🏠️	ház, lakóház, otthon, épület
🏡	ház, ház kerttel, kert, otthon, épület
🏢	irodaépület, épület
🏣	japán, japán postahivatal, posta, épület
🏤	európai, posta, postahivatal, épület
🏥	doktor, gyógyítás, kórház, orvos, épület
🏦	bank, épület
🏨	hotel, épület
🏩	love hotel, szerelmi fészek, szálloda, szálló szerelmeseknek, épület
🏪	bolt, kisbolt, non-stop, éjjel-nappali, épület
🏫	iskola, épület
🏬	boltok, áruház, épület
🏭️	gyár, épület
🏯	japán, japán kastély, kastély, épület
🏰	európai, vár, épület
💒	esküvő, kápolna, romantika, épület
🗼	tokió, tokiói torony, torony
🗽	Szabadság-szobor, szabadság, szobor
⛪️	kereszt, keresztény, templom, vallás, épület
🕌	iszlám, mecset, mohamedán, muszlim, vallás
🛕	hindu, hindu templom, templom
🕍	szentély, templom, vallás, zsidó, zsinagóga
⛩️	sintó, sintó szentély, szentély, vallás
🕋	iszlám, kába, mohamedán, muszlim, vallás
⛲️	szökőkút
⛺️	kempingezés, szállás, sátor
🌁	időjárás, köd, ködös
🌃	csillag, derült idő, éjszaka, éjszaka csillagokkal
🏙️	város, városkép, épületek
🌄	hegyek, hegyek mögött felkelő nap, nap, napfelkelte
🌅	felkelő nap, nap, napfelkelte, reggel
🌆	alkonyat, este, naplemente, város, városkép alkonyatkor
🌇	alkonyat, lemenő nap, nap, naplemente, épületek
🌉	híd, híd éjszaka, éjszaka
♨️	forrás, forró, gőz, hőforrás
🎠	játék, körhinta, ló a körhintáról, vidámpark
🎡	játék, vidámpark, óriáskerék
🎢	hullámnvasút, hullámvasút, játék, vidámpark
💈	borbély, cégér, fodrász, fodrászcégér, hajvágás
🎪	cirkusz, cirkuszsátor, sátor
🚂	gőz, jármű, mozdony, vasút
🚃	elektromos, kocsi, vasút, vasúti kocsi, villamos, vonat
🚄	gyorsvasút, gyorsvonat, jármű, vasút
🚅	golyóorrú, golyóorrú gyorsvasút, gyorsvonat, jármű, nagysebességű
🚆	jármű, vasút, vonat
🚇️	földalatti, jármű, metró
🚈	hév, jármű, vasút
🚉	jármű, vasút, vonat, állomás
🚊	jármű, nagyvárosi közlekedés, villamos
🚝	egysínű vasút, jármű
🚞	hegyi vasút, jármű, kocsi
🚋	jármű, kocsi, villamos, villamoskocsi
🚌	busz, jármű
🚍️	busz, jármű, érkezés, érkező busz
🚎	busz, jármű, troli, trolibusz
🚐	busz, jármű, mikrobusz, minibusz
🚑️	jármű, mentő
🚒	jármű, tűzoltóautó, tűzoltóság
🚓	autó, jármű, járőrautó, rendőrautó, rendőrség
🚔️	autó, jármű, járőrautó, rendőrség, érkező, érkező rendőrautó
🚕	jármű, személyszállítás, taxi
🚖	jármű, személyszállítás, taxi, érkező, érkező taxi
🚗	autó, jármű
🚘️	autó, jármű, kocsi, érkező, érkező autó
🚙	SUV, jármű, lakókocsi, szabadidőautó
🚚	autó, jármű, teherautó, teherfuvarozás
🚛	autó, billenős teherautó, jármű, teherfuvarozás
🚜	jármű, traktor
🏎️	autó, verseny, versenyautó, versenyzés
🏍️	motorkerékpár, verseny, versenyzés
🛵	motor, robogó
🦽	akadálymentesség, kézi hajtású kerekesszék
🦼	akadálymentesség, motoros kerekesszék
🛺	motoros riksa, tuk tuk
🚲️	bicikli, jármű, kerékpár
🛴	roller
🛹	deszka, gördeszka
🚏	busz, buszmegálló, megálló
🛣️	autópálya, pálya, út
🛤️	vasút, vasúti sín, vonat
🛢️	hordó, olaj, olajoshordó
⛽️	benzin, benzinkút, dízel, kút, tank, töltőállomás
🚨	autó, forgó, jármű, lámpa, rendőrautó villogója, villogó
🚥	közlekedési, lámpa, vízszintes közlekedési lámpa
🚦	függőleges közlekedési lámpa, közlekedési, lámpa
🛑	nyolcszög, stoptábla
🚧	sorompó, útépítés
⚓️	hajózás, horgony, kikötés, vasmacska
⛵️	hajó, jacht, tenger, vitorlás, vitorlás hajó, vízi jármű
🛶	csónak, kenu
🚤	csónak, motoros siklócsónak, vízi jármű
🛳️	csónak, utasszállítás, utasszállító hajó, vízi jármű
⛴️	hajó, komp, utasszállítás
🛥️	csónak, motorcsónak, utasszállítás
🚢	hajó, vízi jármű
✈️	légi jármű, repülőgép
🛩️	kisrepülő, légi jármű, repülőgép
🛫	felszállás, indulás, légi jármű, repülőgép, repülőgép indulása, utasfelvétel
🛬	leszállás, légi jármű, repülőgép, repülőgép érkezése, érkezés
🪂	ejtőernyő, siklóernyő
💺	szék, ülés
🚁	helikopter, légi jármű
🚟	függő, függővasút, jármű, vasút
🚠	hegyi, hegyi felvonó, jármű
🚡	jármű, kötélpálya, kötélpályás felvonó, levegő
🛰️	jármű, műhold, szatelit, űr
🚀	jármű, rakéta, űr
🛸	UFO, repülő csészealj, ufó
🛎️	csengő, londinerhívó csengő, szálloda
🧳	bőrönd, csomagolás, utazás
⌛️	homok, homokóra, idő, óra
⏳️	homok, homokóra, homokóra csordogáló homokkal, idő
⌚️	karóra, óra
⏰	vekker, ébresztés, ébresztőóra, óra
⏱️	stopper, stopperóra, óra
⏲️	időzítő, visszaszámlálás, visszaszámláló óra, óra
🕰️	régies óra, óra
🕛️	00, 12, 12:00, egész óra, tizenkettő, tizenkét óra, óra
🕧	12, 12:30, 30, fél egy, harminc, tizenkettő, óra
🕐️	00, 1, 1:00, egy, egy óra, egész óra, óra
🕜	1, 1:30, 30, egy, fél kettő, harminc, óra
🕑️	00, 2, 2:00, egész óra, kettő, két óra, óra
🕝	2, 2:30, 30, fél három, harminc, kettő, óra
🕒️	00, 3, 3:00, egész óra, három, három óra, óra
🕞	3, 30, 3:30, fél négy, harminc, három, óra
🕓️	00, 4, 4:00, egész óra, négy, négy óra, óra
🕟	30, 4, 4:30, fél öt, harminc, négy, óra
🕔️	00, 5, 5:00, egész óra, óra, öt, öt óra
🕠	30, 5, 5:30, fél hat, harminc, óra, öt
🕕️	00, 6, 6:00, egész óra, hat, hat óra, óra
🕡	30, 6, 6:30, fél hét, harminc, hat, óra
🕖️	00, 7, 7:00, egész óra, hét, hét óra, óra
🕢	30, 7, 7:30, fél nyolc, harminc, hét, óra
🕗️	00, 8, 8:00, egész óra, nyolc, nyolc óra, óra
🕣	30, 8, 8:30, fél kilenc, harminc, nyolc, óra
🕘️	00, 9, 9:00, egész óra, kilenc, kilenc óra, óra
🕤	30, 9, 9:30, fél tíz, harminc, kilenc, óra
🕙️	00, 10, 10:00, egész óra, tíz, tíz óra, óra
🕥	10, 10:30, 30, fél tizenegy, harminc, tíz, óra
🕚️	00, 11, 11:00, egész óra, tizenegy, tizenegy óra, óra
🕦	11, 11:30, 30, fél tizenkettő, harminc, tizenegy, óra
🌑	hold, holdfázisok, sötétség, ég, újhold
🌒	holdfázisok, növő hold, növő, sarló alakú hold, sarló, ég
🌓	első negyedben lévő hold, hold, holdfázisok, negyed, ég
🌔	domború, hold, holdfázisok, növő domború hold, ég
🌕️	hold, holdfázisok, telihold, ég
🌖	fogyó domború hold, hold, holdfázisok, homorú, ég
🌗	hold, holdfázisok, utolsó negyed, utolsó negyedben lévő hold, ég
🌘	fogyó, fogyó, kifli alakú hold, fogyó, sarló alakú hold, hold, holdfázisok, sarló, ég
🌙	hold, holdfázisok, sarló, sarló alakú hold, ég
🌚	arc, hold, holdfázisok, ég, újhold, újhold arccal
🌛	arc, első negyed, első negyedben lévő hold arccal, hold, holdfázisok, ég
🌜️	arc, hold, holdfázisok, utolsó negyed, utolsó negyedben lévő hold arccal, ég
🌡️	hőmérő, időjárás
☀️	fényes sugarak, időjárás, nap, napos, napsugarak
🌝	arc, holdfázisok, telihold, telihold arccal, ég
🌞	arc, időjárás, nap, nap arccal, égitest
🪐	gyűrűs bolygó, szaturnusz
⭐️	csillag
🌟	csillag, csillogás, fény, fénylő csillag
🌠	csillag, csillaghullás, hullócsillag, ég
🌌	csillagrendszer, tejút, világűr, űr
☁️	felhő, időjárás
⛅️	felhő, időjárás, nap, nap egy felhő mögött
⛈️	eső, felhő, felhő villámmal és esővel, időjárás, mennydörgés
🌤️	felhő, időjárás, nap, nap egy kis felhő mögött
🌥️	felhő, időjárás, nap, nap egy nagy felhő mögött
🌦️	eső, felhő, időjárás, nap, nap a felhő mögött esővel
🌧️	eső, felhő, felhő esővel, időjárás
🌨️	felhő, felhő hóval, hideg, hó, időjárás
🌩️	felhő, felhő villámmal, időjárás, villám
🌪️	felhő, időjárás, tornádó
🌫️	felhő, időjárás, köd
🌬️	arc, időjárás, szeles, szél, szélarc
🌀	ciklon, hurrikán, időjárás, tájfun
🌈	eső, időjárás, szivárvány
🌂	becsukott esernyő, ernyő, eső, időjárás, kiegészítő
☂️	esernyő, eső, időjárás, kiegészítő
☔️	csepp, ernyő, esernyő esőcseppekkel, eső, időjárás, kiegészítő
⛱️	ernyő, ernyő a földön, eső, időjárás, nap
⚡️	magasfeszültség, nagyfeszültség, veszély, villám
❄️	hideg, hó, hópehely, időjárás
☃️	hideg, hó, hóember, időjárás
⛄️	hideg, hó, hóember, hóember hó nélkül, időjárás
☄️	üstökös, űr
🔥	láng, tűz
💧	csepp, hideg, időjárás, izzadság, képregény
🌊	hullám, hullám a vízen, időjárás, tenger, víz, óceán
🎃	halloween, töklámpa, töklámpás, ünnep, ünnepi hangulat, ünneplés
🎄	fa, fenyőfa, karácsony, karácsonyfa, ünnep
🎆	tűzijáték, ünnep, ünnepi hangulat, ünneplés
🎇	csillagszóró, tűzijáték, ünnep, ünnepi hangulat, ünneplés
🧨	dinamit, petárda, robbanószer, tüzijáték
✨	csillag, szikra, szikrák
🎈	léggömb, ünnep, ünnepi hangulat, ünneplés
🎉	buli, partikellékek, ünnep, ünnepi hangulat, ünneplés
🎊	konfetti, ünnep, ünnepi hangulat, ünneplés
🎋	fa, japán, tanabata ünnepi fa, ünnep, ünnepi hangulat, ünneplés
🎍	bambusz, fenyő, fenyődekoráció, japán, ünnep
🎎	baba, japán, japán babák, ünnep, ünnepi hangulat, ünneplés
🎏	ponty, rizspapír, rizspapír pontyok, ünnep, ünnepi hangulat, ünneplés
🎐	harang, harangjáték, ünnep, ünnepi hangulat, ünneplés
🎑	hold, holdünnep, ünnep, ünnepi hangulat, ünneplés
🧧	ajándék, hóngbāo, lai see, piros boríték, pénz, szerencsehozó
🎀	masni, szalag, ünnep, ünnepi hangulat, ünneplés
🎁	ajándék, becsomagolt, becsomagolt ajándék, doboz, ünnep, ünnepi hangulat, ünneplés
🎗️	emlékezés, emlékező szalag, megemlékezés, szalag
🎟️	belépő, belépőjegyek, jegy
🎫	belépő, jegy
🎖️	katonai, katonai kitüntetés, kitüntetés, medál, megemlékezés
🏆️	díj, kupa
🏅	medál, sportérem, érem
🥇	arany, aranyérem, első, érem
🥈	ezüst, ezüstérem, második, érem
🥉	bronz, bronzérem, harmadik, érem
⚽️	foci, futball, labda
⚾️	baseball, labda
🥎	kar alatti dobás, kesztyű, labda, softball
🏀	kosár, kosárlabda, labda
🏐	játék, labda, röplabda, sport
🏈	amerikai foci, amerikai futball, labda
🏉	labda, rögbi
🎾	labda, tenisz
🥏	frizbi, ultimate
🎳	bowling, golyó, játék
🏏	játék, krikett, labda, ütő
🏑	gyeplabda, hoki, labda, sport, ütő
🏒	hoki, hokiütő és korong, jéghoki, korong, labda, sport, ütő
🥍	bot, kapu, labda, lacrosse
🏓	asztalitenisz, labda, pingpong, sport, ütő
🏸	játék, labda, tollas, tollaslabda, ütő
🥊	boksz, bokszkesztyű, kesztyű, sport
🥋	dzsúdó, harcművészet, judo, karate, karateruha, ruha, sport
🥅	háló, kapu, sport
⛳️	golf, lyuk, zászló a lyuknál
⛸️	jég, jégkorcsolya, korcsolya
🎣	bot, hal, horgászbot, pecabot
🤿	búvárkodás, búvármaszk, merülés, szabadtüdős merülés
🎽	futás, futómez, mez, trikó
🎿	hó, síelés, sílécek, téli sportok
🛷	szán, szánkó
🥌	curlingkő, játék, kő
🎯	bullseye, játék, találat, telitalálat
🪀	jojó, jojózik, játék
🪁	papírsárkány, repül, szárnyal
🎱	8-as, biliárd, biliárdgolyó, golyó
🔮	jövendő, jövendőmondás, kristálygömb, mese
🧿	bűbáj, gonoszűző, nazar, nazar amulett, szem, talizmán
🎮️	játék, kontroller, videojáték
🕹️	joystick, játék, videojáték
🎰	játékgép, nyerőgép, pénzbedobós
🎲	dobókocka, játék, kocka
🧩	darab, kirakó, nyom, puzzle, összekapcsolódó
🧸	játszótárs, játék, plüss, plüssmaci, tömött
♠️	francia kártya, játék, pikk, pikk szín, szín
♥️	francia kártya, játék, kőr, kőr szín, szín
♦️	francia kártya, játék, káró, káró szín, szín
♣️	francia kártya, játék, szín, treff, treff szín
♟️	becsap, feláldozható, gyalog, sakk
🃏	dzsóker, francia kártya, játék
🀄️	játék, madzsong, madzsong vörös sárkány, vörös
🎴	japán, játék, kártya, virág, virágos kártyajáték
🎭️	előadás, előadóművészetek, maszkok, színház
🖼️	bekeretezett kép, galéria, kép kerettel, múzeum, művészet
🎨	festőpaletta, galéria, múzeum, művészet, paletta
🧵	cérna, madzag, orsó, tű, varrás
🧶	fonál, gombolyag, horgolás, kötés
👓️	szem, szemüveg, viselet
🕶️	kiegészítő, napszemüveg, szem, szemüveg, sötét
🥽	hegesztés, szemvédelem, védőszemüveg, úszás
🥼	kísérlet, laborköpeny, orvos, tudós
🦺	biztonság, mellény, mentő, mentőmellény, vészhelyzet
👔	elegancia, nyakkendő, ruházat
👕	póló, ruha, ruházat
👖	farmer, farmernadrág, nadrág, ruha, ruházat
🧣	nyak, sál
🧤	kesztyű, kéz
🧥	dzseki, kabát
🧦	harisnya, zokni
👗	ruha, ruházat
👘	kimonó, ruha, ruházat
🥻	ruha, ruházat, szári
🩱	egyrészes fürdőruha, fürdőruha
🩲	alsó, egyrészes, fürdőnadrág
🩳	alsó, fürdőnadrág, rövidnadrág
👙	bikini, fürdő, ruha, ruházat, úszás
👚	női ruha, nők, ruha, ruházat
👛	kiegészítő, pénz, pénztárca
👜	kiegészítő, női táska, táska
👝	kiegészítő, táska
🛍️	bevásárlótáska, bevásárlótáskák, táska, vásárlás
🎒	hátizsák, iskola, iskolatáska, táska
👞	cipő, férfi, férfi cipő, ruha, ruházat
👟	atlétika, cipő, edzőcipő, futás, futócipő, tornacipő
🥾	bakancs, hátizsákos túra, kemping, túrabakancs, túrázás
🥿	balenira, lapos sarkú cipő, mokaszin, papucs
👠	magas sarkú cipő, magassarkú, nők, ruha, ruházat
👡	női szandál, nők, ruha, ruházat, szandál
🩰	balett, balettcipő, tánc
👢	csizma, lábbeli, női csizma, nők, ruha, ruházat
👑	kiegészítő, király, királynő, korona
👒	kalap, női kalap, nők, ruha, ruházat
🎩	cilinder, kalap, ruha, ruházat
🎓️	diplomaosztó, diplomaosztón használt kalap, kalap, ruha, ruházat, ünneplés
🧢	baseball sapka, sildes sapka
⛑️	elsősegély, sisak, sisak vörös kereszttel
📿	gyöngyök, ima, imafüzér, nyaklánc, vallás
💄	ajakrúzs, kozmetikum, smink, szépségápolás
💍	gyémánt, gyűrű, romantika, ékszer
💎	gyémánt, romantika, ékkő, ékszer
🔇	csendes, elnémított hangszóró, hangerő, hangszóró, néma, némított
🔈️	hangerő, hangszóró
🔉	alacsony hangerő, bekapcsolt hangszóró, hangszóró
🔊	hangos, hangos hangszóró, hangszóró, nagy hangerő
📢	hangos, hangosbeszélő, közlemények
📣	megafon, szurkolás
📯	kürt, posta, postai, postakürt
🔔	harang
🔕	harang, néma, némított, némítás, tilos, tiltott, áthúzott harang
🎼	kotta, zene, zenei kotta
🎵	hangjegy, zene
🎶	hangjegy, hangjegyek, zene
🎙️	mikrofon, stúdió, stúdiómikrofon, zene
🎚️	csúszka, hangerő, zene
🎛️	gombok, irányítás, vezérlőgombok, zene
🎤	hangjegyek, karaoke, mikrofon, zene
🎧️	fülhallgató, zenehallgatás
📻️	rádió, rádiókészülék
🎷	hangszer, szaxi, szaxofon, zene
🎸	gitár, hangszer, zene
🎹	billentyűzet, hangszer, zene, zenei billentyűzet, zongora
🎺	hangszer, trombita, zene
🎻	hangszer, hegedű, zene
🪕	bendzsó, húros, zene
🥁	dob, dobverő, zene
📱	mobil, mobiltelefon, rádiótelefon, telefon
📲	hívás, mobil, mobiltelefon, mobiltelefon nyíllal, nyíl, rádiótelefon, telefon
☎️	telefon
📞	kagyló, telefon, telefonkagyló
📟️	személyhívó
📠	fax, faxkészülék
🔋	akkumulátor, elem
🔌	dugó, elektromos dugó, elektronika, villamosság
💻️	laptop, notebook, számítógép
🖥️	asztali, asztali számítógép, pc, számítógép
🖨️	nyomtató, számítógép
⌨️	billentyűzet, számítógép
🖱️	3 gombos, egér, három, számítógép, számítógépes egér
🖲️	számítógép, trackball
💽	lemez, minidisk, optikai, számítógép
💾	floppy, floppylemez, hajlékonylemez, lemez, számítógép
💿️	blu-ray, dvd, lemez, optikai, optikai lemez, számítógép
📀	blu-ray, cd, dvd, lemez, optikai, számítógép
🧮	abakusz, számolás
🎥	felvevő, film, kamera, mozi
🎞️	film, filmkockák, filmtekercs, kocka, kockák, mozi
📽️	film, filmvetítő, mozi, vetítő, videó
🎬️	csapó, film
📺️	televízió, tévé, tévékészülék
📷️	fényképezőgép, kamera
📸	fényképező vakuval, fényképezőgép, vaku, videó
📹️	kamera, videokamera, videók
📼	kazetta, szalag, videokazetta, videó
🔍	balra mutató nagyító, keresés, lencse, nagyító
🔎	jobbra mutató nagyító, keresés, lencse, nagyító
🕯️	gyertya, világítás
💡	fény, képregény, villanykörte, világítás, ötlet
🔦	elektronikus, elemlámpa, fény, világítás, zseblámpa
🏮	bár, japán, lámpa, piros, piros papírlámpa
🪔	diya, lámpa, olaj, olajlámpa
📔	borító, díszes, díszkötés, füzet, jegyzetfüzet, jegyzetfüzet díszkötésben
📕	becsukott könyv, csukott, könyv
📖	könyv, nyitott, nyitott könyv
📗	könyv, zöld, zöld könyv
📘	kék, kék könyv, könyv
📙	könyv, narancssárga, narancssárga könyv
📚️	könyv, könyvek
📓	füzet, jegyzetek, jegyzetfüzet
📒	főkönyv, könyv
📃	dokumentum, kunkorodik, kunkorodó lap, lap
📜	papír, papírtekercs, tekercs
📄	dokumentum, felfelé néző oldal, lap
📰	újság, újságos
🗞	feltekert, feltekert újság, papír, újság
📑	fülek, jelzés, könyvjelző, könyvjelzők
🔖	könyvjelző
🏷️	címke
💰️	dollár, pénz, pénzeszsák, zsák
💴	bank, bankjegy, bankó, jen, jen bankjegy, papírpénz, pénz, pénznem
💵	bank, bankjegy, bankó, dollár, dollár bankjegy, papírpénz, pénz, pénznem
💶	bank, bankjegy, bankó, euró, euró bankjegy, papírpénz, pénz, pénznem
💷	bank, bankjegy, bankó, font, font bankjegy, papírpénz, pénz, pénznem
💸	bankjegy, dollár, pénz, pénz szárnyakkal, szárnyak
💳️	bank, bankkártya, hitelkártya, kártya
🧾	bizonyíták, könyvelés, nyugta, pénzügyek, számla
💹	diagram, emelkedés, jen, növekvő jendiagram, pénz, trend
💱	bank, pénz, pénzváltás, pénzváltó, valuta, átváltás
💲	dollár, pénz, pénznem, vastag dollárjel
✉️	boríték, e-mail, levél
📧	e-mail, levél
📨	beérkező, beérkező boríték, boríték, e-mail, fogadás, levél, posta
📩	boríték, boríték nyíllal, e-mail, elküldött, kimenő, levél, nyíl, posta
📤️	elküldött, kimenő, kimenő tálca, levél, posta, tálca
📥️	beérkező, beérkező tálca, fogadás, levél, posta, tálca
📦️	csomag, doboz
📫️	csukott, csukott levelesláda felemelt zászlóval, levelesláda, levél, postaláda
📪️	csukott, csukott levelesláda leengedett zászlóval, leengedett, levelesláda, levél, postaláda
📬️	felemelt, levelesláda, levél, nyitott, nyitott levelesláda felemelt zászlóval, postaláda
📭️	leengedett, levelesláda, levél, nyitott, nyitott levelesláda leengedett zászlóval, postaláda
📮	doboz, levelesláda, postaláda
🗳️	doboz, szavazás, urna, urna szavazólappal
✏️	ceruza, írószer
✒️	fekete tollhegy, toll, tollhegy, írószer
🖋️	toll, töltőtoll, írószer
🖊️	golyóstoll, toll, írószer
🖌️	ecset, festés, írószer
🖍️	rajz, zsírkréta
📝	ceruza, feljegyzés, lap
💼	aktatáska
📁	fájl, fájlmappa, mappa
📂	fájl, mappa, nyitott, nyitott fájlmappa
🗂️	elválasztók, kartoték, kartotékelválasztók, katalógus
📅	dátum, naptár
📆	fali naptár, naptár
🗒️	jegyzettömb, spirál, spirálfüzet, tömb
🗓️	naptár, spirál, spirálos naptár, tömb
📇	forgó, forgó névjegykártyatartó, kártya, rolodex, tartó
📈	diagram, felfelé, növekedés, növekvő diagram, trend
📉	csökkenés, csökkenő diagram, diagram, lefelé, trend
📊	diagram, oszlop, oszlopdiagram, sáv
📋️	írótábla
📌	rajzszög
📍	kerek rajzszög, rajzszög
📎	gemkapocs, papírkapocs
🖇️	gemkapcsok, kapcsolódás, összekapcsolt gemkapcsok
📏	egyenes, egyenes vonalzó, vonalzó
📐	derékszögű, háromszög, háromszögvonalzó, vonalzó
✂️	eszköz, olló
🗃️	akták, doboz, kartoték, kartotékdoboz
🗄️	akták, iratok, iratszekrény, szekrény
🗑️	papírkosár
🔒️	lakat, zárt, zárva
🔓️	kinyitás, lakat, nyitott lakat, nyitva
🔏	adatvédelem, lakat tollal, tinta, toll, zár
🔐	biztonságos, kulcs, zárt, zárt lakat kulccsal, zárva
🔑	jelszó, kulcs
🗝️	régi kulcs, öreg kulcs
🔨	kalapács, szerszám
🪓	balta, fa, fejsze, szekerce, vágás
⛏️	bányászat, csákány, szerszám
⚒️	csákány, kalapács, kalapács és csákány, szerszám
🛠️	csavarkulcs, kalapács, kalapács és csavarkulcs, szerszám, villáskulcs
🗡️	fegyver, szúrás, tőr
⚔️	fegyver, kardok, keresztbe tett, keresztezett, keresztezett kardok
🔫	fegyver, pisztoly, revolver
🏹	fegyver, nyilas, nyíl, íj, íj és nyíl
🛡️	fegyver, pajzs
🔧	csavarkulcs, szerszám, villáskulcs
🔩	anya, csavar, csavar és anya, szerszám
⚙️	fogaskerék, szerszám
🗜️	satu, szerszám
⚖️	eszköz, felszerelés, kétkarú mérleg, mérleg, tömeg
🦯	akadálymentesség, fehér bot, vak
🔗	kapocs, láncszem
⛓️	lánc, láncszemek
