😀	sourire, visage rieur
🕵🏻‍♂	détective, détective homme : peau claire, enquêteur, espion, homme, peau claire
🕵🏼‍♂	détective, détective homme : peau moyennement claire, enquêteur, espion, homme, peau moyennement claire
🕵🏽‍♂	détective, détective homme : peau légèrement mate, enquêteur, espion, homme, peau légèrement mate
🕵🏾‍♂	détective, détective homme : peau mate, enquêteur, espion, homme, peau mate
🕵🏿‍♂	détective, détective homme : peau foncée, enquêteur, espion, homme, peau foncée
🕵‍♀	détective, détective femme, enquêteuse, espionne, femme
🕵🏻‍♀	détective, détective femme : peau claire, enquêteuse, espionne, femme, peau claire
🕵🏼‍♀	détective, détective femme : peau moyennement claire, enquêteuse, espionne, femme, peau moyennement claire
🕵🏽‍♀	détective, détective femme : peau légèrement mate, enquêteuse, espionne, femme, peau légèrement mate
🕵🏾‍♀	détective, détective femme : peau mate, enquêteuse, espionne, femme, peau mate
🕵🏿‍♀	détective, détective femme : peau foncée, enquêteuse, espionne, femme, peau foncée
💂	garde
💂🏻	garde, garde : peau claire, peau claire
💂🏼	garde, garde : peau moyennement claire, peau moyennement claire
💂🏽	garde, garde : peau légèrement mate, peau légèrement mate
💂🏾	garde, garde : peau mate, peau mate
💂🏿	garde, garde : peau foncée, peau foncée
💂‍♂	garde, garde homme, homme
💂🏻‍♂	garde, garde homme : peau claire, homme, peau claire
💂🏼‍♂	garde, garde homme : peau moyennement claire, homme, peau moyennement claire
💂🏽‍♂	garde, garde homme : peau légèrement mate, homme, peau légèrement mate
💂🏾‍♂	garde, garde homme : peau mate, homme, peau mate
💂🏿‍♂	garde, garde homme : peau foncée, homme, peau foncée
💂‍♀	femme, garde, garde femme
💂🏻‍♀	femme, garde, garde femme : peau claire, peau claire
💂🏼‍♀	femme, garde, garde femme : peau moyennement claire, peau moyennement claire
💂🏽‍♀	femme, garde, garde femme : peau légèrement mate, peau légèrement mate
💂🏾‍♀	femme, garde, garde femme : peau mate, peau mate
💂🏿‍♀	femme, garde, garde femme : peau foncée, peau foncée
👷	bâtiment, casque, ouvrier, personnel du bâtiment
👷🏻	bâtiment, casque, ouvrier, peau claire, personnel du bâtiment, personnel du bâtiment : peau claire
👷🏼	bâtiment, casque, ouvrier, peau moyennement claire, personnel du bâtiment, personnel du bâtiment : peau moyennement claire
👷🏽	bâtiment, casque, ouvrier, peau légèrement mate, personnel du bâtiment, personnel du bâtiment : peau légèrement mate
👷🏾	bâtiment, casque, ouvrier, peau mate, personnel du bâtiment, personnel du bâtiment : peau mate
👷🏿	bâtiment, casque, ouvrier, peau foncée, personnel du bâtiment, personnel du bâtiment : peau foncée
👷‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment
👷🏻‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau claire, peau claire
👷🏼‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau moyennement claire, peau moyennement claire
👷🏽‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau légèrement mate, peau légèrement mate
👷🏾‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau mate, peau mate
👷🏿‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau foncée, peau foncée
👷‍♀	bâtiment, femme, ouvrière, ouvrière du bâtiment
👷🏻‍♀	bâtiment, femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau claire, peau claire
👷🏼‍♀	bâtiment, femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau moyennement claire, peau moyennement claire
👷🏽‍♀	bâtiment, femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau légèrement mate, peau légèrement mate
👷🏾‍♀	bâtiment, femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau mate, peau mate
👷🏿‍♀	bâtiment, femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau foncée, peau foncée
🤴	prince
🤴🏻	peau claire, prince, prince : peau claire
🤴🏼	peau moyennement claire, prince, prince : peau moyennement claire
🤴🏽	peau légèrement mate, prince, prince : peau légèrement mate
🤴🏾	peau mate, prince, prince : peau mate
🤴🏿	peau foncée, prince, prince : peau foncée
👸	fantastique, princesse
👸🏻	fantastique, peau claire, princesse, princesse : peau claire
👸🏼	fantastique, peau moyennement claire, princesse, princesse : peau moyennement claire
👸🏽	fantastique, peau légèrement mate, princesse, princesse : peau légèrement mate
👸🏾	fantastique, peau mate, princesse, princesse : peau mate
👸🏿	fantastique, peau foncée, princesse, princesse : peau foncée
👳	personne en turban, turban
👳🏻	peau claire, personne en turban, personne en turban : peau claire, turban
👳🏼	peau moyennement claire, personne en turban, personne en turban : peau moyennement claire, turban
👳🏽	peau légèrement mate, personne en turban, personne en turban : peau légèrement mate, turban
👳🏾	peau mate, personne en turban, personne en turban : peau mate, turban
👳🏿	peau foncée, personne en turban, personne en turban : peau foncée, turban
👳‍♂	homme, homme en turban, turban
👳🏻‍♂	homme, homme en turban, homme en turban : peau claire, peau claire, turban
👳🏼‍♂	homme, homme en turban, homme en turban : peau moyennement claire, peau moyennement claire, turban
👳🏽‍♂	homme, homme en turban, homme en turban : peau légèrement mate, peau légèrement mate, turban
👳🏾‍♂	homme, homme en turban, homme en turban : peau mate, peau mate, turban
👳🏿‍♂	homme, homme en turban, homme en turban : peau foncée, peau foncée, turban
👳‍♀	femme, femme en turban, turban
👳🏻‍♀	femme, femme en turban, femme en turban : peau claire, peau claire, turban
👳🏼‍♀	femme, femme en turban, femme en turban : peau moyennement claire, peau moyennement claire, turban
👳🏽‍♀	femme, femme en turban, femme en turban : peau légèrement mate, peau légèrement mate, turban
👳🏾‍♀	femme, femme en turban, femme en turban : peau mate, peau mate, turban
👳🏿‍♀	femme, femme en turban, femme en turban : peau foncée, peau foncée, turban
👲	casquette mao, chapeau, homme, homme avec casquette chinoise
👲🏻	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau claire, peau claire
👲🏼	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau moyennement claire, peau moyennement claire
👲🏽	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau légèrement mate, peau légèrement mate
👲🏾	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau mate, peau mate
👲🏿	casquette mao, chapeau, homme, homme avec casquette chinoise, homme avec casquette chinoise : peau foncée, peau foncée
🧕	femme avec foulard, foulard, hijab, mantilla, tichel
🧕🏻	femme avec foulard, femme avec foulard : peau claire, foulard, hijab, mantilla, peau claire, tichel
🧕🏼	femme avec foulard, femme avec foulard : peau moyennement claire, foulard, hijab, mantilla, peau moyennement claire, tichel
🧕🏽	femme avec foulard, femme avec foulard : peau légèrement mate, foulard, hijab, mantilla, peau légèrement mate, tichel
🧕🏾	femme avec foulard, femme avec foulard : peau mate, foulard, hijab, mantilla, peau mate, tichel
🧕🏿	femme avec foulard, femme avec foulard : peau foncée, foulard, hijab, mantilla, peau foncée, tichel
🤵	homme, homme en smoking, smoking
🤵🏻	homme, homme en smoking, homme en smoking : peau claire, peau claire, smoking
🤵🏼	homme, homme en smoking, homme en smoking : peau moyennement claire, peau moyennement claire, smoking
🤵🏽	homme, homme en smoking, homme en smoking : peau légèrement mate, peau légèrement mate, smoking
🤵🏾	homme, homme en smoking, homme en smoking : peau mate, peau mate, smoking
🤵🏿	homme, homme en smoking, homme en smoking : peau foncée, peau foncée, smoking
👰	mariage, mariée, mariée avec voile, voile
👰🏻	mariage, mariée, mariée avec voile, mariée avec voile : peau claire, peau claire, voile
👰🏼	mariage, mariée, mariée avec voile, mariée avec voile : peau moyennement claire, peau moyennement claire, voile
👰🏽	mariage, mariée, mariée avec voile, mariée avec voile : peau légèrement mate, peau légèrement mate, voile
👰🏾	mariage, mariée, mariée avec voile, mariée avec voile : peau mate, peau mate, voile
👰🏿	mariage, mariée, mariée avec voile, mariée avec voile : peau foncée, peau foncée, voile
🤰	enceinte, femme, femme enceinte
🤰🏻	enceinte, femme, femme enceinte : peau claire, peau claire
🤰🏼	enceinte, femme, femme enceinte : peau moyennement claire, peau moyennement claire
🤰🏽	enceinte, femme, femme enceinte : peau légèrement mate, peau légèrement mate
🤰🏾	enceinte, femme, femme enceinte : peau mate, peau mate
🤰🏿	enceinte, femme, femme enceinte : peau foncée, peau foncée
🤱	allaitement, bébé, sein, soins
🤱🏻	allaitement, allaitement : peau claire, bébé, peau claire, sein, soins
🤱🏼	allaitement, allaitement : peau moyennement claire, bébé, peau moyennement claire, sein, soins
🤱🏽	allaitement, allaitement : peau légèrement mate, bébé, peau légèrement mate, sein, soins
🤱🏾	allaitement, allaitement : peau mate, bébé, peau mate, sein, soins
🤱🏿	allaitement, allaitement : peau foncée, bébé, peau foncée, sein, soins
👼	ange, bébé, bébé ange, fantastique, visage
👼🏻	ange, bébé, bébé ange : peau claire, fantastique, peau claire, visage
👼🏼	ange, bébé, bébé ange : peau moyennement claire, fantastique, peau moyennement claire, visage
👼🏽	ange, bébé, bébé ange : peau légèrement mate, fantastique, peau légèrement mate, visage
👼🏾	ange, bébé, bébé ange : peau mate, fantastique, peau mate, visage
👼🏿	ange, bébé, bébé ange : peau foncée, fantastique, peau foncée, visage
🎅	noël, père, père Noël
🎅🏻	noël, peau claire, père, père Noël, père Noël : peau claire
🎅🏼	noël, peau moyennement claire, père, père Noël, père Noël : peau moyennement claire
🎅🏽	noël, peau légèrement mate, père, père Noël, père Noël : peau légèrement mate
🎅🏾	noël, peau mate, père, père Noël, père Noël : peau mate
🎅🏿	noël, peau foncée, père, père Noël, père Noël : peau foncée
🤶	Noël, mère, mère Noël
🤶🏻	Noël, mère, mère Noël : peau claire, peau claire
🤶🏼	Noël, mère, mère Noël : peau moyennement claire, peau moyennement claire
🤶🏽	Noël, mère, mère Noël : peau légèrement mate, peau légèrement mate
🤶🏾	Noël, mère, mère Noël : peau mate, peau mate
🤶🏿	Noël, mère, mère Noël : peau foncée, peau foncée
🦸	bien, heroïne, héros, super-héros, super-pouvoir
🦸🏻	bien, heroïne, héros, peau claire, super-héros, super-héros : peau claire, super-pouvoir
🦸🏼	bien, heroïne, héros, peau moyennement claire, super-héros, super-héros : peau moyennement claire, super-pouvoir
🦸🏽	bien, heroïne, héros, peau légèrement mate, super-héros, super-héros : peau légèrement mate, super-pouvoir
🦸🏾	bien, heroïne, héros, peau mate, super-héros, super-héros : peau mate, super-pouvoir
🦸🏿	bien, heroïne, héros, peau foncée, super-héros, super-héros : peau foncée, super-pouvoir
