😀	face, grin, grinning face
🕵🏾‍♀	detective, medium-dark skin tone, sleuth, spy, woman, woman detective: medium-dark skin tone
🕵🏿‍♀	dark skin tone, detective, sleuth, spy, woman, woman detective: dark skin tone
💂	guard
💂🏻	guard, guard: light skin tone, light skin tone
💂🏼	guard, guard: medium-light skin tone, medium-light skin tone
💂🏽	guard, guard: medium skin tone, medium skin tone
💂🏾	guard, guard: medium-dark skin tone, medium-dark skin tone
💂🏿	dark skin tone, guard, guard: dark skin tone
💂‍♂	guard, man, man guard
💂🏻‍♂	guard, light skin tone, man, man guard: light skin tone
💂🏼‍♂	guard, man, man guard: medium-light skin tone, medium-light skin tone
💂🏽‍♂	guard, man, man guard: medium skin tone, medium skin tone
💂🏾‍♂	guard, man, man guard: medium-dark skin tone, medium-dark skin tone
💂🏿‍♂	dark skin tone, guard, man, man guard: dark skin tone
💂‍♀	guard, woman, woman guard
💂🏻‍♀	guard, light skin tone, woman, woman guard: light skin tone
💂🏼‍♀	guard, medium-light skin tone, woman, woman guard: medium-light skin tone
💂🏽‍♀	guard, medium skin tone, woman, woman guard: medium skin tone
💂🏾‍♀	guard, medium-dark skin tone, woman, woman guard: medium-dark skin tone
💂🏿‍♀	dark skin tone, guard, woman, woman guard: dark skin tone
👷	construction, construction worker, hat, worker
👷🏻	construction, construction worker: light skin tone, hat, light skin tone, worker
👷🏼	construction, construction worker: medium-light skin tone, hat, medium-light skin tone, worker
👷🏽	construction, construction worker: medium skin tone, hat, medium skin tone, worker
👷🏾	construction, construction worker: medium-dark skin tone, hat, medium-dark skin tone, worker
👷🏿	construction, construction worker: dark skin tone, dark skin tone, hat, worker
👷‍♂	construction, man, man construction worker, worker
👷🏻‍♂	construction, light skin tone, man, man construction worker: light skin tone, worker
👷🏼‍♂	construction, man, man construction worker: medium-light skin tone, medium-light skin tone, worker
👷🏽‍♂	construction, man, man construction worker: medium skin tone, medium skin tone, worker
👷🏾‍♂	construction, man, man construction worker: medium-dark skin tone, medium-dark skin tone, worker
👷🏿‍♂	construction, dark skin tone, man, man construction worker: dark skin tone, worker
👷‍♀	construction, woman, woman construction worker, worker
👷🏻‍♀	construction, light skin tone, woman, woman construction worker: light skin tone, worker
👷🏼‍♀	construction, medium-light skin tone, woman, woman construction worker: medium-light skin tone, worker
👷🏽‍♀	construction, medium skin tone, woman, woman construction worker: medium skin tone, worker
👷🏾‍♀	construction, medium-dark skin tone, woman, woman construction worker: medium-dark skin tone, worker
👷🏿‍♀	construction, dark skin tone, woman, woman construction worker: dark skin tone, worker
🤴	prince
🤴🏻	light skin tone, prince, prince: light skin tone
🤴🏼	medium-light skin tone, prince, prince: medium-light skin tone
🤴🏽	medium skin tone, prince, prince: medium skin tone
🤴🏾	medium-dark skin tone, prince, prince: medium-dark skin tone
🤴🏿	dark skin tone, prince, prince: dark skin tone
👸	fairy tale, fantasy, princess
👸🏻	fairy tale, fantasy, light skin tone, princess, princess: light skin tone
👸🏼	fairy tale, fantasy, medium-light skin tone, princess, princess: medium-light skin tone
👸🏽	fairy tale, fantasy, medium skin tone, princess, princess: medium skin tone
👸🏾	fairy tale, fantasy, medium-dark skin tone, princess, princess: medium-dark skin tone
👸🏿	dark skin tone, fairy tale, fantasy, princess, princess: dark skin tone
👳	person wearing turban, turban
👳🏻	light skin tone, person wearing turban, person wearing turban: light skin tone, turban
👳🏼	medium-light skin tone, person wearing turban, person wearing turban: medium-light skin tone, turban
👳🏽	medium skin tone, person wearing turban, person wearing turban: medium skin tone, turban
👳🏾	medium-dark skin tone, person wearing turban, person wearing turban: medium-dark skin tone, turban
👳🏿	dark skin tone, person wearing turban, person wearing turban: dark skin tone, turban
👳‍♂	man, man wearing turban, turban
👳🏻‍♂	light skin tone, man, man wearing turban, man wearing turban: light skin tone, turban
👳🏼‍♂	man, man wearing turban, man wearing turban: medium-light skin tone, medium-light skin tone, turban
👳🏽‍♂	man, man wearing turban, man wearing turban: medium skin tone, medium skin tone, turban
👳🏾‍♂	man, man wearing turban, man wearing turban: medium-dark skin tone, medium-dark skin tone, turban
👳🏿‍♂	dark skin tone, man, man wearing turban, man wearing turban: dark skin tone, turban
👳‍♀	turban, woman, woman wearing turban
👳🏻‍♀	light skin tone, turban, woman, woman wearing turban, woman wearing turban: light skin tone
👳🏼‍♀	medium-light skin tone, turban, woman, woman wearing turban, woman wearing turban: medium-light skin tone
👳🏽‍♀	medium skin tone, turban, woman, woman wearing turban, woman wearing turban: medium skin tone
👳🏾‍♀	medium-dark skin tone, turban, woman, woman wearing turban, woman wearing turban: medium-dark skin tone
👳🏿‍♀	dark skin tone, turban, woman, woman wearing turban, woman wearing turban: dark skin tone
👲	gua pi mao, hat, man, man with Chinese cap
👲🏻	gua pi mao, hat, light skin tone, man, man with Chinese cap, man with Chinese cap: light skin tone
👲🏼	gua pi mao, hat, man, man with Chinese cap, man with Chinese cap: medium-light skin tone, medium-light skin tone
👲🏽	gua pi mao, hat, man, man with Chinese cap, man with Chinese cap: medium skin tone, medium skin tone
👲🏾	gua pi mao, hat, man, man with Chinese cap, man with Chinese cap: medium-dark skin tone, medium-dark skin tone
👲🏿	dark skin tone, gua pi mao, hat, man, man with Chinese cap, man with Chinese cap: dark skin tone
🧕	headscarf, hijab, mantilla, tichel, woman with headscarf
🧕🏻	headscarf, hijab, light skin tone, mantilla, tichel, woman with headscarf, woman with headscarf: light skin tone
🧕🏼	headscarf, hijab, mantilla, medium-light skin tone, tichel, woman with headscarf, woman with headscarf: medium-light skin tone
🧕🏽	headscarf, hijab, mantilla, medium skin tone, tichel, woman with headscarf, woman with headscarf: medium skin tone
🧕🏾	headscarf, hijab, mantilla, medium-dark skin tone, tichel, woman with headscarf, woman with headscarf: medium-dark skin tone
🧕🏿	dark skin tone, headscarf, hijab, mantilla, tichel, woman with headscarf, woman with headscarf: dark skin tone
🤵	groom, man, man in tuxedo, tuxedo
🤵🏻	groom, light skin tone, man, man in tuxedo, man in tuxedo: light skin tone, tuxedo
🤵🏼	groom, man, man in tuxedo, man in tuxedo: medium-light skin tone, medium-light skin tone, tuxedo
🤵🏽	groom, man, man in tuxedo, man in tuxedo: medium skin tone, medium skin tone, tuxedo
🤵🏾	groom, man, man in tuxedo, man in tuxedo: medium-dark skin tone, medium-dark skin tone, tuxedo
🤵🏿	dark skin tone, groom, man, man in tuxedo, man in tuxedo: dark skin tone, tuxedo
👰	bride, bride with veil, veil, wedding
👰🏻	bride, bride with veil, bride with veil: light skin tone, light skin tone, veil, wedding
👰🏼	bride, bride with veil, bride with veil: medium-light skin tone, medium-light skin tone, veil, wedding
👰🏽	bride, bride with veil, bride with veil: medium skin tone, medium skin tone, veil, wedding
👰🏾	bride, bride with veil, bride with veil: medium-dark skin tone, medium-dark skin tone, veil, wedding
👰🏿	bride, bride with veil, bride with veil: dark skin tone, dark skin tone, veil, wedding
🤰	pregnant, pregnant woman, woman
🤰🏻	light skin tone, pregnant, pregnant woman: light skin tone, woman
🤰🏼	medium-light skin tone, pregnant, pregnant woman: medium-light skin tone, woman
🤰🏽	medium skin tone, pregnant, pregnant woman: medium skin tone, woman
🤰🏾	medium-dark skin tone, pregnant, pregnant woman: medium-dark skin tone, woman
🤰🏿	dark skin tone, pregnant, pregnant woman: dark skin tone, woman
🤱	baby, breast, breast-feeding, nursing
🤱🏻	baby, breast, breast-feeding, breast-feeding: light skin tone, light skin tone, nursing
🤱🏼	baby, breast, breast-feeding, breast-feeding: medium-light skin tone, medium-light skin tone, nursing
🤱🏽	baby, breast, breast-feeding, breast-feeding: medium skin tone, medium skin tone, nursing
🤱🏾	baby, breast, breast-feeding, breast-feeding: medium-dark skin tone, medium-dark skin tone, nursing
🤱🏿	baby, breast, breast-feeding, breast-feeding: dark skin tone, dark skin tone, nursing
👼	angel, baby, baby angel, face, fairy tale, fantasy
👼🏻	angel, baby, baby angel: light skin tone, face, fairy tale, fantasy, light skin tone
👼🏼	angel, baby, baby angel: medium-light skin tone, face, fairy tale, fantasy, medium-light skin tone
👼🏽	angel, baby, baby angel: medium skin tone, face, fairy tale, fantasy, medium skin tone
👼🏾	angel, baby, baby angel: medium-dark skin tone, face, fairy tale, fantasy, medium-dark skin tone
👼🏿	angel, baby, baby angel: dark skin tone, dark skin tone, face, fairy tale, fantasy
🎅	Christmas, Santa Claus, celebration, claus, father, santa
🎅🏻	Christmas, Santa Claus, Santa Claus: light skin tone, celebration, claus, father, light skin tone, santa
🎅🏼	Christmas, Santa Claus, Santa Claus: medium-light skin tone, celebration, claus, father, medium-light skin tone, santa
🎅🏽	Christmas, Santa Claus, Santa Claus: medium skin tone, celebration, claus, father, medium skin tone, santa
🎅🏾	Christmas, Santa Claus, Santa Claus: medium-dark skin tone, celebration, claus, father, medium-dark skin tone, santa
🎅🏿	Christmas, Santa Claus, Santa Claus: dark skin tone, celebration, claus, dark skin tone, father, santa
🤶	Christmas, Mrs., Mrs. Claus, celebration, claus, mother
🤶🏻	Christmas, Mrs., Mrs. Claus, Mrs. Claus: light skin tone, celebration, claus, light skin tone, mother
🤶🏼	Christmas, Mrs., Mrs. Claus, Mrs. Claus: medium-light skin tone, celebration, claus, medium-light skin tone, mother
🤶🏽	Christmas, Mrs., Mrs. Claus, Mrs. Claus: medium skin tone, celebration, claus, medium skin tone, mother
🤶🏾	Christmas, Mrs., Mrs. Claus, Mrs. Claus: medium-dark skin tone, celebration, claus, medium-dark skin tone, mother
🤶🏿	Christmas, Mrs., Mrs. Claus, Mrs. Claus: dark skin tone, celebration, claus, dark skin tone, mother
🦸	good, hero, heroine, superhero, superpower
🦸🏻	good, hero, heroine, light skin tone, superhero, superhero: light skin tone, superpower
🦸🏼	good, hero, heroine, medium-light skin tone, superhero, superhero: medium-light skin tone, superpower
🦸🏽	good, hero, heroine, medium skin tone, superhero, superhero: medium skin tone, superpower
🦸🏾	good, hero, heroine, medium-dark skin tone, superhero, superhero: medium-dark skin tone, superpower
🦸🏿	dark skin tone, good, hero, heroine, superhero, superhero: dark skin tone, superpower
🦸‍♂	good, hero, man, man superhero, superpower
🦸🏻‍♂	good, hero, light skin tone, man, man superhero, man superhero: light skin tone, superpower
🦸🏼‍♂	good, hero, man, man superhero, man superhero: medium-light skin tone, medium-light skin tone, superpower
🦸🏽‍♂	good, hero, man, man superhero, man superhero: medium skin tone, medium skin tone, superpower
🦸🏾‍♂	good, hero, man, man superhero, man superhero: medium-dark skin tone, medium-dark skin tone, superpower
🦸🏿‍♂	dark skin tone, good, hero, man, man superhero, man superhero: dark skin tone, superpower
🦸‍♀	good, hero, heroine, superpower, woman, woman superhero
🦸🏻‍♀	good, hero, heroine, light skin tone, superpower, woman, woman superhero, woman superhero: light skin tone
🦸🏼‍♀	good, hero, heroine, medium-light skin tone, superpower, woman, woman superhero, woman superhero: medium-light skin tone
🦸🏽‍♀	good, hero, heroine, medium skin tone, superpower, woman, woman superhero, woman superhero: medium skin tone
🦸🏾‍♀	good, hero, heroine, medium-dark skin tone, superpower, woman, woman superhero, woman superhero: medium-dark skin tone
🦸🏿‍♀	dark skin tone, good, hero, heroine, superpower, woman, woman superhero, woman superhero: dark skin tone
🦹	criminal, evil, superpower, supervillain, villain
🦹🏻	criminal, evil, light skin tone, superpower, supervillain, supervillain: light skin tone, villain
