😀	išsišiepti, išsišiepęs veidas, veidas
🦒	dėmė, žirafa
🐘	dramblys
🦏	raganosis
🦛	begemotas
🐭	pelė, pelės snukutis, veidas
🐁	pelė
🐀	žiurkė
🐹	naminis gyvūnas, veidas, žiurkėnas, žiurkėno snukutis
🐰	naminis gyvūnas, triušio snukutis, triušis, veidas, zuikis
🐇	naminis gyvūnas, triušis, triušiukas
🐿️	voverė
🦔	ežys, spygliuotas
🦇	vampyras, šikšnosparnis
🐻	meška, meškos snukis, veidas
🐨	koala, meška
🐼	panda, pandos snukis, veidas
🦥	lėtas, tinginys, tingus
🦦	ūdra, žaisminga, žvejojanti
🦨	skunkas, smirdantis
🦘	Australija, jauniklis, kengūra, sterblinis gyvūnas, šokinėti
🦡	barsukas, įkyruolis
🐾	letenos, pėdos, pėdsakai, pėdutės
🦃	kalakutas, paukštis
🐔	paukštis, višta
🐓	gaidys, paukštis
🐣	išsiridenti, išsiritęs viščiukas, mažas, paukštis, viščiukas
🐤	mažas, viščiukas
🐥	atsisukęs snapu viščiukas, mažas, paukštis, viščiukas
🐦️	paukštis
🐧	paukštis, pingvinas
🕊️	balandis, paukštis, skristi, taika
🦅	erelis, paukštis
🦆	antis, paukštis
🦢	bjaurusis ančiukas, gulbė, paukštis
🦉	išmintis, paukštis, pelėda
🦩	flamingas, spalvingas, tropinis
🦚	išdidus, mėgstantis pasirodyti, paukštis, povas, povė
🦜	kalbantis, papūga, paukštis, piratas
🐸	varlė, varlės snukutis, veidas
🐊	krokodilas
🐢	vėžlys
🦎	driežas, roplys
🐍	gyvatnešis, gyvatė, zodiakas, žaltys
🐲	drakonas, drakono snukis, pasaka, veidas
🐉	drakonas, pasaka
🦕	brachiozauras, brontozauas, diplodokas, sauropodas
🦖	Reksas, tiranozauras Reksas
🐳	banginis, purkšti, purškiantis banginis, veidas
🐋	banginis
🐬	delfinas, fliperis
🐟️	zodiakas, žuvis, žuvys
🐠	tropinė, tropinė žuvis, žuvis
🐡	fugu, žuvis
🦈	ryklys, žuvis
🐙	aštuonkojis
🐚	kriauklė, spiralė, susisukusi kriauklė
🐌	sraigė
🦋	drugelis, gražus, vabzdys
🐛	vabalas, vabzdys
🐜	skruzdėlė, vabzdys
🐝	bitė, vabzdys
🐞	boružė, vabalas, vabzdys
🦗	svirplys, žiogas
🕷️	vabzdys, voras
🕸️	tinklas, voras, voratinklis
🦂	skorpionas, skorpionas (gyvūnas), zodiakas
🦟	karštinė, maliarija, negalavimas, uodas, vabzdys, virusas
🦠	ameba, bakterija, mikrobas, virusas
💐	gėlė, puokštė
🌸	gėlė, vyšnia, vyšnios žiedas, žydėti
💮	balta gėlė, gėlė
🏵️	augalas, rozetė
🌹	augalas, gėlė, rožė
🥀	gležna, gležna gėlė, gėlė
🌺	augalas, gėlė, kinrožė
🌻	gėlė, saulė, saulėgrąža
🌼	augalas, gėlė, gėlės žiedas
🌷	augalas, gėlė, tulpė
🌱	augalas, daigas, jaunas
🌲	amžinai žaliuojantis medis, medis
🌳	augalas, lapuotis, medis, mesti
🌴	medis, palmė
🌵	augalas, kaktusas
🌾	augalas, ryžiai, ryžių pėdas, varpa
🌿	lapas, žolelė
☘️	augalas, trilapis dobilas
🍀	4, dobilas, keturi, keturlapis dobilas, lapas
🍁	klevas, klevo lapas, krenta, lapas
🍂	krenta, lapas, nukritęs lapas
🍃	lapas, lapas vėjyje, pūsti, skrajoti, vėjas
🍇	vaisius, vynuogė, vynuogės
🍈	augalas, melionas, vaisius
🍉	arbūzas, vaisius
🍊	mandarinas, oranžinis, vaisius
🍋	citrina, citrusinis, vaisius
🍌	bananas, vaisius
🍍	ananasas, vaisius
🥭	mangas, tropinis, vaisius
🍎	obuolys, raudonas, raudonas obuolys, vaisius
🍏	obuolys, vaisius, žalias, žalias obuolys
🍐	kriaušė, vaisius
🍑	persikas, vaisius
🍒	vaisius, vyšnia, vyšnios
🍓	braškė, uoga, vaisius
🥝	kivis, maistas, vaisius
🍅	augalas, daržovė, pomidoras
🥥	kokosas, palmė, pina kolada
🥑	avokadas, maistas, vaisius
🍆	augalas, baklažanas, daržovė
🥔	bulvė, daržovė, maistas
🥕	daržovė, maistas, morka
🌽	augalas, kukurūzas, kukurūzo burbuolė, varpa
🌶️	aštrus, aštrusis pipiras, pipiras
🥒	agurkas, daržovė, maistas, raugintas
🥬	kininis kopūstas, kopūstas, lapinė daržovė, salota
🥦	brokolis, laukinis kopūstas
🧄	prieskonis, česnakas
🧅	prieskonis, svogūnas
🍄	grybas, šungrybis
🥜	maistas, riešutas, žemės, žemės riešutas
🌰	augalas, lazdyno riešutas
🍞	duona, kepalas
🥐	bandelė, duona, maistas, prancūziškas, raguolis
🥖	batonas, ilgas, ilgas batonas, maistas, prancūzų
🥨	riestainis, susuktas
🥯	apvalus riestainis, duonos gaminiai, užtepas
🥞	blynai, maistas
🧇	geležinis, neaiškus, vaflis
🧀	sūrio gabaliukas, sūris
🍖	kaulas, mėsa, mėsa ant kaulo
🍗	kaulas, paukštiena, paukščio šlaunelė, višta, šlaunis
🥩	kepsnys, mėsos gabalėliai
🥓	kumpis, maistas, mėsa
🍔	mėsainis
🍟	bulvytės, gruzdintos, gruzdintos bulvytės
🍕	gabalėlis, pica, sūris
🌭	dešrainis, dešrelė
🥪	duona, sumuštinis
🌮	meksikietiškas, meksikietiškas paplotėlis
🌯	buritas, meksikietiškas, suvyniotas
🥙	lavašas, maistas, įdaras, įdarytas lavašas
🧆	falafelis, mėsos kukulis, vištiena
🥚	kiaušinis, maistas
🍳	kepimas, keptuvė, kiaušinis, valgio gaminimas
🥘	maistas, prikaistuvis, prikaistuvis su maistu
🍲	puodas, puodas su maistu, troškinys
🥣	dubuo su šaukštu, košė, pusryčiai
🥗	maistas, salotos, žalios, žalios salotos
🍿	spragėsiai
🧈	pieno produktas, sviestas
🧂	druska, druskinė, prieskonis
🥫	konservai, skardinė
🍱	bento, bento dėžutė, dėžutė
🍘	paplotėlis, ryžių, ryžių paplotėlis
🍙	japonų, rutuliukas, ryžiai, ryžių rutuliukas
🍚	ryžiai, virti, virti ryžiai
🍛	karis, ryžiai, ryžiai su kariu
🍜	dubuo, makaronai, makaronų sriubos dubenėlis, ramen, sriuba
🍝	pasta, spagečiai
🍠	bulvė, kepta, kepta saldžioji bulvė, saldi
🍢	iešmas, jūros gėrybės, kebabas, lazdelė, odenas
🍣	suši, sušis
🍤	kepta, kepta krevetė, krevetė, tempura
🍥	kepiniai, pyragėlis, sūkurys, žuvies pyragėlis su išpieštu sūkurio simboliu, žuvis
🥮	festivalis, mėnulio pyragas, ruduo
🍡	dango, desertas, iešmas, japonų, lazdelė, saldu
🥟	kibinas, kukulis
🥠	laimės sausainiukas, pranašystė
🥡	austrių kibirėlis, dėžutė išsinešti
🦀	krabas, vėžys, zodiakas
🦞	jūrų gėrybė, omaras, žnyplės
🦐	kiaukutinis, krevetė, maistas, mažas
🦑	kalmaras, maistas, moliuskas
🦪	austrė, nardymas, perlas
🍦	desertas, kremas, ledai, minkšti, minkšti ledai, saldu
🍧	desertas, ledas, saldu, smulkintas, susmulkintas ledas
🍨	desertas, kremas, ledai, saldu
🍩	desertas, saldu, spurga
🍪	desertas, saldu, sausainis
🎂	desertas, gimtadienio tortas, gimtadienis, kepiniai, pyragas, saldu, šventė
🍰	desertas, gabalėlis, kepiniai, pyragas, saldu, trapus pyragas
🧁	duonos gaminiai, keksiukas, saldus
🥧	pyragas, tešla, užpildytas
🍫	batonėlis, desertas, saldu, šokoladas, šokolado batonėlis
🍬	desertas, saldainis, saldu
🍭	desertas, ledinukas ant pagaliuko, saldainis, saldu
🍮	desertas, pudingas, saldu, saldus kremas
🍯	medaus puodynė, medus, puodas, saldu
🍼	buteliukas, gerti, kūdikio buteliukas, kūdikis, pienas
🥛	gėrimas, pienas, pieno stiklinė, sktiklinė
☕️	arbata, garuoja, gerti, gėrimas, karšta, karštas gėrimas, kava
🍵	arbata, arbatos puodelis, arbatos puodelis be rankenos, gerti, gėrimas, puodelis
🍶	baras, butelis, gėrimas, puodelis, sakė
🍾	baras, butelis, butelis su iššokusiu kamščiu, gėrimas, iššauti, kamštis
🍷	baras, gerti, gėrimas, taurė, vynas, vyno taurė
🍸️	baras, gėrimas, kokteilio taurė, kokteilis, taurė
🍹	baras, gėrimas, tropinis, tropinis gėrimas
🍺	alaus bokalas, alus, baras, gėrimas, puodelis
🍻	alus, baras, gėrimas, puodelis, susidaužiantys alaus bokalai, susidaužti
🥂	gėrimas, sudaužti, sudaužtos taurės, taurės, šventimas
🥃	alkoholis, stiklinė, viskis
🥤	puodelis su šiaudeliu, soda, sultys
🧃	gėrimo pakelis, sulčių pakelis
🧉	gėrimas, matė
🧊	ledas, ledo kubelis, šaltas
🥢	haši, lazdelės
🍽️	lėkštė, maisto gaminimas, peilis, šakutė, šakutė ir peilis su lėkšte
🍴	maisto gaminimas, peilis, šakutė, šakutė ir peilis
🥄	įrankis, šaukštas
🔪	ginklas, maisto gaminimas, peilis, virtuvinis peilis, įrankis
🏺	maisto gaminimas, senovinė vaza, vandenis, zodiakas
🌍	Afrika, Europa, gaublys, pasaulis, žemė, žemės rutulys su Europos ir Afrikos žemynais
🌎️	Amerika, gaublys, pasaulis, žemė, žemės rutulys su Šiaurės ir Pietų Amerikos žemynais
🌏	Australija, Azija, gaublys, pasaulis, žemė, žemės rutulys su Azijos ir Australijos žemynais
🌐	dienovidiniai, gaublys, pasaulis, žemė, žemės rutulys su dienovidiniais
🗺️	pasaulio žemėlapis, pasaulis, žemėlapis
🗾	Japonijos, Japonijos žemėlapis, žemėlapis
🧭	kompasas, magnetinis, navigacija, orientacinis
🏔️	kalnas, kalnas su snieguota viršūne, sniegas, šaltis
⛰️	kalnas
🌋	išsiveržimas, kalnas, ugnikalnis
🗻	Fudžio kalnas, Fudžis, kalnas
🏕️	stovyklavimas
🏖️	paplūdimys, paplūdimys ir skėtis, skėtis
🏜️	dykuma
🏝️	atoki sala, dykuma, sala
🏞️	nacionalinis parkas, parkas
🏟️	stadionas
🏛️	klasikinis, klasikinis pastatas
🏗️	klasikinis, pastato konstrukcija
🧱	molis, plyta, plytos, siena, skiedinys
🏘️	namai
🏚️	apleistas, apleistas pastatas, namas
🏠️	namai, namas, pastatas
🏡	namai, namas, namas su sodu, sodas
🏢	biurų pastatas, pastatas
🏣	japoniškas paštas, japonų, paštas
🏤	europietiškas, paštas, pašto pastatas
🏥	gydytojas, ligoninė, medicina
🏦	bankas, pastatas
🏨	pastatas, viešbutis
🏩	meilė, meilės viešbutis, viešbutis
🏪	parduotuvė, visą parą, visą parą dirbanti parduotuvė
🏫	mokykla, pastatas
🏬	parduotuvė, prekyba, prekybos centras
🏭️	gamykla, pastatas
🏯	japoniška pilis, japonų, pilis
🏰	Europos, pastatas, pilis
💒	koplyčia, romantika, vestuvės
🗼	Tokijas, Tokijo bokštas, bokštas
🗽	laisvė, laisvės statula, statula
⛪️	bažnyčia, krikščionis, kryžius, pastatas, religija
🕌	islamas, mečetė, musulmonas, religija
🛕	induistai, induistų šventykla, šventykla
🕍	religija, sinagoga, šventykla, žydas, žydų
⛩️	religija, Šintoizmo šventykla, šintoizmas, šventykla
🕋	islamas, kaaba, musulmonas, religija
⛲️	fontanas
⛺️	palapinė, stovyklavimas
🌁	oras, rūkas
🌃	naktis, žvaigždė, žvaigždėta naktis
🏙️	miestas, miesto vaizdas
🌄	kalnas, rytas, saulė, saulėtekis, saulėtekis virš kalnų
🌅	rytas, saulė, saulėtekis
🌆	kraštovaizdis, miestas, pastatas, saulėlydis, sutemos virš miesto, vakaras
🌇	saulė, saulėlydis, sutemos
🌉	naktis, tiltas, tiltas naktį
♨️	garai, karšta, karštosios versmės, versmės
🎠	arklys, karuselė, karuselės arkliukas
🎡	apžvalgos, apžvalgos ratas, atrakcionų parkas, ratas
🎢	atrakcionų parkas, kalneliai, linksmieji, linksmieji kalneliai
💈	kirpėjas, kirpėjo suktukas, suktukas, šukuosena
🎪	cirkas, cirko palapinė, palapinė
🚂	garai, geležinkelis, lokomotyvas, traukinys, variklis
🚃	automobilis, elektrinis, geležinkelis, tramvajus, traukinio vagonas, traukinys, troleibusas
🚄	geležinkelis, greitasis, greitasis traukinys, greitis, traukinys
🚅	geležinkelis, greitasis traukinys su smailu priekiu, greitis, kulka, traukinys
🚆	geležinkelis, traukinys
🚇️	metro, transporto priemonė
🚈	geležinkelis, miesto tramvajus
🚉	geležinkelis, stotis, traukinys
🚊	tramvajus, troleibusas
🚝	transporto priemonė, vienbėgis geležinkelis
🚞	automobilis, geležinkelis, kalnas, kalnų traukinys
🚋	automobilis, tramvajaus vagonas, tramvajus, troleibusas
🚌	autobusas, transporto priemonė
🚍️	artėjantis, artėjantis autobusas, autobusas
🚎	autobusas, tramvajus, troleibusas
🚐	autobusas, mikroautobusas
🚑️	greitosios pagalbos automobilis, transporto priemonė
🚒	sunkvežimis, ugniagesių automobilis, ugnis, variklis
🚓	automobilis, patruliai, policija, policijos automobilis
🚔️	artėjantis, artėjantis policijos automobilis, automobilis, policija
🚕	taksi, transporto priemonė
🚖	artėjantis, artėjantis taksi, taksi
🚗	automobilis, transporto priemonė
🚘️	artėjanti, artėjantis automobilis, automobilis, mašina
🚙	rekreacijos, rekreacijos automobilis, transporto priemonė
🚚	krovininis sunkvežimis, pristatymas, sunkvežimis
🚛	priekaba, pusė, sunkvežimis, sunkvežimis su priekaba
🚜	traktorius, transporto priemonė
🏎️	automobilis, lenktyninis automobilis, lenktynės
🏍️	lenktynės, motociklas
🛵	motoroleris, transportas
🦽	prieinamumas, rankomis valdomas vežimėlis
🦼	motorizuotas vežimėlis, prieinamumas
🛺	autorikša, tuk tuk
🚲️	dviratis, transporto priemonė
🛴	paspirtukas, spirti
🛹	lenta, riedlentė
🚏	autobusas, autobusų stotelė, stotelė
🛣️	greitkelis, kelias
🛤️	geležinkelio bėgiai, geležinkelis, traukinys
🛢️	degalai, degalų statinė, statinė
⛽️	degalai, degalinė, degalų siurblys, dujos, siurblys
🚨	automobilis, besisukanti, policija, policijos automobilio lempa, signalinis žibintas, šviesa
🚥	eismas, horizontalus šviesoforas, signalas, šviesa
🚦	eismas, signalas, vertikalus šviesoforas, šviesa
🛑	aštuonkampis, sustojimo ženklas, sustoti, ženklas
🚧	barjeras, statybos
⚓️	inkaras, laivas, įrankis
⛵️	burlaivis, jachta, jūra, kurortas, valtis
🛶	irkluoti, kanoja
🚤	motorinis kateris, valtis
🛳️	keleivinis laivas, keleivis, laivas
⛴️	keleivis, keltas, valtis
🛥️	motorinė valtis, valtis
🚢	keleivis, laivas, valtis
✈️	lėktuvas
🛩️	lėktuvas, mažas lėktuvas
🛫	išvykimai, išvykimas, lėktuvas, lėktuvo pakilimas, registracija
🛬	atvykimai, atvyksta, lėktuvas, lėktuvo nusileidimas, nusileidimas
🪂	pakabinti, parašiutas
💺	kėdė, vieta
🚁	sraigstasparnis, transporto priemonė
🚟	geležinkelis, kabanti, kabanti geležinkelio linija
🚠	gondola, kabelis, kalnas, kalnų keltuvas
🚡	automobilis, gondola, kabelis, lynų keltuvas, orinis, tramvajus
🛰️	kosmosas, palydovas
🚀	kosmosas, raketa
🛸	NSO, skraidanti lėkštė
🛎️	skambinti, skambutis, viešbutis
🧳	bagažas, kelionė, pakavimas
⌛️	laikmatis, smėlio laikrodis, smėlis
⏳️	laikmatis, smėlio laikrodis, smėlio laikrodis su krentančiu smėliu, smėlis
⌚️	laikrodis
⏰	laikrodis, signalas, žadintuvas
⏱️	chronometras, laikrodis
⏲️	laikmatis, laikrodis
🕰️	laikrodis, virš židinio laikomas laikrodis
🕛️	00, 12, 12:00, dvylika, dvylika valandų, valandos
🕧	12, 12:30, 30, dvylika, dvylika trisdešimt, trisdešimt
🕐️	00, 1, 1:00, pirma valanda, valandos, viena
🕜	1, 1:30, 30, pusė dviejų, trisdešimt, viena
🕑️	00, 2, 2:00, dvi, dvi valandos, valandos
🕝	2, 2:30, 30, dvi, pusė trijų, trisdešimt
🕒️	00, 3, 3:00, trys, trys valandos, valandos
🕞	3, 30, 3:30, pusė keturių, trisdešimt, trys, valandos
🕓️	00, 4, 4:00, keturios, keturios valandos, valandos
🕟	30, 4, 4:30, pusė penkių, trisdešimt, valandos
🕔️	00, 5, 5:00, penkios, penkios valandos, valandos
🕠	30, 5, 5:30, penkios, pusė šešių, trisdešimt, valandos
🕕️	00, 6, 6:00, valandos, šešios, šešios valandos
🕡	30, 6, 6:00, pusė septynių, trisdešimt, valandos, šešios
🕖️	00, 7, 7:00, septynios, septynios valandos, valandos
🕢	30, 7, 7:30, pusė aštuonių, septynios, trisdešimt
🕗️	00, 8, 8:00, aštuonios, aštuonios valandos, valandos
🕣	30, 8, 8:30, aštuonios, pusė devynių, trisdešimt, valandos
🕘️	00, 9, 9:00, devinta valanda, devynios, valandos
🕤	30, 9, 9:30, devynios, pusė dešimt, trisdešimt, valandos
🕙️	00, 10, 10:00, dešimt, dešimt valandų, valandos
🕥	10, 10:30, 30, dešimt, pusė vienuolikos, trisdešimt, valandos
🕚️	00, 11, 11:00, valandos, vienuolika, vienuolika valandų
🕦	11, 11:30, 30, pusė dvylikos, trisdešimt, valandos, vienuolika
🌑	jaunas mėnulis, mėnulis, tamsa
🌒	mėnulis, priešpilnis, priešpilnis mėnulis
🌓	ketvirtis, mėnulis, pirmas fazės ketvirtis
🌔	mėnulis, priešpilnis, priešpilnis (pabaiga)
🌕️	mėnulis, pilnas, pilnatis
🌖	delčia, dylantis, mėnulis
🌗	ketvirtis, mėnulis, paskutinis fazės ketvirtis
🌘	delčia (pabaiga), mėnulis, pusmėnulis
🌙	mėnulis, pusmėnulis, pusė
🌚	jaunas mėnulis su veidu, mėnulis, veidas
🌛	ketvirtis, mėnulis, priešpilnio mėnulis su veidu, veidas
🌜️	delčios mėnulis su veidu, ketvirtis, mėnulis, veidas
🌡️	oras, termometras
☀️	saulė, saulėta, spinduliai, šviesu
🌝	mėnulis, pilnatis, pilnatis su veidu, veidas, šviesu
🌞	saulė, saulė su veidu, veidas, šviesu
🪐	planeta su žiedu, saturnas
⭐️	balta vidutinė žvaigždė, žvaigždė
🌟	kibirkštis, šviesti, žvaigždė, žėrinti, žėrinti žvaigždė, žėrėti
🌠	krintanti, krintanti žvaigždė, žvaigždė
🌌	kosmosas, paukščių takas
☁️	debesis, oras
⛅️	debesis, saulė, saulė už debesų
⛈️	debesis, debesis su žaibu ir lietumi, lietus, žaibas
🌤️	debesis, saulė, saulė už nedidelio debesies
🌥️	debesis, saulė, saulė už didelio debesies
🌦️	debesis, lietus, saulė, saulė už debesies, iš kurio lyja
🌧️	debesis, debesis, iš kurio lyja, lietus
🌨️	debesis, debesis, iš kurio sninga, sniegas, šaltis
🌩️	debesis, debesis su žaibu, žaibas
🌪️	debesis, sūkurys, tornadas
🌫️	debesis, ūkana
🌬️	debesis, pūsti, veidas, vėjas, vėjo veidas
🌀	apsvaigęs, ciklonas, spiralė, taifūnas
🌈	lietus, vaivorykštė
🌂	drabužiai, lietus, skėtis, suskleistas skėtis
☂️	drabužiai, lietus, skėtis
☔️	drabužiai, lašas, lietus, skėtis, skėtis su lietaus lašais
⛱️	lietus, saulė, skėtis, skėtis ant žemės
⚡️	aukštoji įtampa, elektra, pavojus, įtampa, žaibas
❄️	snaigė, sniegas, šaltis
☃️	sniegas, sniego senis, šaltis
⛄️	sniegas, sniego senis, sniego senis be sniego, šaltis
☄️	kometa, kosmosas
🔥	liepsna, ugnis, įrankis
💧	komiksas, lašas, oras, prakaitas, šaltis
🌊	banga, vandens banga, vandenynas, vanduo
🎃	helovinas, šventė, žibintas, žibintas iš moliūgo
🎄	Kalėdos, Kalėdų eglutė, eglutė, šventė
🎆	fejerverkai, šventė
🎇	fejerverkai, kibirkštis, šaltoji ugnelė, šventė
🧨	dinamitas, fejerverkai, fejerverkas, sprogus
✨	kibirkštis, kibirkštėlės, žvaigždė
🎈	balionas, šventė
🎉	bum, konfeti šaudyklė, vakarėlis, šauti, šventė
🎊	kamuolys, konfeti, konfeti kamuolys, šventė
🎋	japonų, medis, tanabata medis, šventė
🎍	bambukas, dekoracija iš pušies, japonų, pušis, šventė
🎎	festivalis, japoniškos lėlės, japonų, lėlė, šventė
🎏	karpio vėtrungė, karpis, vėtrungė, šventė
🎐	skambėti, varpelis, vėjas, vėjo varpeliai, šventė
🎑	ceremonija, mėnesienos ceremonija, mėnulis, šventė
🧧	dovana, pinigai, raudonas vokas, sėkmės
🎀	kaspinas, šventė
🎁	dovana, dėžutė, supakuota dovana, suvyniota, šventė
🎗️	atminimo kaspinas, kaspinas, priminimas, šventė
🎟️	bilietas, įėjimas, įėjimo bilietai
🎫	bilietas, įėjimas
🎖️	kariuomenė, kariuomenės medalis, medalis, šventė
🏆️	prizas, trofėjus
🏅	medalis, sporto medalis
🥇	1-osios vietos medalis, auksas, medalis, pirmoji
🥈	2-osios vietos medalis, antroji, medalis, sidabras
🥉	3-osios vietos medalis, bronza, medalis, trečioji
⚽️	futbolas, futbolo kamuolys, kamuolys
⚾️	beisbolo kamuoliukas, kamuolys
🥎	kamuolys, pažastis, pirštinė, softbolas
🏀	kamuolys, krepšinio kamuolys, lankas
🏐	kamuolys, tinklinio kamuolys, žaidimas
🏈	amerikietiškas, amerikietiškojo futbolo kamuolys, futbolas, kamuolys
🏉	futbolas, kamuolys, regbio kamuolys, regbis
🎾	kamuolys, raketė, teniso kamuoliukas
🥏	aukščiausioji riba, skraidantis diskas
🎳	boulingas, kamuolys, žaidimas
🏏	kamuolys, kriketas, lazda, žaidimas
🏑	kamuolys, laukas, lazda, riedulys, žaidimas, žolės riedulys
🏒	lazda, ledas, ledo riedulys, ledo ritulio lazda ir ritulys, ritulys, žaidimas
🥍	kamuoliukas, lakrosas, lazda, įvartis
🏓	kamuolys, lazda, raketė, stalo tenisas, žaidimas
🏸	badmintonas, plunksninukas, raketė, žaidimas
🥊	boksas, bokso pirštinė, pirštinė
🥋	dziudo, karatė, kovos menas, kovos sporto šakos uniforma, uniforma
🥅	tinklas, vartai
⛳️	golfas, skylutė, vėliava skylutėje
⛸️	ledas, pačiūžos, čiuožinėti
🎣	meškerė, žuvis
🤿	nardymas, nardymo kaukė
🎽	bėgimas, bėgimo marškinėliai, juosta, marškinėliai
🎿	slidinėti, slidės, sniegas
🛷	rogės
🥌	akmenslydis, akmuo, žaidimas
🎯	akis, dartas, pataikyti, smūgis tiesiai į taikinį, taikinys, žaidimas
🪀	jo-jo, svyruojantis, žaislas
🪁	aitvaras, pakilti, skristi
🎱	8, 8 kamuoliukas, biliardas, biliardo kamuoliukas, žaidimas
🔮	fantazija, fortūna, krištolinis, krištolinis rutulys, pasaka, rutulys
🧿	amuletas akis, blogio akis, karoliukas, nazaras, talismanas, žavesys
🎮️	vaizdo žaidimas, valdiklis, žaidimas
🕹️	vaizdo žaidimas, valdymo svirtis, žaidimas
🎰	automatas, žaidimas, žaidimų automatas
🎲	kauliukas, žaidimas
🧩	dalis, dėlionė, galvosūkis, raktas, susijungiantis
🧸	kimštas, meškiukas, pliušas, žaislas
♠️	kortos, pikai, žaidimas
♥️	kortos, širdys, žaidimas
♦️	būgnai, būgnas, kortos, žaidimas
♣️	kortos, kryžiai, žaidimas
♟️	naivuolis, paaukotinas, šachmatai, šachmatų pėstininkas
🃏	juokdarys, kortos, žaidimas
🀄️	madžongas, madžongo raudonas drakonas, raudonas, žaidimas
🎴	gėlė, japonų, kortos, kortos su gėlėmis, žaidimas
🎭️	kaukė, menas, pasirodymas, scenos menas, teatras
🖼️	menas, muziejus, paveikslas, piešinys, rėmas, rėmas su paveikslu
🎨	dailininko paletė, menas, muziejus, paletė, piešinys
🧵	adata, gija, ritė, siuvimas, siūlas
🧶	kamuolys, megzti, nerti, siūlų kamuolys
👓️	akiniai, akys, apranga
🕶️	akiniai, akiniai nuo saulės, akys, tamsūs
🥽	akių apsauga, apsauginiai akiniai, plaukimas, suvirinimas
🥼	bandymas, gydytojas, laboratorinis chalatas, mokslininkas
🦺	gelbėjimosi, gelbėjimosi liemenė, kritinė padėtis, liemenė
👔	drabužiai, kaklaraištis
👕	drabužiai, marškiniai, marškinėliai
👖	drabužiai, džinsai, kelnės, trumpikės
🧣	kaklas, skara
🧤	pirštinės, ranka
🧥	paltas, švarkas
🧦	blauzdinė, kojinės
👗	drabužiai, suknelė
👘	drabužiai, kimono
🥻	apranga, saris, suknelė
🩱	maudymosi kostiumėlis, vientisas maudymosi kostiumėlis
🩲	apatiniai, maudymosi kostiumėlis, trumpikės, viena dalis
🩳	apatiniai, maudymosi kostiumas, trumpikės, šortai
👙	bikinis, drabužiai, plaukti
👚	drabužiai, moteris, moteriški drabužiai
👛	drabužiai, monetos, piniginė
👜	drabužiai, krepšys, rankinė
👝	drabužiai, krepšys, maišelis
🛍️	apsipirkimas, krepšys, pirkinių krepšeliai, viešbutis
🎒	krepšys, kuprinė, mokykla, mokyklinė kuprinė
👞	batas, drabužiai, vyras, vyriškas batas
👟	atletiškas, batas, bėgimo batelis, drabužiai, sportinis batelis
🥾	batas, kuprinė, stovyklavietė, žygiai, žygio batai
🥿	avalynė be raištelių, baleto batelis, lygiapadis batelis, šlepetė
👠	aukštakulnis batelis, batas, drabužiai, kulnas, moteris
👡	batas, drabužiai, moteris, moteriška basutė, sandalas
🩰	baletas, baleto bateliai, šokis
👢	batas, batelis, drabužiai, moteris, moteriškas batas
👑	drabužiai, karalienė, karalius, karūna
👒	drabužiai, moteris, moteriška skrybėlė, skrybėlė
🎩	aukšta, cilindras, drabužiai, skrybėlė
🎓️	baigimas, drabužiai, kepurė, kepurėlė, mokyklos baigimo kepurėlė, šventė
🧢	beisbolo kepuraitė, reklaminė kepurė
⛑️	kepurė, kryžius, pagalba, veidas, šalmas, šalmas su baltu kryžiumi
📿	drabužiai, karoliai, melstis, religija, rožinis, vėrinys
💄	kosmetika, lūpų dažai, makiažas
💍	deimantas, žiedas
💎	brangakmenis, deimantas, juvelyrika, romantika
🔇	garsiakalbis, garsiakalbis išjungtas, garsumas, nutildytas, tylus
🔈️	tylus, tylus garsiakalbis
🔉	vidutinio garso garsiakalbis, vidutinis
🔊	didelis garsiakalbio garsumas, garsus
📢	garsiai, garsiakalbio simbolis, viešas
📣	džiaugsmingi šūksniai, garsintuvas
📯	paštas, pašto, pašto ragas, ragas
🔔	varpelis
🔕	draudžiama, nutildyti, perbrauktas varpelis, tyliai, varpelis
🎼	muzika, partitūra
🎵	muzika, muzikos nata, nata
🎶	muzika, muzikos natos, nata, natos
🎙️	mikrofonas, muzika, studija, studijos mikrofonas
🎚️	lygio slankiklis, lygis, muzika, slankiklis
🎛️	muzika, rankenos, valdymas, valdymo rankenos
🎤	karaokė, mikrofonas
🎧️	ausinės
📻️	radijas, vaizdo įrašas
🎷	instrumentas, muzika, saksofonas
🎸	gitara, instrumentas, muzika
🎹	instrumentas, klaviatūra, muzika, muzikos klaviatūra, pianinas
🎺	instrumentas, muzika, trimitas
🎻	instrumentas, muzika, smuikas
🪕	bandža, muzika, styginis
🥁	būgnas, muzika
📱	mobilusis, mobilusis telefonas, telefonas
📲	mobilusis, mobilusis telefonas su rodykle, rodyklė, skambinti, telefonas
☎️	telefonas
📞	ragelis, telefonas, telefono ragelis
📟️	gaviklis
📠	faksas, fakso aparatas
🔋	baterija
🔌	elektra, elektros kištukas, kištukas
💻️	asmeninis, kompiuteris, skreitinis kompiuteris
🖥️	kompiuteris, stalinis, stalinis kompiuteris
🖨️	kompiuteris, spausdintuvas
⌨️	klaviatūra, kompiuteris
🖱️	kompiuterio pelė, kompiuteris
🖲️	kompiuteris, rutulinis manipuliatorius
💽	diskas, kompiuterio diskas, kompiuteris, minidiskas, optinis
