😀	syrtarma, syrtarýan ýüz, ýüz
🦅	bürgüt, guş
🦆	guş, ördek
🦢	guw, guş, myrtar ördejik, ýaş guw
🦉	akyldar, baýguş, guş
🦩	gyzylinjik, owadan, tropik
🦚	buýsançly, guş, görnükli, tawus, tawus jüýje
🦜	garakçy, geplemek, guş, totyguş
🐸	gurbaga, gurbaga ýüz, ýüz
🐊	krokodil
🐢	pyşbaga, pyşdyl, suw pyşdyly
🦎	hažžyk, suwulgan, süýreniji
🐍	göteriji, täleýnama, Ýylançy, ýylan
🐲	aždarha, aždarha ýüz, erteki, ýüz
🐉	aždarha, erteki
🦕	brakiozawr, brontozawr, diplodokus, zauropod
🦖	Tiranozawr Reks
🐳	kit, suw pürkmek, suw pürkýän kit, ýüz
🐋	kit
🐬	delfin, ýüzgüç
🐟️	Balyk, balyk, täleýnama
🐠	balyk, tropiki, tropiki balyk
🐡	balyk, çişýän balyk
🦈	akula, balyk
🐙	osminog
🐚	spiral, spiral çaňňalak, çaňňalak
🐌	ulitka
🦋	enaýyja, kebelek, mör-möjek
🐛	mör-möjek, mör-möjekler
🐜	garynja, mör-möjekler
🐝	ary, balary, mör-möjek
🐞	kekene, möjek, mör-möjek, tomzak
🦗	çekirtge, çybyn
🕷️	mör-möjekler, möý
🕸️	kerep, möý, möýüň kerebi
🦂	Akrap, içýan, täleýnama
🦟	gyzgynlyk, kesel, malýariýa, moskito, mör-möjek, wirus
🦠	amýoba, bakteriýa, mikrop, wirus
💐	desse, gül
🌸	gül, güllemek, ülje güli
💮	ak gül, gül
🏵️	bezeg güli, ösümlik
🌹	bägül, gül
🥀	gül, sülleren, sülleren gül
🌺	gül, hytaý bägüli
🌻	gül, gün, günebakar
🌼	açylan gül, gül
🌷	gül, çigildem
🌱	ýaş, şine
🌲	agaç, hemişe gök öwüsýän agaç
🌳	agaç, kölegeli, ýaprakly, ýaprakly agaç
🌴	agaç, palma, palma agajy
🌵	kaktus, ösümlik
🌾	dänen, hoşa, tüwi, şaly
🌿	dermanlyk ot, ýaprak
☘️	ösümlik, üç ýaprakly
🍀	4, dört, dört ýaprakly ýorunja, ýaprak, ýorunja
🍁	gaçýan, kerkaw, kerkaw ýapragy, ýaprak
🍂	gaçýan, ýaprak, ýere gaçan ýaprak
🍃	galgamak, üflemek, ýaprak, şemal, şemala galgaýan ýaprak
🍇	miwe, üzüm
🍈	gawun, miwe
🍉	garpyz, miwe
🍊	mandarin, miwe, pyrtykal
🍋	limon, miwe, sitrus
🍌	banan, miwe
🍍	ananas, miwe
🥭	mango, miwe, tropik
🍎	alma, gyzyl, gyzyl alma, miwe
🍏	alma, miwe, ýaşyl, ýaşyl alma
🍐	armyt, miwe
🍑	miwe, şetdaly
🍒	miwe, ülje
🍓	miwe, tudana, ýertudana
🥝	iýmit, kiwi, miwe
🍅	gök önüm, miwe, pomidor
🥥	kokos, palma, pina kolada
🥑	awokado, iýmit, miwe
🍆	badamjan, gök önüm
🥔	gök önüm, iýmit, ýeralma
🥕	gök önüm, iýmit, käşir
🌽	gulak, gulpak, mekge, mekgejöwen
🌶️	ajy, ajy garaburç, garaburç
🥒	duzlanan, gök önüm, hyýar, iýmit
🥬	bokçoý, kaleý, kelem, latuk, ýaprakly ýaşyl
🥦	brokkoli, ýabany kelem
🧄	sarymsak, tagam bermek
🧅	sogan, tagam bermek
🍄	kömelek, ýylankömelek
🥜	arahis, gök önüm, hoz, iýmit
🌰	kaştan, ösümlik
🍞	buhanka, çörek
🥐	fransuz, iýmit, kruassan, çörek, ýarymaý ruledi
🥖	baget, baget çörek, fransuz, iýmit, çörek
🥨	bükülen, krendel
🥯	rogalik, çalmak, çörekhana
🥞	byzmyk, gyzgyn gutap, iýmit, krep
🧇	demir, wafli, ýaýdanjaň
🧀	peýnir, peýnir bölegi
🍖	et, süňk, süňkli et
🍗	aýak, guş budy, guş eti, süňk, towuk
🥩	doňuz kakmaç, et dilimi, guzy kakmaç, kakmaç, şara
🥓	bekon, et, iýmit
🍔	burger, gamburger
🍟	fransuz, fransuz frisi, fri
🍕	dilim, peýnir, pizza
🌭	frankfurtly, hotdog, sosiska
🥪	sendwiç, çörek
🌮	meksikan, tako
🌯	burrito, dolama, meksikan
🥙	dykylan, dykylan çörek, falafel, iýmit, kebap, lawaş, petir
🧆	falafel, frikadelka, nohut
🥚	iýmit, ýumurtga
🍳	gowurmak, kulinariýa, skoworodka, ýumurtga
🥘	ispan palowy, iýmit, kastrýul, taba, ýalpak, ýalpak taba
🍲	bişirmek, gazan, naharly gazan
🥣	ertirlik, galla, tüwi hamyry, çemçe bilen şakäse
🥗	iýmit, işdäaçar, ýaşyl, ýaşyl işdäaçar
🍿	patrak
🧈	mesge, süýt önümleri
🧂	duz, goşundy, şeýker
🥫	gaplanan iýmit, konserwa
🍱	bento, bento gutusy, guty
🍘	kreker, tüwi, tüwi kreker
🍙	tokga, tüwi, tüwi tokgasy, ýapon
🍚	bişirilen, bişirilen tüwi, tüwi
🍛	karri, karri tüwi, tüwi
🍜	bugarýan, bugarýan jam, jam, spagetti, unaş
🍝	makaron, spagetti
🍠	gowrulan, gowrulan ýeralma, süýji, ýeralma
🍢	deňiz iýmidi, kebap, oden, çişlik, şampur
🍣	suşi
🍤	gowrulan, gowrulan krewetka, krewetka, krewetkajyk, tempura
🍥	balyk, girdap, süýjülik, tort, tüweleýli balyk tort
🥮	aý tort, festiwal, güýz, ýuebiň
🍡	dango, desert, süýji, çişlik, ýapon, şampur
🥟	empanada, gyoza, hytaý böregi, jiaozi, pirogi
🥠	bagt kökesi, bilgiçlik
🥡	balykgulak, iýmit alyp gidilýän guty
🦀	Leňňeç, leňňeç, täleýnama
🦞	bisk, deňiz önümi, omar, penjeler
🦐	iýmit, kiçi, krewetka, mollýuska
🦑	iýmit, kalmar, mollýuska
🦪	merjen, ustrisa, çümmek
🍦	buz, buzgaýmak, desert, krem, süýji, ýumşak, ýumşak buzgaýmak
🍧	buz, desert, syrylan, syrylan buz, süýji
🍨	buz, buzgaýmak, desert, krem, süýji
🍩	byzmyk, dessert, ponçik, süýji
🍪	desert, kökejik, süýji
🎂	dabara, desert, doglan gün, doglan gün torty, süýji, süýjülik, tort
🍰	desert, dilim, süýji, süýjülik, tort, tortuň dilimi
🧁	käse tort, süýji, çörekhana
🥧	içli, süýjülik, tort
🍫	desert, plita, süýji, şokolad, şokolad plitasy
🍬	desert, kemput, süýji
🍭	desert, horaz-süýji, kemput, süýji
🍮	desert, puding, süýji, süýji krem
🍯	bal, bally golça, golça, süýji
🍼	bäbek, bäbek çüýşesi, içmek, süýt, çüýşe
🥛	bir bulgur süýt, bulgur, içmek, süýt
☕️	bugarýan, gyzgyn, gyzgyn içgi, içgi, içmek, kofe, çaý
🍵	içgi, içmek, käse, çaý, çaşka
🍶	bar, içgi, içmek, pyýala, sake, çaşka, çüýşe
🍾	atylýan, bar, dyky, dykysy atylýan çüýşe, içmek, çüýşe
🍷	bar, bulgur, içgi, içmek, çakyr, çakyr bulgury
🍸️	bar, bulgur, içmek, kokteýl, kokteýl bulgury
🍹	bar, içmek, tropiki, tropiki içgi
🍺	bar, bokal, içmek, piwo, piwo bokaly
🍻	bar, bokal, içmek, piwo, çakyşdyrmak, çakyşýan piwo bokallary
🥂	baýramçylyk, bulgur, içmek, jyňňyrdy, çakyşýan bulgurlar
🥃	aýna, aýna bokal, bokal, likýor, wiski, zarba
🥤	mineral suw, turbajykly stakan, şire
🧃	içgi gutusy, şire gutusy
🧉	dost, içmek
🧊	aýsberg, buz kuby, sowuk
🥢	haşi, çöp
🍽️	bişirmek, pyçak, tabak, tabakly çarşak we pyçak, çarşak
🍴	bişirmek, pyçak, çarşajyk we pyçak, çarşak
🥄	gap-gaç, çemçe
🔪	aş, aşhana pyçagy, bişirmek, gural, pyçak, ýarag
🏺	Gowa, bişirmek, grafin, gural, içgi, küýze, täleýnama, ýarag
🌍	Afrika, dünýä, Ýewropa, Ýewropa-Afrikany görkezýän globus, ýer, ýer togalagy
🌎️	Amerika, Amerikany görkezýän globus, dünýä, ýer, ýer togalagy
🌏	Awstraliýa, Aziýa, Aziýa-Awstraliýany görkezýän globus, dünýä, ýer, ýer togalagy
🌐	dünýä, meridianlar, meridianly globus, ýer, ýer togalagy
🗺️	dünýä, dünýä kartasy, karta
🗾	karta, Ýaponiýa, Ýaponiýa kartasy
🧭	kompas, magnit, nawigasiýa, ugur tapma
🏔️	dag, gar, sowuk, üsti garly dag
⛰️	dag
🌋	dag, partlama, ýanardag
🗻	Fuji dagy, dag, fuji
🏕️	kemping
🏖️	kenar, saýawan, saýawanly kenar
🏜️	çöl
🏝️	ada, çöl, çölli ada
🏞️	milli seýilgäh, seýilgäh
🏟️	stadion
🏛️	nusgawy, nusgawy bina
🏗️	binanyň gurluşygy, gurluşyk
🧱	diwar, kerpiç, kerpiçler, laý, palçyk
🏘️	jaýlar
🏚️	jaý, taşlanan, taşlanan jaý
🏠️	jaý, öý
🏡	bag, howluly jaý, jaý, öý
🏢	bina, ofis binasy
🏣	poçta, Ýapon, Ýapon poçtasy
🏤	poçta, Ýewropaly
🏥	hassahana, lukman, lukmançylyk
🏦	bank, bina
🏨	bina, myhmanhana
🏩	myhmanhana, söýgi, söýgi myhmanhanasy
🏪	market, söwda
🏫	bina, mekdep
🏬	dükan, market
🏭️	bina, zawod
🏯	gala, Ýapon, Ýapon galasy
🏰	gala, Ýewropaly
💒	kiçi buthana, toý, yşk
🗼	Tokio, Tokio diňi, diň
🗽	Azatlyk heýkeli, azatlyk, heýkel
⛪️	Hristian, buthana, din, haç
🕌	din, metjit, musulman, yslam
🛕	indus, indus ybadathanasy, ybadathana
🕍	din, sinagog, ybadathana, ýewreý, ýewreý dini
⛩️	din, ybadathana, şinto, şinto ybadathanasy
🕋	Käbe, din, musulman, yslam
⛲️	çüwdürim
⛺️	kemping, çadyr
🌁	ümür, ümürli
🌃	gije, ýyldyz, ýyldyzly gije
🏙️	şäher, şäher görnüşi
🌄	dag, dagyň aňrysyndan günüň dogşy, gün, günüň dogşy, säher
🌅	gün, günüň dogşy, säher
🌆	agşamara şäher peýzažy, alagaraňky, gün, günüň ýaşmagy, peýzaž, tozan, şäher
🌇	alagaraňky, gün, günüň ýaşmagy
🌉	gije, gijeki köpri, köpri
♨️	bugarýan, gyzgyn, gyzgyn çeşme, çeşmeler, ýylysuw
🎠	at, karusel, karusel aty
🎡	dynç alyş seýilgähi, tigir, şeýtan çarhy
🎢	Amerikan gorkisi, dynç alyş seýilgähi, gorka, typançak
💈	ala-mula spiral, dellek, saç deňletmek, taýak
🎪	sirk, sirk çadyry, çadyr
🚂	bug, demir ýol, hereketlendiriji, lokomotiw, otly
🚃	demir ýol, elektrik, otly, tramwaý, trolleýbus, ulag, wagon
🚄	demir ýol, otly, tizlik, ýokary tizlikli otly, ýolagçy otlusy
🚅	demir ýol, ok, ok burunly otly, otly, tizlik, ýolagçy otlusy
🚆	demir ýol, otly
🚇️	metro, ýerasty ýol
🚈	demir ýol, ýeňil metro
🚉	demir ýol, menzil, otly
🚊	tramwaý, trolleýbus
🚝	monorels, ulag
🚞	dag, dag demirýoly, demir ýol, wagon
🚋	tramwaý, tramwaý wagony, trolleýbus, wagon
🚌	awtobus, ulag
🚍️	awtobus, gelýän, gelýän awtobus
🚎	awtobus, tramwaý, trolleýbus
🚐	awtobus, mikroawtobus
🚑️	tiz kömek ulagy, ulag
🚒	hereketlendiriji, ýangyn, ýangyn awtoulagy, ýük ulagy
🚓	awtoulag, patrul, polisiýa, polisiýa awtoulagy
🚔️	awtoulag, gelýän, gelýän polisiýa awtoulagy, polisiýa
🚕	taksi, ulag
🚖	gelýän, gelýän taksi, taksi
🚗	awtomobil, awtoulag
🚘️	awtomobil, awtoulag, gelýän, gelýän awtomobil
🚙	dynç alyş, sport ulagy, ýeňil sport awtoulagy
🚚	awtofurgon, ýük daşaýan, ýük ulagy
🚛	ýarym, ýük, ýük awtoulagy, ýük ulagy
🚜	traktor, ulag
🏎️	awtoulag, ýaryş, ýaryş awtoulagy
🏍️	motosikl, ýaryş
🛵	moto-skuter, motor, skuter
🦽	el maýyp arabasy, elýeterlilik
🦼	elýeterlilik, motorly maýyp arabasy
🛺	awtorikşa, tuktuk
🚲️	tigir, welosiped
🛴	depgili skuter, depmek, skuter
🛹	bord, skeýtbord
🚏	awtobus, awtobus duralgasy, duralga
🛣️	awtoban, ulag ýoly, ýol
🛤️	demir ýol, demir ýol relsi, otly
🛢️	nebit, nebit çelegi, çelek
⛽️	beket, benzin, ýangyç, ýangyç guýujy, ýangyç nasosy
🚨	awtoulag, polisiýa, polisiýa awtoulagy çyrasy, pyrlanýan, sirena, çyra
🚥	kese ýolyşyk, signal, çyra, ýol herekedi
🚦	dik ýolyşyk, signal, çyra, ýol herekedi
🛑	belgi, dur, dur belgisi, sekizburç
🚧	gurluşyk, päsgelçilik
⚓️	gural, gämi, labyr
⛵️	deňiz, dynç alynýan ýer, gaýyk, ýahta, ýelkenli gämi
🛶	gaýyk, kanoe
🚤	gaýyk, tiz kater
🛳️	gämi, ýolagçy, ýolagçy gämisi
⛴️	gaýyk, parom, ýolagçy
🛥️	gaýyk, motorly gaýyk
🚢	gaýyk, gämi, ýolagçy
✈️	samolýot, uçar
🛩️	kiçi uçar, samolýot, uçar
🛫	gidýän, gidýän gatnawlar, hasaba alyş, samolýot, uçar, uçaryň ugramagy
🛬	gelýän, gelýän gatnawlar, gonýan, samolýot, uçar, uçaryň gelmegi
🪂	asmanda ýüz, deltaplan, paraşýut, suwüsti paraşýut
💺	kreslo, oturgyç, ýer
🚁	dikuçar, ulag
🚟	asma, asma demirýol, demir ýol
🚠	dag, gondola, sim, tanap ýol
🚡	gondola, howa, howa tramwaýy, sim, tramwaý, wagon
🛰️	asman, hemra
🚀	asman, raketa
🛸	NUO, uçýan tabak
🛎️	jaň, myhmanhana, çagyryş, çagyryş jaňy
🧳	goş, goş ýygnamak, syýahat
⌛️	wagt belleýji, çäge, çägeli sagat boldy
⏳️	gumsagat, wagt belleýji, çäge, çägeli sagat bolmady
⌚️	goşar sagady, sagat
⏰	oýaryjy, oýaryjy sagat, sagat
⏱️	sagat, sekundomer
⏲️	sagat, wagt belleýji, wagt belleýji sagat
🕰️	diregli sagat, sagat
🕛️	00, 12, 12:00, diwar sagady, on iki, sagat, sagat on iki
🕧	12, 12:30, 30, biriň ýary, diwar sagady, on iki, otuz
🕐️	00, 1, 1:00, bir, diwar sagady, sagat, sagat bir
🕜	1, 1:30, 30, bir, diwar sagady, ikiniň ýary, otuz
🕑️	00, 2, 2:00, diwar sagady, iki, sagat, sagat iki
🕝	2, 2:30, 30, diwar sagady, iki, otuz, üçüň ýary
🕒️	00, 3, 3:00, diwar sagady, sagat, sagat üç, üç
🕞	3, 30, 3:30, diwar sagady, dördüň ýary, otuz, üç
🕓️	00, 4, 4:00, diwar sagady, dört, sagat, sagat dört
🕟	30, 4, 4:30, bäşiň ýary, diwar sagady, dört, otuz
🕔️	00, 5, 5:00, bäş, diwar sagady, sagat, sagat bäş
🕠	30, 5, 5:30, altynyň ýary, bäş, diwar sagady, otuz
🕕️	00, 6, 6:00, alty, diwar sagady, sagat, sagat alty
🕡	30, 6, 6:30, alty, diwar sagady, otuz, ýediniň ýary
🕖️	00, 7, 7:00, diwar sagady, sagat, sagat ýedi, ýedi
🕢	30, 7, 7:30, diwar sagady, otuz, sekiziň ýary, ýedi
🕗️	00, 8, 8:00, diwar sagady, sagat, sagat sekiz, sekiz
🕣	30, 8, 8:30, diwar sagady, dokuzyň ýary, otuz, sekiz
🕘️	00, 9, 9:00, diwar sagady, dokuz, sagat, sagat dokuz
🕤	30, 9, 9:30, diwar sagady, dokuz, onuň ýary, otuz
🕙️	00, 10, 10:00, diwar sagady, on, sagat, sagat on
🕥	10, 10:30, 30, diwar sagady, on, on biriň ýary, otuz
🕚️	00, 11, 11:00, diwar sagady, on bir, sagat, sagat on bir
🕦	11, 11:30, 30, diwar sagady, on bir, on ikiniň ýary, otuz
🌑	aý, garaňky, täze aý
🌒	aý, täze aý, täze dogan, ýaş aý
🌓	aý, birinji çärýek aý, çarýek
🌔	aý, täze dogan, ulalýan aý, ýagty aý
🌕️	aý, dolan aý, doly
🌖	aý, kiçelýän, kiçelýän aý, ýagty aý
🌗	aý, soňky çärýek aý, çarýek
🌘	aý, kiçelýän, köne aý, ýarymaý
🌙	aý, ýarym aý, ýarymaý
🌚	aý, täze aý ýüz, ýüz
🌛	aý, çärýek, ýüz, ýüzli birinji çärýek aý
🌜️	aý, çärýek, ýüz, ýüzli soňky çärýek aý
🌡️	howa, termometr
☀️	güneş, güneşli, ýagty, şöhle
🌝	aý, doly, ýagty, ýüz, ýüzli dolan aý
🌞	gün, ýagty, ýüz, ýüzli güneş
🪐	gamly, halkaly planeta, saturn
⭐️	ak ortaça ýyldyz, ýyldyz
🌟	lowurdaýan ýyldyz, lowurdy, parlaýan, uçgun, ýalpyldawuk, ýyldyz
🌠	düşýän, süýnýän, süýnýän ýyldyz, ýyldyz
🌌	Akmaýanyň ýoly, asman
☁️	bulut, howa
⛅️	buludyň aňrysyndaky güneş, bulut, güneş
⛈️	bulut, gök gümmürdisi, ýagyş, ýyldyrymly we ýagyşly bulut
🌤️	bulut, güneş, kiçi buludyň aňrysyndaky güneş
🌥️	bulut, güneş, uly buludyň aňrysyndaky güneş
🌦️	bulut, güneş, ýagyş, ýagyşly buludyň aňrysyndaky güneş
🌧️	bulut, ýagyş, ýagyşly bulut
🌨️	bulut, gar, garly bulut, sowuk
🌩️	bulut, ýyldyrym, ýyldyrymly bulut
🌪️	bulut, tornado, tüweleý
🌫️	bulut, ümür
🌬️	bulut, öwüsmek, ýüz, şemal, şemal ýüz
🌀	baş aýlaýan, harasat, siklon, tupan
🌈	älemgoşar, ýagyş
🌂	eşik, saýawan, ýagyş, ýapyk saýawan
☂️	eşik, saýawan, ýagyş
☔️	damja, eşik, saýawan, ýagyş, ýagyş damjaly saýawan
⛱️	güneş, saýawan, ýagyş, ýerde duran saýawan
⚡️	elektrik, energiýa, güýjenme, howp, tok, ýokary güýjenme, ýyldyrym
❄️	gar, gar tozgasy, sowuk
☃️	gar, gar adam, sowuk
⛄️	gar, gar adam, garsyz gar adam, sowuk
☄️	asman, kometa
🔥	alaw, gural, ýangyn
💧	damja, damjajyk, der, gülkünç, sowuk
🌊	suw, suw tolkuny, tolkun, umman
🎃	baýramçylyk, el çyrasy, hellouin, kädi, otly kädi
🎄	Roždestwo, agaç, baýramçylyk, täze ýyl agajy
🎆	baýramçylyk, feýerwerk
🎇	baýramçylyk, feýerwerk, uçgun, uçgun çykaryjy
🧨	dinamit, feýerwerk, partlaýjy, salýut
✨	*, uçgun, uçgunlar, ýyldyz
🎈	baýramçylyk, şar
🎉	baýramçylyk, parkyldawaç, tada, şüweleň, şüweleň parkyldawajy
🎊	baýramçylyk, konfetti, konfetti topy, top
🎋	agaç, banner, baýramçylyk, tanabata agajy, ýapon
🎍	bambuk, baýramçylyk, sosna, sosna bezegi, ýapon
🎎	baýramçylyk, gurjak, ýapon, ýapon gurjaklary, şüweleň
🎏	balyk, balyk lenta, baýramçylyk, lenta
🎐	baýramçylyk, hytaý jaňjagazy, jaň, jaňjagaz, ýel
🎑	aý, aý synlaýyş dabarasy, baýramçylyk, dabara
🧧	gyzyl bukja, hoňbao, laý si, pul, sowgat, şowlulyk
🎀	baýramçylyk, lenta
🎁	baýramçylyk, dolanan, dolanylgy sowgat, guty, sowgat, ýadygärlik
🎗️	baýramçylyk, hatyra, hatyra lenta, lenta
🎟️	giriş, giriş petekleri, petek
🎫	giriş, petek
🎖️	baýramçylyk, harby, harby medal, medal
🏆️	baýrak, serpaý
🏅	medal, sport medaly
🥇	1-nji ornuň medaly, altyn, birinji, medal
🥈	2-nji ornuň medaly, ikinji, kümüş, medal
🥉	3-nji ornuň medaly, bürünç, medal, üçünji
⚽️	futbol, futbol pökgüsi, pökgi, top
⚾️	beýsbol, top
🥎	ellik, goltuk, pökgi, softbol
🏀	basketbol, top, tor
🏐	oýun, top, woleýbol
🏈	amerikan, amerikan futboly, futbol, top
🏉	futbol, regbi, top
🎾	raketka, tennis, top
🥏	soňky, uçýan disk
🎳	bouling, oýun, top
🏏	kriket oýny, oýun, taýak, top
🏑	gök otuň üstünde oýnalýan hokkeý, hokkeý, meýdança, oýun, taýak, top
🏒	buz, buz hokkeýi, hokkeý, oýun, taýak, şaýba
🥍	gol, lakros, pökgi, ýelmeşmek
🏓	oýun, ping pong, raketka, stol tennisi, taýak, top
🏸	badminton, guşjagaz, oýun, raketka, wolan
🥊	boks, boks elligi, ellik
🥋	dzýudo, forma, karate, söweş sungatlary, söweş sungaty formasy, tekwando
🥅	derweze, gol, tor
⛳️	deşige dikilen baýdak, deşik, golf
⛸️	buz, buz konkisi, konki
🎣	balyk, çeňňek, çeňňek taýagy
🤿	skuba, suwasty ýüzmek, çümmek, çümüş maskasy
🎽	guşak, köýnek, ylgamak, ylgaw, ýeňsiz maýka
🎿	gar, lyža
🛷	sani, sanki
🥌	daş, kýorling, oýun
🎯	dart, dürs urgy, göz, nyşana, nyşanaň ortarasy, oýun, urgy, öküz
🪀	oýunjak, üýtge, ýo-ýo
🪁	asmana göterilmek, batberek, uçmak
🎱	8, 8 bilýard topy, bilýard, oýun, sekiz, top
🔮	erteki, gural, hrustal, hrustal şar, hyýal, pal, top
🧿	göz, göz monjuk, monjuk, tumar, ýaman göz
🎮️	dolandyryjy, oýun, wideo oýun
🕹️	joýstik, oýun, wideo oýun
🎰	awtomat, oýun, oýun awtomaty
🎲	kubik, oýun, oýun kubigi, zarik
🧩	biri-birine birleşýän, bölek, düzülýän tapmaça, maslahat, tapmaça, tapmaça bölegi
🧸	doldurylan, mahmal, oýunjak, oýunjak aýy
♠️	gara kart, garak kart, kart, oýun
♥️	alma kart, kart, oýun
♦️	kart, kerpiç kart, oýun
♣️	jydak kart, kart, oýun
♟️	aldaw, küşt, küşt pyýadasy, ulanylyp bilinýän
🃏	joker, kart, oýun, žoker
🀄️	gyzyl, mahjong, mahjong gyzyl aždarha, oýun
🎴	gül, gülli kart, kart, oýnamak, oýun, ýapon
🎭️	drama teatr, maska, sungat, teatr, ýerine ýetiriş sungaty, ýerine ýetirmek
🖼️	muzeý, sungat, surat, surat çekmek, çarçuwa, çarçuwaly surat
🎨	muzeý, palitra, sungat, surat çekmek, suratkeş palitrasy
🧵	iňňe, sapak, tegek, tikin, ýüp
🧶	kroşe, pökgi, örmek, ýumak
👓️	eşik, göz, pensne, äýnek
🕶️	gara, gara äýnek, göz, pensne, äýnek
🥽	goraýjy äýnek, göz goragy, kebşirleme, ýüzmek
🥼	alym, barlaghana halady, lukman, tejribe
🦺	adatdan daşary ýagdaý, gursakça, halas ediş gursakçasy, howpsuzlyk
👔	boýunbagy, egin-eşik
👕	eşik, futbolka, köýnek, ýeňsiz köýnek
👖	balak, eşik, jalbar, jinsi
🧣	boýun, şarf
🧤	el, ellik
🧥	palto, penjek
🧦	jorap, joraplar
👗	egin-eşik, eşik
👘	egin-eşik, kimono
🥻	geýim, köýnek, sari
🩱	bitewi kupalnik, suwa düşülýän geýim
🩲	bitewi, gysga türsük, içki geýim, suwa düşülýän geýim, ýüzülýän geýim
🩳	içki geýim, jalbar, suwa düşülýän geýimler, şorty
👙	bikini, eşik, ýüzmek
👚	aýal eşikleri, eşik, zenan
👛	eşik, gapjyk, teňňe
👜	el sumka, eşik, gapjyk, goşhalta
👝	eşik, goşhalta, jübi, klaç sumka
🛍️	goşhalta, otel, söwda goşhaltalary, şoping
🎒	goşhalta, mekdep, mekdep goşhaltasy, portfel
👞	erkek, erkek aýakgaby, eşik, köwüş
👟	atletika, eşik, krossowka, köwüş, ylgaw aýakgaby
🥾	botinka, kemping, rýukzak ýygnamak, ýöriş, ýöriş botinkasy
🥿	balet köwşi, köýnek, tekiz köwüş, şypbyk
👠	eşik, köwüş, zenan, ökje, ökjeli köwüş
👡	aýal çepegi, eşik, köwüş, zenan, şypbyk
🩰	balet, balet köwşi, tans
👢	aýal ädigi, eşik, köwüş, zenan, ädik
👑	eşik, täç, şa, şa aýaly
👒	aýal şlýapasy, eşik, papak, zenan
🎩	depe, eşik, papak, çüri papak, çüri şlýapa
🎓️	dabara, eşik, gutardyş, kepka, papak, uçurym papagy
🧢	beýsbol papagy, kölegelikli papak
⛑️	halas edijiniň kaskasy, haç, kaska, kömek, papak, ýüz
📿	din, eşik, monjuk, namaz, tesbi
💄	kosmetika, makiýaž, pomada
💍	brilliant, ýüzük
💎	almaz, brilliant, gymmatbaha daş, zümerret
🔇	dinamik, dym-dyrs, sesi ýapyk dinamik, sessiz, ýuwaş
🔈️	pes sesli dinamik, ýumşak
🔉	orta sesli dinamik, ortaça
🔊	batly, gaty sesli dinamik
📢	batly, dinamik, köpçülige ýüzleniş
📣	joşdurýan, megafon
📯	kerneý, poçta, poçta degişli, poçta kerneýi
🔔	jaň
🔕	bolanok, däl, gadagan, jaň, sessiz, üsti çyzyk jaň, ýok, ýuwaş
🎼	aýdym-saz, aýdym-saz nyşany, partitura
🎵	aýdym-saz, nota
🎶	aýdym-saz, nota, notalar
🎙️	aýdym-saz, mik, mikrofon, studiýa, studiýa mikrofony
🎚️	aýdym-saz, dereje, dereje süýşüriji, süýşüriji
🎛️	aýdym-saz, dolandyrmak, dolandyryş nurbatlary, nurbatlar
🎤	karaoke, mik, mikrofon
🎧️	gulaklyk, nauşnik
📻️	radio, wideo
🎷	aýdym-saz, instrument, saksofon
🎸	aýdym-saz, gitara, instrument
🎹	aýdym-saz, instrument, klawiatura, pianino, saz klawiaturasy
🎺	aýdym-saz, instrument, surnaý
🎻	aýdym-saz, instrument, skripka
🪕	banjo, kirişli, saz
🥁	aýdym-saz, deprek, deprek çalynýan taýajyklar
📱	el telefony, mobil, mobil telefon, telefon, öýjükli
📲	almak, el telefony, jaň, mobil, ok, okly mobil telefon, telefon, öýjükli
☎️	telefon, telefon trubkasy
📞	alyjy, telefon, trubka
📟️	peýjer
📠	faks, faks apparaty
🔋	batareý
🔌	elektrik, tok, tok wilkasy, wilka
💻️	kompýuter, noutbuk kompýuter, pk, şahsy
🖥️	iş stoly, iş stoly kompýuteri, kompýuter
🖨️	kompýuter, printer
⌨️	klawiatura, kompýuter
🖱️	kompýuter, kompýuteriň syçanjygy
🖲️	kompýuter, syçanjygyň topy
💽	disk, kompýuter, kompýuter diski, mini disk, optiki
💾	disk, kompýuter, çeýe, çeýe disk
💿️	cd, disk, kompýuter, optiki, optiki disk
📀	DVD, blu-ray, disk, dvd, kompýuter, optiki
🧮	hasaplamak, çot
🎥	kamera, kino, kinokamera, kinoteatr
🎞️	film, filmden kadrlar, kadrlar, kino, kinoteatr
📽️	film, film proýektory, kino, kinoteatr, proýektor, wideo
🎬️	hlopuşka, kino, şakyrdawuk
📺️	telewizor, tw, wideo
📷️	kamera, wideo
📸	kamera, wideo, wspyşka, wspyşkaly kamera
📹️	kamera, wideo, wideokamera
📼	magnitofon, wideo, wideo kasseta, wideokasseta
🔍	aýna, gural, gözleg, lupa, çepe egilen lupa
🔎	aýna, gural, gözleg, lupa, saga egilen lupa
🕯️	çyra, şem
💡	gülkünç, lampa, pikir, tok, yşyk
🔦	fakel, fonar, gural, tok, yşyk
🏮	fonar, gyzyl, gyzyl hytaý fonarjygy, taýak, yşyk
🪔	diýa, diýa çyrasy, çyra, ýag
📔	bezelen, bezelen gapakly depderçe, depderçe, gapak, kitap
📕	kitap, ýapyk, ýapyk kitap
📖	açyk, açyk kitap, kitap
📗	kitap, ýaşyl, ýaşyl kitap
📘	gök, gök kitap, kitap
📙	kitap, mämişi, mämişi kitap
