😀	මුහුණ, සිනහ මුහුණ, සිනහව
🧏🏼	ඇසීම, කන, බිහිරි, බිහිරි පුද්ගලයා, බිහිරි පුද්ගලයා: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3, ළඟාවිය හැකි බව
🧏🏽	ඇසීම, කන, බිහිරි, බිහිරි පුද්ගලයා, බිහිරි පුද්ගලයා: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4, ළඟාවිය හැකි බව
🧏🏾	ඇසීම, කන, බිහිරි, බිහිරි පුද්ගලයා, බිහිරි පුද්ගලයා: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5, ළඟාවිය හැකි බව
🧏🏿	ඇසීම, කන, බිහිරි, බිහිරි පුද්ගලයා, බිහිරි පුද්ගලයා: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6, ළඟාවිය හැකි බව
🧏‍♂	බිහිරි, බිහිරි මිනිසා, මිනිසා
🧏🏻‍♂	බිහිරි, බිහිරි මිනිසා: සමෙහි වර්ගය-1-2, මිනිසා, සමෙහි වර්ගය-1-2
🧏🏼‍♂	බිහිරි, බිහිරි මිනිසා: සමෙහි වර්ගය-3, මිනිසා, සමෙහි වර්ගය-3
🧏🏽‍♂	බිහිරි, බිහිරි මිනිසා: සමෙහි වර්ගය-4, මිනිසා, සමෙහි වර්ගය-4
🧏🏾‍♂	බිහිරි, බිහිරි මිනිසා: සමෙහි වර්ගය-5, මිනිසා, සමෙහි වර්ගය-5
🧏🏿‍♂	බිහිරි, බිහිරි මිනිසා: සමෙහි වර්ගය-6, මිනිසා, සමෙහි වර්ගය-6
🧏‍♀	කාන්තාව, බිහිරි, බිහිරි කාන්තාව
🧏🏻‍♀	කාන්තාව, බිහිරි, බිහිරි කාන්තාව: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧏🏼‍♀	කාන්තාව, බිහිරි, බිහිරි කාන්තාව: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧏🏽‍♀	කාන්තාව, බිහිරි, බිහිරි කාන්තාව: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧏🏾‍♀	කාන්තාව, බිහිරි, බිහිරි කාන්තාව: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧏🏿‍♀	කාන්තාව, බිහිරි, බිහිරි කාන්තාව: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🙇	අභින, ආචාර කිරීම, සමාව ඉල්ලීම, හිස නවන පුද්ගලයා
🙇🏻	අභින, ආචාර කිරීම, සමාව ඉල්ලීම, සමෙහි වර්ගය-1-2, හිස නවන පුද්ගලයා, හිස නවන පුද්ගලයා: සමෙහි වර්ගය-1-2
🙇🏼	අභින, ආචාර කිරීම, සමාව ඉල්ලීම, සමෙහි වර්ගය-3, හිස නවන පුද්ගලයා, හිස නවන පුද්ගලයා: සමෙහි වර්ගය-3
🙇🏽	අභින, ආචාර කිරීම, සමාව ඉල්ලීම, සමෙහි වර්ගය-4, හිස නවන පුද්ගලයා, හිස නවන පුද්ගලයා: සමෙහි වර්ගය-4
🙇🏾	අභින, ආචාර කිරීම, සමාව ඉල්ලීම, සමෙහි වර්ගය-5, හිස නවන පුද්ගලයා, හිස නවන පුද්ගලයා: සමෙහි වර්ගය-5
🙇🏿	අභින, ආචාර කිරීම, සමාව ඉල්ලීම, සමෙහි වර්ගය-6, හිස නවන පුද්ගලයා, හිස නවන පුද්ගලයා: සමෙහි වර්ගය-6
🙇‍♂	උදව්ව, ගැඹුරින් හිස නවන මිනිසා, නැමීම, මිනිහා, සමාවන්න
🙇🏻‍♂	උදව්ව, ගැඹුරින් හිස නවන මිනිසා, ගැඹුරින් හිස නවන මිනිසා: සමෙහි වර්ගය-1-2, නැමීම, මිනිහා, සමාවන්න, සමෙහි වර්ගය-1-2
🙇🏼‍♂	උදව්ව, ගැඹුරින් හිස නවන මිනිසා, ගැඹුරින් හිස නවන මිනිසා: සමෙහි වර්ගය-3, නැමීම, මිනිහා, සමාවන්න, සමෙහි වර්ගය-3
🙇🏽‍♂	උදව්ව, ගැඹුරින් හිස නවන මිනිසා, ගැඹුරින් හිස නවන මිනිසා: සමෙහි වර්ගය-4, නැමීම, මිනිහා, සමාවන්න, සමෙහි වර්ගය-4
🙇🏾‍♂	උදව්ව, ගැඹුරින් හිස නවන මිනිසා, ගැඹුරින් හිස නවන මිනිසා: සමෙහි වර්ගය-5, නැමීම, මිනිහා, සමාවන්න, සමෙහි වර්ගය-5
🙇🏿‍♂	උදව්ව, ගැඹුරින් හිස නවන මිනිසා, ගැඹුරින් හිස නවන මිනිසා: සමෙහි වර්ගය-6, නැමීම, මිනිහා, සමාවන්න, සමෙහි වර්ගය-6
🙇‍♀	උදව්ව, කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව, නැමීම, සමාවන්න
🙇🏻‍♀	උදව්ව, කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව: සමෙහි වර්ගය-1-2, නැමීම, සමාවන්න, සමෙහි වර්ගය-1-2
🙇🏼‍♀	උදව්ව, කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව: සමෙහි වර්ගය-3, නැමීම, සමාවන්න, සමෙහි වර්ගය-3
🙇🏽‍♀	උදව්ව, කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව: සමෙහි වර්ගය-4, නැමීම, සමාවන්න, සමෙහි වර්ගය-4
🙇🏾‍♀	උදව්ව, කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව: සමෙහි වර්ගය-5, නැමීම, සමාවන්න, සමෙහි වර්ගය-5
🙇🏿‍♀	උදව්ව, කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව, ගැඹුරින් හිස නවන කාන්තාව: සමෙහි වර්ගය-6, නැමීම, සමාවන්න, සමෙහි වර්ගය-6
🤦	අල්ල, අවිශ්වාසය, බලවත් කෝපය, මුහුණ, මුහුණේ අල්ල ගසා සිටීම
🤦🏻	අල්ල, අවිශ්වාසය, බලවත් කෝපය, මුහුණ, මුහුණේ අල්ල ගසා සිටීම, මුහුණේ අල්ල ගසා සිටීම: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🤦🏼	අල්ල, අවිශ්වාසය, බලවත් කෝපය, මුහුණ, මුහුණේ අල්ල ගසා සිටීම, මුහුණේ අල්ල ගසා සිටීම: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🤦🏽	අල්ල, අවිශ්වාසය, බලවත් කෝපය, මුහුණ, මුහුණේ අල්ල ගසා සිටීම, මුහුණේ අල්ල ගසා සිටීම: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🤦🏾	අල්ල, අවිශ්වාසය, බලවත් කෝපය, මුහුණ, මුහුණේ අල්ල ගසා සිටීම, මුහුණේ අල්ල ගසා සිටීම: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🤦🏿	අල්ල, අවිශ්වාසය, බලවත් කෝපය, මුහුණ, මුහුණේ අල්ල ගසා සිටීම, මුහුණේ අල්ල ගසා සිටීම: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🤦‍♂	අවිශ්වාසය, පිරිමියා, බලවත් කෝපය, මුහුණේ අල්ල ගසා සිටින මිනිසා, මුහුණේ අල්ල ගසා සිටීම
🤦🏻‍♂	අවිශ්වාසය, පිරිමියා, බලවත් කෝපය, මුහුණේ අල්ල ගසා සිටින මිනිසා, මුහුණේ අල්ල ගසා සිටින මිනිසා: සමෙහි වර්ගය-1-2, මුහුණේ අල්ල ගසා සිටීම, සමෙහි වර්ගය-1-2
🤦🏼‍♂	අවිශ්වාසය, පිරිමියා, බලවත් කෝපය, මුහුණේ අල්ල ගසා සිටින මිනිසා, මුහුණේ අල්ල ගසා සිටින මිනිසා: සමෙහි වර්ගය-3, මුහුණේ අල්ල ගසා සිටීම, සමෙහි වර්ගය-3
🤦🏽‍♂	අවිශ්වාසය, පිරිමියා, බලවත් කෝපය, මුහුණේ අල්ල ගසා සිටින මිනිසා, මුහුණේ අල්ල ගසා සිටින මිනිසා: සමෙහි වර්ගය-4, මුහුණේ අල්ල ගසා සිටීම, සමෙහි වර්ගය-4
