😀	cara, cara sorridente, sorriso
🙏	agradecimento, corpo, gesto, juntas, mão, pedido, por favor, reverência, rezar
🙏🏻	agradecimento, corpo, gesto, juntas, mão, mãos juntas: tipo de pele 1–2, pedido, por favor, reverência, rezar, tipo de pele 1–2
🙏🏼	agradecimento, corpo, gesto, juntas, mão, mãos juntas: tipo de pele 3, pedido, por favor, reverência, rezar, tipo de pele 3
🙏🏽	agradecimento, corpo, gesto, juntas, mão, mãos juntas: tipo de pele 4, pedido, por favor, reverência, rezar, tipo de pele 4
🙏🏾	agradecimento, corpo, gesto, juntas, mão, mãos juntas: tipo de pele 5, pedido, por favor, reverência, rezar, tipo de pele 5
🙏🏿	agradecimento, corpo, gesto, juntas, mão, mãos juntas: tipo de pele 6, pedido, por favor, reverência, rezar, tipo de pele 6
✍️	corpo, escrever, mão, mão a escrever
✍🏻	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 1–2, tipo de pele 1–2
✍🏼	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 3, tipo de pele 3
✍🏽	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 4, tipo de pele 4
✍🏾	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 5, tipo de pele 5
✍🏿	corpo, escrever, mão, mão a escrever, mão a escrever: tipo de pele 6, tipo de pele 6
💅	corpo, cosméticos, cuidado, manicura, unha, verniz, verniz das unhas, verniz para as unhas
💅🏻	corpo, cosméticos, cuidado, manicura, tipo de pele 1–2, unha, verniz, verniz das unhas, verniz para as unhas, verniz para as unhas: tipo de pele 1–2
💅🏼	corpo, cosméticos, cuidado, manicura, tipo de pele 3, unha, verniz, verniz das unhas, verniz para as unhas, verniz para as unhas: tipo de pele 3
💅🏽	corpo, cosméticos, cuidado, manicura, tipo de pele 4, unha, verniz, verniz das unhas, verniz para as unhas, verniz para as unhas: tipo de pele 4
💅🏾	corpo, cosméticos, cuidado, manicura, tipo de pele 5, unha, verniz, verniz das unhas, verniz para as unhas, verniz para as unhas: tipo de pele 5
💅🏿	corpo, cosméticos, cuidado, manicura, tipo de pele 6, unha, verniz, verniz das unhas, verniz para as unhas, verniz para as unhas: tipo de pele 6
🤳	câmara, selfie, telemóvel
🤳🏻	câmara, selfie, selfie: tipo de pele 1–2, telemóvel, tipo de pele 1–2
🤳🏼	câmara, selfie, selfie: tipo de pele 3, telemóvel, tipo de pele 3
🤳🏽	câmara, selfie, selfie: tipo de pele 4, telemóvel, tipo de pele 4
🤳🏾	câmara, selfie, selfie: tipo de pele 5, telemóvel, tipo de pele 5
🤳🏿	câmara, selfie, selfie: tipo de pele 6, telemóvel, tipo de pele 6
💪	bíceps, bíceps fletido, corpo, desenho, flexão, músculo
💪🏻	bíceps, bíceps fletido, bíceps fletido: tipo de pele 1–2, corpo, desenho, flexão, músculo, tipo de pele 1–2
💪🏼	bíceps, bíceps fletido, bíceps fletido: tipo de pele 3, corpo, desenho, flexão, músculo, tipo de pele 3
💪🏽	bíceps, bíceps fletido, bíceps fletido: tipo de pele 4, corpo, desenho, flexão, músculo, tipo de pele 4
💪🏾	bíceps, bíceps fletido, bíceps fletido: tipo de pele 5, corpo, desenho, flexão, músculo, tipo de pele 5
💪🏿	bíceps, bíceps fletido, bíceps fletido: tipo de pele 6, corpo, desenho, flexão, músculo, tipo de pele 6
🦵	extremidade, pontapé
🦵🏻	extremidade, perna: tipo de pele 1–2, pontapé, tipo de pele 1–2
🦵🏼	extremidade, perna: tipo de pele 3, pontapé, tipo de pele 3
🦵🏽	extremidade, perna: tipo de pele 4, pontapé, tipo de pele 4
🦵🏾	extremidade, perna: tipo de pele 5, pontapé, tipo de pele 5
🦵🏿	extremidade, perna: tipo de pele 6, pontapé, tipo de pele 6
🦶	pisar, pontapé
🦶🏻	pisar, pontapé, pé: tipo de pele 1–2, tipo de pele 1–2
🦶🏼	pisar, pontapé, pé: tipo de pele 3, tipo de pele 3
🦶🏽	pisar, pontapé, pé: tipo de pele 4, tipo de pele 4
🦶🏾	pisar, pontapé, pé: tipo de pele 5, tipo de pele 5
🦶🏿	pisar, pontapé, pé: tipo de pele 6, tipo de pele 6
👂🏻	corpo, orelha, orelha: tipo de pele 1–2, tipo de pele 1–2
👂🏼	corpo, orelha, orelha: tipo de pele 3, tipo de pele 3
👂🏽	corpo, orelha, orelha: tipo de pele 4, tipo de pele 4
👂🏾	corpo, orelha, orelha: tipo de pele 5, tipo de pele 5
👂🏿	corpo, orelha, orelha: tipo de pele 6, tipo de pele 6
🦻	acessibilidade, deficiência auditiva, orelha com aparelho auditivo
🦻🏻	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 1–2, tipo de pele 1–2
🦻🏼	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 3, tipo de pele 3
🦻🏽	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 4, tipo de pele 4
🦻🏾	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 5, tipo de pele 5
🦻🏿	acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo: tipo de pele 6, tipo de pele 6
👃	corpo
👃🏻	corpo, nariz: tipo de pele 1–2, tipo de pele 1–2
👃🏼	corpo, nariz: tipo de pele 3, tipo de pele 3
👃🏽	corpo, nariz: tipo de pele 4, tipo de pele 4
👃🏾	corpo, nariz: tipo de pele 5, tipo de pele 5
👃🏿	corpo, nariz: tipo de pele 6, tipo de pele 6
👀	cara, corpo, olho
👁️	corpo
👅	corpo
👄	corpo, lábios
👶	bebé, criança, pessoa
👶🏻	bebé, bebé: tipo de pele 1–2, criança, pessoa, tipo de pele 1–2
👶🏼	bebé, bebé: tipo de pele 3, criança, pessoa, tipo de pele 3
👶🏽	bebé, bebé: tipo de pele 4, criança, pessoa, tipo de pele 4
👶🏾	bebé, bebé: tipo de pele 5, criança, pessoa, tipo de pele 5
👶🏿	bebé, bebé: tipo de pele 6, criança, pessoa, tipo de pele 6
🧒	criança, género neutro, jovem, novo, pessoa
🧒🏻	criança, criança: tipo de pele 1–2, género neutro, jovem, novo, pessoa, tipo de pele 1–2
🧒🏼	criança, criança: tipo de pele 3, género neutro, jovem, novo, pessoa, tipo de pele 3
🧒🏽	criança, criança: tipo de pele 4, género neutro, jovem, novo, pessoa, tipo de pele 4
🧒🏾	criança, criança: tipo de pele 5, género neutro, jovem, novo, pessoa, tipo de pele 5
🧒🏿	criança, criança: tipo de pele 6, género neutro, jovem, novo, pessoa, tipo de pele 6
👦	jovem, menino, pessoa, rapaz
👦🏻	jovem, menino, pessoa, rapaz, rapaz: tipo de pele 1–2, tipo de pele 1–2
👦🏼	jovem, menino, pessoa, rapaz, rapaz: tipo de pele 3, tipo de pele 3
👦🏽	jovem, menino, pessoa, rapaz, rapaz: tipo de pele 4, tipo de pele 4
👦🏾	jovem, menino, pessoa, rapaz, rapaz: tipo de pele 5, tipo de pele 5
👦🏿	jovem, menino, pessoa, rapaz, rapaz: tipo de pele 6, tipo de pele 6
👧	jovem, menina, pessoa, rapariga
👧🏻	jovem, menina, pessoa, rapariga, rapariga: tipo de pele 1–2, tipo de pele 1–2
👧🏼	jovem, menina, pessoa, rapariga, rapariga: tipo de pele 3, tipo de pele 3
👧🏽	jovem, menina, pessoa, rapariga, rapariga: tipo de pele 4, tipo de pele 4
👧🏾	jovem, menina, pessoa, rapariga, rapariga: tipo de pele 5, tipo de pele 5
👧🏿	jovem, menina, pessoa, rapariga, rapariga: tipo de pele 6, tipo de pele 6
🧑	adulta, adulto, género neutro, pessoa
🧑🏻	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 1–2, tipo de pele 1–2
🧑🏼	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 3, tipo de pele 3
🧑🏽	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 4, tipo de pele 4
🧑🏾	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 5, tipo de pele 5
🧑🏿	adulta, adulto, género neutro, pessoa, pessoa: tipo de pele 6, tipo de pele 6
👱	loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro
👱🏻	cabelo louro, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa: tipo de pele 1–2 e cabelo louro, tipo de pele 1–2
👱🏼	cabelo louro, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa: tipo de pele 3 e cabelo louro, tipo de pele 3
👱🏽	cabelo louro, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa: tipo de pele 4 e cabelo louro, tipo de pele 4
👱🏾	cabelo louro, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa: tipo de pele 5 e cabelo louro, tipo de pele 5
👱🏿	cabelo louro, loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa: tipo de pele 6 e cabelo louro, tipo de pele 6
👨	adulto, homem, pessoa
👨🏻	adulto, homem, homem: tipo de pele 1–2, pessoa, tipo de pele 1–2
👨🏼	adulto, homem, homem: tipo de pele 3, pessoa, tipo de pele 3
👨🏽	adulto, homem, homem: tipo de pele 4, pessoa, tipo de pele 4
👨🏾	adulto, homem, homem: tipo de pele 5, pessoa, tipo de pele 5
👨🏿	adulto, homem, homem: tipo de pele 6, pessoa, tipo de pele 6
🧔	barba, pessoa
🧔🏻	barba, homem: tipo de pele 1–2 e barba, pessoa, tipo de pele 1–2
🧔🏼	barba, homem: tipo de pele 3 e barba, pessoa, tipo de pele 3
🧔🏽	barba, homem: tipo de pele 4 e barba, pessoa, tipo de pele 4
🧔🏾	barba, homem: tipo de pele 5 e barba, pessoa, tipo de pele 5
🧔🏿	barba, homem: tipo de pele 6 e barba, pessoa, tipo de pele 6
👱‍♂	homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, louro
👱🏻‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: tipo de pele 1–2 e cabelo loiro, louro, tipo de pele 1–2
👱🏼‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: tipo de pele 3 e cabelo loiro, louro, tipo de pele 3
👱🏽‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: tipo de pele 4 e cabelo loiro, louro, tipo de pele 4
👱🏾‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: tipo de pele 5 e cabelo loiro, louro, tipo de pele 5
👱🏿‍♂	cabelo loiro, homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: tipo de pele 6 e cabelo loiro, louro, tipo de pele 6
👨‍🦰	adulto, cabelo ruivo, homem, homem: cabelo ruivo, pessoa
👨🏻‍🦰	adulto, cabelo ruivo, homem, homem: tipo de pele 1–2 e cabelo ruivo, pessoa, tipo de pele 1–2
👨🏼‍🦰	adulto, cabelo ruivo, homem, homem: tipo de pele 3 e cabelo ruivo, pessoa, tipo de pele 3
👨🏽‍🦰	adulto, cabelo ruivo, homem, homem: tipo de pele 4 e cabelo ruivo, pessoa, tipo de pele 4
👨🏾‍🦰	adulto, cabelo ruivo, homem, homem: tipo de pele 5 e cabelo ruivo, pessoa, tipo de pele 5
👨🏿‍🦰	adulto, cabelo ruivo, homem, homem: tipo de pele 6 e cabelo ruivo, pessoa, tipo de pele 6
👨‍🦱	adulto, cabelo encaracolado, homem, homem: cabelo encaracolado, pessoa
👨🏻‍🦱	adulto, cabelo encaracolado, homem, homem: tipo de pele 1–2 e cabelo encaracolado, pessoa, tipo de pele 1–2
👨🏼‍🦱	adulto, cabelo encaracolado, homem, homem: tipo de pele 3 e cabelo encaracolado, pessoa, tipo de pele 3
👨🏽‍🦱	adulto, cabelo encaracolado, homem, homem: tipo de pele 4 e cabelo encaracolado, pessoa, tipo de pele 4
👨🏾‍🦱	adulto, cabelo encaracolado, homem, homem: tipo de pele 5 e cabelo encaracolado, pessoa, tipo de pele 5
👨🏿‍🦱	adulto, cabelo encaracolado, homem, homem: tipo de pele 6 e cabelo encaracolado, pessoa, tipo de pele 6
👨‍🦳	adulto, cabelo branco, homem, pessoa
👨🏻‍🦳	adulto, cabelo branco, homem, homem: tipo de pele 1–2 e cabelo branco, pessoa, tipo de pele 1–2
👨🏼‍🦳	adulto, cabelo branco, homem, homem: tipo de pele 3 e cabelo branco, pessoa, tipo de pele 3
👨🏽‍🦳	adulto, cabelo branco, homem, homem: tipo de pele 4 e cabelo branco, pessoa, tipo de pele 4
👨🏾‍🦳	adulto, cabelo branco, homem, homem: tipo de pele 5 e cabelo branco, pessoa, tipo de pele 5
👨🏿‍🦳	adulto, cabelo branco, homem, homem: tipo de pele 6 e cabelo branco, pessoa, tipo de pele 6
👨‍🦲	adulto, careca, homem, pessoa
👨🏻‍🦲	adulto, careca, homem, homem: tipo de pele 1–2 e careca, pessoa, tipo de pele 1–2
👨🏼‍🦲	adulto, careca, homem, homem: tipo de pele 3 e careca, pessoa, tipo de pele 3
👨🏽‍🦲	adulto, careca, homem, homem: tipo de pele 4 e careca, pessoa, tipo de pele 4
👨🏾‍🦲	adulto, careca, homem, homem: tipo de pele 5 e careca, pessoa, tipo de pele 5
👨🏿‍🦲	adulto, careca, homem, homem: tipo de pele 6 e careca, pessoa, tipo de pele 6
👩	adulta, mulher, pessoa
👩🏻	adulta, mulher, mulher: tipo de pele 1–2, pessoa, tipo de pele 1–2
👩🏼	adulta, mulher, mulher: tipo de pele 3, pessoa, tipo de pele 3
👩🏽	adulta, mulher, mulher: tipo de pele 4, pessoa, tipo de pele 4
👩🏾	adulta, mulher, mulher: tipo de pele 5, pessoa, tipo de pele 5
👩🏿	adulta, mulher, mulher: tipo de pele 6, pessoa, tipo de pele 6
👱‍♀	loura, mulher, mulher com cabelo loiro, mulher com cabelo louro, mulher loira
👱🏻‍♀	cabelo loiro, loura, mulher, mulher com cabelo loiro, mulher com cabelo louro, mulher loira, mulher: tipo de pele 1–2 e cabelo loiro, tipo de pele 1–2
👱🏼‍♀	cabelo loiro, loura, mulher, mulher com cabelo loiro, mulher com cabelo louro, mulher loira, mulher: tipo de pele 3 e cabelo loiro, tipo de pele 3
👱🏽‍♀	cabelo loiro, loura, mulher, mulher com cabelo loiro, mulher com cabelo louro, mulher loira, mulher: tipo de pele 4 e cabelo loiro, tipo de pele 4
👱🏾‍♀	cabelo loiro, loura, mulher, mulher com cabelo loiro, mulher com cabelo louro, mulher loira, mulher: tipo de pele 5 e cabelo loiro, tipo de pele 5
👱🏿‍♀	cabelo loiro, loura, mulher, mulher com cabelo loiro, mulher com cabelo louro, mulher loira, mulher: tipo de pele 6 e cabelo loiro, tipo de pele 6
👩‍🦰	adulta, cabelo ruivo, mulher, mulher: cabelo ruivo, pessoa
👩🏻‍🦰	adulta, cabelo ruivo, mulher, mulher: tipo de pele 1–2 e cabelo ruivo, pessoa, tipo de pele 1–2
👩🏼‍🦰	adulta, cabelo ruivo, mulher, mulher: tipo de pele 3 e cabelo ruivo, pessoa, tipo de pele 3
👩🏽‍🦰	adulta, cabelo ruivo, mulher, mulher: tipo de pele 4 e cabelo ruivo, pessoa, tipo de pele 4
👩🏾‍🦰	adulta, cabelo ruivo, mulher, mulher: tipo de pele 5 e cabelo ruivo, pessoa, tipo de pele 5
👩🏿‍🦰	adulta, cabelo ruivo, mulher, mulher: tipo de pele 6 e cabelo ruivo, pessoa, tipo de pele 6
👩‍🦱	adulta, cabelo encaracolado, mulher, mulher: cabelo encaracolado, pessoa
👩🏻‍🦱	adulta, cabelo encaracolado, mulher, mulher: tipo de pele 1–2 e cabelo encaracolado, pessoa, tipo de pele 1–2
👩🏼‍🦱	adulta, cabelo encaracolado, mulher, mulher: tipo de pele 3 e cabelo encaracolado, pessoa, tipo de pele 3
👩🏽‍🦱	adulta, cabelo encaracolado, mulher, mulher: tipo de pele 4 e cabelo encaracolado, pessoa, tipo de pele 4
👩🏾‍🦱	adulta, cabelo encaracolado, mulher, mulher: tipo de pele 5 e cabelo encaracolado, pessoa, tipo de pele 5
👩🏿‍🦱	adulta, cabelo encaracolado, mulher, mulher: tipo de pele 6 e cabelo encaracolado, pessoa, tipo de pele 6
👩‍🦳	adulta, cabelo branco, mulher, pessoa
👩🏻‍🦳	adulta, cabelo branco, mulher, mulher: tipo de pele 1–2 e cabelo branco, pessoa, tipo de pele 1–2
👩🏼‍🦳	adulta, cabelo branco, mulher, mulher: tipo de pele 3 e cabelo branco, pessoa, tipo de pele 3
👩🏽‍🦳	adulta, cabelo branco, mulher, mulher: tipo de pele 4 e cabelo branco, pessoa, tipo de pele 4
👩🏾‍🦳	adulta, cabelo branco, mulher, mulher: tipo de pele 5 e cabelo branco, pessoa, tipo de pele 5
👩🏿‍🦳	adulta, cabelo branco, mulher, mulher: tipo de pele 6 e cabelo branco, pessoa, tipo de pele 6
👩‍🦲	adulta, careca, mulher, pessoa
👩🏻‍🦲	adulta, careca, mulher, mulher: tipo de pele 1–2 e careca, pessoa, tipo de pele 1–2
