😀	kenua, sura inayokenua, uso
🦳	kijivu, mzee, nyeupe, nywele, nywele nyeupe
🦲	bila nywele, kichwa kilichonyolewa, tibakemikali, upara
🐵	tumbili, uso, uso wa tumbili
🐒	tumbili
🦍	mnyama, sokwe
🦧	orangutanu (sokwe), sokwe
🐶	mbwa, mnyama kipenzi, uso, uso wa mbwa
🐕️	mbwa, mnyama kipenzi
🦮	kiongozi, kipofu, mbwa wa kuongoza, ufikivu
🐕‍🦺	huduma, mbwa, mbwa msaidizi, ufikivu, usaidizi
🐩	kijibwa, mbwa
🐺	mbwa mwitu, uso
🦊	mbweha, mnyama, uso wa mbweha
🦝	mdadisi, mjanja, rakuni
🐱	mnyama kipenzi, paka, uso, uso wa paka
🐈️	mnyama kipenzi, paka
🦁	uso, uso wa simba
🐯	chui milia, uso, uso wa chui milia
🐅	chui mkubwa mwenye milia, chui mwenye milia
🐆	chui
🐴	farasi, uso, uso wa farasi
🐎	farasi, kuendesha farasi, mashindano
🦄	uso, uso wa farasi mwenye pembe moja
🦓	milia, punda milia
🦌	kulungu, mnyama
🐮	ng’ombe, uso, uso wa ng’ombe
🐂	fahali, maksai, ng’ombe, zodiaki
🐃	maji, nyati
🐄	ng’ombe
🐷	nguruwe, uso, uso wa nguruwe
🐖	nguruwe, nguruwe jike
🐗	nguruwe, uso wa nguruwe dume
🐽	nguruwe, pua, pua la nguruwe, uso
🐏	kondoo, kondoo dume, zodiaki
🐑	kike, kondoo, kondoo wa kike
🐐	mbuzi, zodiaki
🐪	ngamia, ngamia mwenye nundu moja, nundu
🐫	ngamia, ngamia mwenye nundu mbili, ngamia mwenye vibyongo viwili, nundu
🦙	alpaca, guanaco, ilama, sufu, vicuña
🦒	madoa, twiga
🐘	ndovu, tembo
🦏	kifaru, mnyama
🦛	kiboko, mnyama
🐭	panya, uso, uso wa panya
🐁	kipanya
🐀	panya
🐹	buku, mnyama kipenzi, uso, uso wa buku
🐰	mnayama kipenzi, sungura, uso, uso wa sungura
🐇	mnayama kipenzi, sungura
🐿️	kindi milia, kindimilia
🦔	nungunungu, yenye miiba
🦇	ndege, popo
🐻	budu, dubu, uso, uso wa dubu
🐨	dubu, koala
🐼	panda, uso, uso wa panda
🦥	mzembe, polepole, slothi
🦦	cheshi, fisi-maji, kuvua samaki
🦨	kicheche, kunuka
🦘	Australia, kangaruu, mtoto wa kangaruu, ruka
🦡	melesi, melesi mla asali, sumbua
🐾	alama, nyayo, nyayo za mnyama, nyayo zenye makucha
🦃	bata mzinga, ndege
🐔	kuku, ndege
🐓	jimbi, jogoo
🐣	kifaranga, kifaranga kinachoanguliwa, kuanguliwa, mtoto
🐤	kifaranga, mtoto
🐥	kifaranga, kifaranga kinachotazama mbele, mtoto
🐦️	ndege
🐧	pengwini
🕊️	amani, ndege, njiwa, paa
🦅	ndege, tai, tai (ndege)
🦆	bata, ndege
🦢	bata, bata maji, mtoto wa bata, ndege
🦉	bundi, ndege
🦩	Flamingo, madaha, madoido
🦚	kiburi, majivuno, ndege, tausi
🦜	kasuku, kuzungumza, maharamia, ndege
🐸	chura, uso, uso wa chura
🐊	mamba
🐢	kobe, mzee kobe
🦎	kenge, mjusi, mnyama anayetamba
🐍	dubu, joka, nyoka, opichasi, zodiaki
🐲	dragoni, kichimbakazi, uso, uso wa dragoni
🐉	dragoni, kichimbakazi
🦕	brachiosaurusi, brontosaurusi, diplodocusi, sauropodi
🦖	T-Rex, Tyrannosaria Rex
🐳	kurusha, nyangumi, nyangumi anayerusha maji, uso
🐋	nyangumi
🐬	kikono, pomboo
🐟️	samaki, zodiaki
🐠	samaki, samaki wa tropiki, tropikali
🐡	aina ya samaki, samaki
🦈	papa, samaki
🐙	pweza
🐚	kombe, kombe la mzunguko, mzunguko
🐌	konokono
🦋	kipepeo, maridadi, mdudu
🐛	mdudu
🐜	mdudu, siafu
🐝	mdudu, nyuki
🐞	kombamwiko, mdudu, mende
🦗	nyenje, panzi
🕷️	buibui, mdudu
🕸️	buibui, tandabui
🦂	ng’e, zodiaki
🦟	homa, malaria, mbu, mdudu, ugonjwa, virusi
🦠	amoeba, bakteria, virusi
💐	mapenzi, mmea, shada la maua, ua
🌸	chanua, cheri, mmea, ua, ua la mcheri
💮	ua, ua jeupe
🏵️	mmea, waridi
🌹	mmea, ua, ua la waridi
🥀	ua, ua lililonyauka
🌺	haibiskasi, mmea, ua
🌻	alizeti, jua, mmea, ua
🌼	maua mengi, mmea, ua
🌷	mmea, tulipu, ua
🌱	mche, mmea
🌲	mmea, mmea wenye majani mwaka mzima, mti
🌳	kupuputika, mmea, mti, mti unaopukutika majani yake, puputika majani
🌴	mmea, mnazi, mti
🌵	dungusi kakati, mmea
🌾	mchele, mmea, shada la mchele, sikio
🌿	mimea ya msimu, mmea, tawi
☘️	mmea, shamroki
🍀	4, klova, klova yenye majani manne, mmea, nne, tawi
🍁	jani, jani la mshira, kuanguka, mmea, mshira
🍂	jani lililoanguka, kuanguka, majani, mmea
🍃	jani linalopepea kwenye upepo, mmea, pepea, puliza, tawi, upepo
🍇	mmea, tunda, zabibu
🍈	mmea, tikiti, tunda
🍉	mmea, tikitimaji, tunda
🍊	chenza, chungwa, mmea, tunda
🍋	limau, mmea, tunda
🍌	mmea, ndizi, tunda
🍍	mmea, nanasi, tunda
🥭	embe, tropiki, tunda
🍎	jekundu, mmea, tufaha, tufaha jekundu, tunda
🍏	kijani, mmea, tufaha, tufaha la kijani, tunda
🍐	mmea, pea, tunda
🍑	mmea, pichi, tunda
🍒	cheri, mmea, tunda
🍓	beri, mmea, stroberi, tunda
🥝	chakula, matunda, tunda la kiwi
🍅	mbogamboga, mmea, nyanya
🥥	mnazi, nazi, piña colada
🥑	chakula, matunda, parachichi
🍆	biringanya, mbogamboga, mmea
🥔	chakula, mboga, viazi
🥕	chakula, karoti, mboga
🌽	mahindi, mmea, nafaka, sikio, tazaa
🌶️	mmea, moto, pilipili, pilipili kali
🥒	chakula, mboga, tango, tango pepeta
🥬	bok choy, kabichi, mchicha, saladi, sukumawiki
🥦	brokoli, kabichi ya msitu
🧄	kitunguu saumu, ladha
🧅	kitunguu, ladha
🍄	mmea, uyoga
🥜	chakula, njugu, njugu karanga
🌰	aina ya njugu, mmea
🍞	mkate
🥐	chakula, maandazi, mahamri, vitumbua
🥖	chakula, mkate, mkate wa kifaransa
🥨	iliyosokotwa, pretzel
🥯	kuoka, mkate wa kuoka, siagi
🥞	chakula, chapati
🧇	chuma, kutoweza kufanya uamuzi, mkate wa sega la nyuki
🧀	jibini, kipande cha jibini
🍖	mfupa, nyama, nyama kwenye mfupa
🍗	kuku, mfupa, mguu, ndege wanaofugwa, paja la kuku
🥩	kipande cha nyama, kipande cha nyama ya kondoo, kipande cha nyama ya nguruwe, nyama
🥓	chakula, nyama
🍔	baga, hambaga
🍟	chipsi, vibanzi
🍕	jibini, kipande, piza
🌭	frankfurter, soseji, soseji katika mkate
🥪	mkate, sandwichi
🌮	chapati iliyojazwa vyakula mbalimbali, meksiko
🌯	meksiko, mkate wa kimeksiko uliowekwa nyama au maharage ndani
🥙	chakula, shawarma
🧆	felafeli, kababu, njegere kubwa
🥚	chakula, yai
🍳	kukaang’a, kupika, sufuria, yai
🥘	chakula, chapati, kikaango, paella
🍲	chungu, chungu cha chakula, mchuzi
🥣	bakuli lenye kijiko, kiamsha kinywa, nafaka, uji
🥗	chakula, kachumbari, saladi
🍿	bisi
🧈	bidhaa ya maziwa, siagi
🧂	chumvi, kidau, pilipili
🥫	chakula kilicho koponi, kopo
🍱	bento, boksi, boksi ya kuweka chakula
🍘	chakula kilichotengenezwa kutoka kwa mchele, mchele
🍙	kijapani, mchele, mchele uliotengenezwa kwa mtindo wa tufe, mpira
🍚	mchele, uliopikwa, wali
🍛	mchele, mchuzi wa viungo, wali ulio na mchuzi wa viungo
🍜	bakuli, bakuli yenye tambi, kupika kwa mvuke, tambi, tambi za kijapani
🍝	tambi
🍠	kiazi, kiazi kitamu kilichochomwa, kuchoma, tamu
🍢	chakula cha majini, kebabu, kibaniko, kijiti, odeni
🍣	sushi
🍤	karangwa, tempura, uduvi, uduvi iliyokaangwa, ushimba
🍥	keki, keki ya samaki iliyozingwa, samaki, vitobosha, zinga
🥮	kupukutika, mkate wa sinia, sherehe, yuèbǐng
🍡	dango, ijiti, kibaniko, kijapani, kitindamlo, tamu
🥟	empanada, gyōza, jiaozi, pierogi, potsticker, pudini ya kinyunya
🥠	biskuti ya bahati, ubashiri
🥡	katoni ya chakula, kisanduku cha chakula
🦀	kaa, zodiaki
🦞	gando, kambamti, mchanga, vyakula vya baharini
🦐	chakula, kamba, uduvi
🦑	chakula, ngisi
🦪	chaza, kupiga mbizi, lulu
🍦	aisikrimu, aisikrimu laini, barafu, kitandamlo, krimu, laini, tamu
🍧	aisikrimu iliyotengenezwa kwa barafu iliyokatwakatwa, barafu, katwakatwa, kitindamlo, tamu
🍨	aisikrimu, barafu, kitindamlo, krimu, tamu
🍩	kitindamlo, kitumbua, tamu
🍪	biskuti, kitindamlo, peremende
🎂	keki, keki ya kusherehekea siku ya kuzaliwa, kitindamlo, kusherehekea, siku ya kuzaliwa, tamu, vitobosha
🍰	keki, kipande, kitindamlo, tamu, vitobosha
🧁	keki ndogo, kuoka, tamu
🥧	pai, vijazo, vitobosho
🍫	chokoleti, kitindamlo, mche, tamu
🍬	kitindamlo, peremende
🍭	kitindamlo, pipi, tamu
🍮	faluda, kitindamlo, pudini, tamu
🍯	asali, chungu cha asali, jungu, tamu
🍼	chupa, chupa ya maziwa ya mtoto, kinywaji, maziwa, mtoto
🥛	glasi, glasi yenye maziwa, kinywaji, maziwa
☕️	chai, kahawa, kinywaji, kinywaji moto, moto
🍵	chai, kikombe, kikombe cha chai, kikombe kisicho na kishikio, kinywaji
🍶	baa, chupa, kikombe, kinywaji, kinywaji cha kijapani kinachotengenezwa kwa kuvundika mchele
🍾	baa, chupa, chupa yenye kifuniko kilichofunguliwa, kifuniko, kinywaji, kufungua
🍷	baa, glasi, glasi ya divai, kinywaji, mvinyo
🍸️	baa, glasi, glasi ya kokteli, kinywaji, kokteli
🍹	baa, kinywaji, kinywaji cha tropiki, tropikali
🍺	baa, bia, kikombe cha bia, kinywaji, kukombe
🍻	baa, bia, gonganisha, kikombe, kinywaji, vikombe vya bia vilivyogonganishwa
🥂	glasi mbili, kugonga glasi, sherehe
🥃	glasi, mvinyo
🥤	kikombe chenye mrija, maji ya machungwa, soda
🧃	chupa ya juisi, chupa ya kinywaji
🧉	kinywaji, kinywaji cha mate
🧊	baridi, kidonge cha barafu, siwa barafu
🥢	hashi, vijiti vya kutumia kula
🍽️	kisu, kupika, sahani, uma, uma na kisu na sahani
🍴	kisu, kupika, uma, uma na kisu
🥄	kijiko, vyombo vya kulia
🔪	hocho, kisu, kisu kinachotumika jikoni, kupika, silaha, zana
🏺	birika, jungu, kunywa, kupika, ndoo, silaha, zana, zodiaki
🌍	afrika, dunia, tufe, tufe linaloonyesha ulaya-afrika, ulaya, ulimwengu
🌎️	dunia, marekani, tufe, tufe linaloonyesha amerika, ulimwengu
🌏	asia, australia, dunia, tufe, tufe linaloonyesha asia-australia, ulimwengu
🌐	dunia, meridiani, tufe, tufe lenye meridiani, ulimwengu
🗺️	dunia, ramani, ramani ya dunia
🗾	japani, ramani, ramani ya japani
🧭	dira, maelekezo, smaku, usafiri
🏔️	baridi, mlima, mlima wenye theluji, theluji
⛰️	mlima
🌋	hali ya hewa, kulipuka, mlima, volkano
🗻	fuji, mlima, mlima fuji
🏕️	kupiga kambi
🏖️	mwavuli, ufuo, ufuo na mwavuli
🏜️	jangwa
🏝️	jangwa, kisiwa, kisiwa cha jangwa
🏞️	mbuga, mbuga ya taifa ya wanyama
🏟️	uga, uwanja wa michezo
🏛️	jengo, jengo la zamani, zamani
🏗️	jengo, ujenzi, ujenzi wa jengo
🧱	matofali, mota, tofali, udongo, ukuta
🏘️	jengo, majengo ya nyumba, nyumba
🏚️	chakaa, jengo, jengo la nyumba lililochakaa, nyumba
🏠️	jengo, jengo la nyumba, nyumba, nyumbani
🏡	bustani, jengo, nyumba, nyumba yenye ua, nyumbani
🏢	jengo, jengo la ofisi
🏣	jengo, kijapani, posta, posta ya japani
🏤	jengo, posta, ulaya
🏥	daktari, dawa, hospitali, jengo
🏦	benki, jengo
🏨	hoteli, jengo
🏩	hoteli, hoteli ya mapenzi, jengo, upendo
🏪	duka, duka la karibu, jengo
🏫	jengo, shule
🏬	duka, duka kuu, jengo
🏭️	jengo, kiwanda
🏯	jengo, kasri, kasri la kijapani, kijapani
🏰	jengo, kasri, ulaya
💒	harusi, kanisa, mapenzi
🗼	mnara, mnara wa tokyo, tokyo
🗽	sanamu, sanamu ya uhuru, uhuru
⛪️	dini, jengo, kanisa, msalaba, ukristo
🕌	dini, msikiti, muislamu, uislamu
🛕	hekalu, hekalu la kihindi, mhindu
🕍	dini, hekalu, hekalu la kiyahudi, myahudi, uyahudi
⛩️	dini, madhabahu, madhabahu ya shinto, shinto
🕋	dini, kaaba, muislamu, uislamu
⛲️	mlizamu
⛺️	hema, kupiga kambi
🌁	hali ya hewa, mandhari yenye ukungu
🌃	hali ya hewa, nyota, usiku, usiku wenye nyota
🏙️	jengo, jiji, mwonekano wa jiji
🌄	asubuhi, hali yahewa, jua, macheo, macheo kwenye milima, mlima
🌅	asubuhi, hali ya hewa, jua, macheo
🌆	giza, hali ya hewa, jengo, jiji, jioni, jua, machweo, mandhari, mwonekano wa jiji usiku
🌇	giza, hali ya hewa, jengo, jua, machweo
🌉	daraja, daraja usiku, hali ya hewa, usiku
♨️	chemchemi, chemcheni za maji moto, chemichemi za maji ya moto, moto, mvuke
🎠	farasi, farasi inayozunguka, kuzunguka
🎡	ferris, gurudumu, gurudumu linalozunguka, sehemu za burudani
🎢	gurudumu, rola kosta, sehemu za burudani, viti vinavyozunguka
💈	kinyozi, kunyolewa, nguzo, nguzo ya kinyozi
🎪	hema, hema ya sarakasi, sarakasi
🚂	gari, garimoshi, injini, mvuke, reli, treni
🚃	basi la tramu, gari, gari la moshi, reli, tramu, treni, umeme
🚄	gari, kasi, reli, shinkansen, treni, treni yenye kasi
🚅	gari, kasi, reli, risasi, shinkansen, treni, treni yenye kasi yenye umbo la risasi
🚆	gari, reli, treni
🚇️	gari, metro, reli ya chini ya ardhi
🚈	gari, reli, reli nyepesi
🚉	gari, kituo, reli, teni
🚊	basi la tramu, gari, tramu
🚝	gari, reli moja
🚞	gari, mlima, reli, reli ya milimani
🚋	basi la tramu, gari, gari la tramu, tramu
🚌	basi, gari
🚍️	basi, basi linalokuja, gari, linalokuja
🚎	basi, gari, kiberenge, toroli, tramu
🚐	basi, basi dogo, gari
🚑️	ambulansi, gari
🚒	gari, gari la zimamoto, injini, lori, moto
🚓	gari, gari la polisi, polisi, ziara
🚔️	gari, gari la polisi linalokuja, linalokuja, polisi
🚕	gari, teksi
🚖	gari, linalokuja, teksi, teksi inayokuja
🚗	gari, motokaa
🚘️	gari, gari linalokuja, linalokuja, motokaa
🚙	gari, gari la burudani, la burudani, rv
🚚	gari, gari la kusafirisha mizigo, kusafirisha, lori
🚛	gari, lori, lori dogo, lori linalobeba mizigo
🚜	gari, trekta
🏎️	gari, gari la mashindano, mashindano
🏍️	mashindano, pikipiki
🛵	pikipiki, pikipiki (skuta)
🦽	kiti cha magurudumu kisicho na mota, ufikivu
🦼	kiti cha magurudumu chenye mota, ufikivu
🛺	riksho, tuk tuk
🚲️	baisikeli, gari
🛴	skuta
🛹	ubao, ubao mtelezo
🚏	gari, kituo, kituo cha basi
🛣️	barabara, barabara kuu
🛤️	njia ya reli, reli, treni
🛢️	mafuta, ngoma, pipa la mafuta
⛽️	kituo, mafuta, pampu, pampu ya mafuta
🚨	gari, kuzunguka, mwanga, polisi, taa, taa ya gari la polisi
🚥	ishara, taa, taa mlalo ya trafiki, trafiki
🚦	ishara, taa, taa wima ya trafiki, trafiki
🛑	taa ya kusimama, trafiki
🚧	kizuizi, ujenzi
⚓️	meli, nanga, zana
⛵️	bahari, boti, gari, mahali pa kutembelea watalii, mashua, mashura
🛶	mashua, mtumbwi
🚤	boti, gari, mashua ya kasi
🛳️	abiria, gari, meli, meli ya abiria
⛴️	boti, kivuko
🛥️	boti, gari, motaboti
🚢	gari, meli
✈️	eropleni, gari
🛩️	gari, ndege, ndege ndogo
🛫	gari, kuingia, kuondoka, ndege, ndege inayoondoka
🛬	gari, inaasili, kutua, kuwasili, ndege, ndege inayowasili
🪂	parachuti, ruka kutoka angani, ruka kwa nyiririko, ruka kwa parachuti
💺	kikalio, kiti
🚁	gari, helikopta
🚟	elea, gari, reli, reli inayoelea angani
🚠	gari, gari linalosafiri kwenye kamba zilizoning’ing’izwa hewani, gari linalosafiri milimani kwa kamba, kebo
🚡	gari, gari linalosafiri kwenye kamba zilizoning’ing’izwa hewani, hewani, kebo, njia ya kamba, njia ya tramu, tramu inayosafiri angani kwa kamba
🛰️	anga, gari, setilaiti
🚀	anga, gari, roketi
🛸	chombo kisichotambulika kinachopaa, kisahani kinachopaa
🛎️	hoteli, kengele, kengele ya mwandazi, mwandazi
🧳	funganya virago, mzigo, safiri
⌛️	kipima muda, mchanga, shisha
⏳️	kipima muda, mchanga, shisha, shisha inayotiririsha mchanga
⌚️	saa
⏰	kipima muda, saa
⏱️	saa, saa ya michezo
⏲️	kipima muda, saa, saa ya kupima muda
🕰️	saa, saa ya mezani
🕛️	00, 12, 12:00, saa, saa sita, sita
🕧	12, 12:30, 30, nusu, saa, saa sita na nusu, sita
🕐️	00, 1, 1:00, saa, saa saba, saba
🕜	1, 1:30, 30, nusu, saa, saa saba na nusu, saba
🕑️	00, 2, 2:00, nane, saa, saa nane
🕝	2, 2:30, 30, nane, nusu, saa, saa nane na nusu
🕒️	00, 3, 3:00, saa, saa tisa, tisa
🕞	3, 30, 3:30, nusu, saa, saa tisa na nusu, tisa
🕓️	00, 4, 4:00, kumi, saa, saa kumi
🕟	30, 4, 4:30, kumi, nusu, saa, saa kumi na nusu
🕔️	00, 5, 5:00, kumi na moja, saa, saa kumi na moja
🕠	30, 5, 5:30, kumi na moja, nusu, saa, saa kumi na moja na nusu
🕕️	00, 6, 6:00, kumi na mbili, saa, saa kumi na mbili
🕡	30, 6, 6:30, kumi na mbili, nusu, sa kumi na mbili na nusu, saa
🕖️	00, 7, 7:00, moja, saa, saa moja
🕢	30, 7, 7:30, moja, nusu, saa, saa moja na nusu
🕗️	00, 8, 8:00, mbili, saa, saa mbili
🕣	30, 8, 8:30, mbili, nusu, saa, saa mbili na nusu
🕘️	00, 9, 9:00, saa, saa tatu, tatu
🕤	30, 9, 9:30, nusu, saa, saa tatu na nusu, tatu
🕙️	00, 10, 10:00, nne, saa, saa nne
🕥	10, 10:30, 30, nne, nusu, saa, saa nne na nusu
🕚️	00, 11, 11:00, saa, saa tano, tano
🕦	11, 11:30, 30, nusu, saa, saa tano na nusu, tano
🌑	anga, hali ya hewa, mwezi, mwezi mpya, nyeusi
🌒	anga, hali yahewa, kuanza, mwezi, mwezi mwandamo
🌓	anga, hali ya hewa, mwezi, mwezi wa robo ya kwanza, robo
🌔	anga, hali ya hewa, kuanza, mwezi, mwezi ulioangazwa zaidi ya nusu, mwezi ulioangazwa zaidi ya nusu unaotanda
🌕️	anga, hali ya hewa, kamili, mwezi, mwezi kamili
🌖	anga, hali ya hewa, kuisha, mwezi, mwezi ulioangazwa zaidi ya nusu, mwezi ulioangazwa zaidi ya nusu unaofifia
🌗	anga, hali ya hewa, mwezi, mwezi wa robo ya mwisho, robo
🌘	anga, hali yahewa, kuisha, mwezi, mwezi kongo, mwezi mwandamo
🌙	anga, hali ya hewa, mwezi, mwezi mwandamo, mwezi unaoandama mwezi mpya
🌚	anga, hali ya hewa, mwezi, uso, uso wa mwezi mpya
🌛	anga, hali ya hewa, mwezi, mwezi wa robo ya kwanza wenye uso, robo, uso
🌜️	anga, hali ya hewa, mwezi, mwezi wa robo ya mwisho wenye uso, robo, uso
🌡️	hali ya hewa, pima joto
☀️	anga, hali ya hewa, jua, kung’aa, miali
🌝	anga, hali ya hewa, kamili, kung’aa, uso, uso unaokaa mwezi
🌞	anga, hali ya hewa, jua, kung’aa, usi, uso unaokaa jua
🪐	baridi, sayari yenye duara, zohali
⭐️	nyota, nyota nyeupe ya wastani
🌟	kumetameta, kung’ara, metameta, ng’aa, nyota, nyota inayong’aa
🌠	anga, kaunguka, kimwondo, nyota
🌌	anga, hali ya jwa, kilimia
☁️	hali ya hewa, wingu
⛅️	hali ya hewa, jua, jua nyuma ya wingu, wingu
⛈️	hali ya hewa, mvua, ngurumo, wingu, wingu pamoja na radi na mvua
🌤️	hali ya hewa, jua, jua nyuma ya wingu dogo, wingu
🌥️	hali ya hewa, jua, jua nyuma ya wingu kubwa, wingu
🌦️	hali ya jewa, jua, jua nyuma ya wingu lenye mvua, mvua, wingu
🌧️	hali ya hewa, mvua, wingu, wingu lenye mvua
🌨️	baridi, hali ya hewa, theluji, wingu, wingu lenye theluji
🌩️	hali ya hewa, radi, wingu, wingu lenye radi
🌪️	hali ya hewa, kimbunga, wingu
🌫️	hali ya hewa, ukungu, wingu
🌬️	hali ya hewa, puliza, upepo, uso, uso unaopuliza upepo, wingu
🌀	hali ya hewa, kimbunga, kizunguzungu, tufani
🌈	hali ya hewa, mvua, upinde wa mvua
🌂	hali ya hewa, mavazi, mvua, mwavuli, mwavuli uliokunjwa
☂️	hali ya hewa, mavazi, mvua, mwavuli
☔️	hali ya hewa, mavazi, mvua, mwavuli, mwavuli na matone ya mvua, tone
⛱️	hali ya hewa, jua, mvua, mwavuli, mwavuli ulio kwenye ardhi
⚡️	hatari, kuungua kwa umeme, radi, umeme, volteji, volteji ya juu
❄️	baridi, chembe ya theluji, hali ya hewa, theluji
☃️	baridi, hali ya hewa, sanamu ya mtu ya theluji, theluji
⛄️	baridi, hali ya hewa, sanamu ya mtu ya theluji bila theluji, theluji
☄️	anga, kimondo
🔥	moto, mwali, zana
💧	hali ya hewa, jasho, jembamba, kibonzo, tone
🌊	bahari, maji, wimbi la maji, wimbi’ hali ya hewa
🎃	halloween, jack, kusherehekea, taa, taa ya malenge yenye umbo la uso wa mtu
🎄	krismasi, mti, mti wa krismasi, sherehe
🎆	fataki, sherehe
🎇	fataki, kimetameta, kusherehekea, metameta
🧨	baruti, fataki, fataki ya kuchezea, kilipuzi
✨	kumetameta, metameta, nyota
🎈	puto, sherehe
🎉	kusherehekea, mapambo ya sherehe, puto, sherehe, tada
🎊	kusherehekea, mapambo, mpira, mpira wa mapambo
🎋	bango, kijapani, kusherehekea, mti, mti wa tanabata
🎍	kijapani, kusherehekea, mapambo ya msonobari, mmea, msonobari, mwanzi
🎎	kijapani, kusherehekea, mwanaserere, sherehe, wanaserere wa kijapani
🎏	bendera, bendera ya kambare mamba, kambare, kusherehekea
🎐	kengele, kengele ya upepo, kulia, kusherehekea, upepo
🎑	kusherehekea, mwezi, sherehe, sherehe ya mwezi
🧧	bahasha nyekundu, hóngbāo, kila la heri, lai see, pesa, zawadi
🎀	kusherehekea, utepe
🎁	iliyofungwa, kusherehekea, sanduku, zawadi, zawadi iliyofungwa
🎗️	kikumbusho, kusherehekea, utepe, utepe wa ukumbusho
🎟️	kuingia, tiketi, tiketi za kuingia
🎫	kuingia, tiketi
🎖️	jeshi, kusherehekea, medali, tuzo ya kijeshi
🏆️	kikombe, zawadi
🏅	medali, medali ya michezo
🥇	dhahabu, nafasi ya kwanza, nishani, nishani ya dhababu
🥈	fedha, nafasi ya pili, nishani, nishani ya fedha
🥉	nafasi ya tatu, nishani, nishani ya shaba, shaba
⚽️	mpira, mpira wa miguu, soka
⚾️	mpira, mpira wa besibali
🥎	bega, besibali, glavu, mpira
🏀	kikapu, mpira, mpira wa kikapu
🏐	mchezo, mpira, mpira wa wavu
🏈	marekani, mpira, mpira wa marekani, mpira wa miguu
🏉	mpira, mpira wa miguu, mpira wa raga, raga
🎾	mpira, mpira wa tenisi, raketi
🥏	kurusha kisahani, mbali sana
🎳	mchezo, mchezo wa kuvingirisha matufe chini, mpira
🏏	gongo, kriketi, mchezo, mpira
🏑	kijiti, kiwanja, mchezo, mpira, mpira wa magongo
🏒	barafu, kigoe cha hoki ya barafuni, kijiti, kitufe cha kucheza, mchezo, mpira wa magongo
🥍	bao, kijiti, mchezo wa lakrosi, mpira
🏓	gongo, mchezo, mpira, tenisi ya mezani, ubao
🏸	mchezo, mpigo mmoja, mpira wa vinyoya, raketi
🥊	glavu, glavu za ndondi, ndondi, spoti
🥋	judo, karate, spoti, taekwondo, vazi la karate
🥅	funga bao, spoti, wavu
⛳️	bendera katika shimo, gofu, shimo
⛸️	kuteleza, theluji, viatu vya kuteleza kwenye theluji
🎣	ndoano, ndoano ya uvuvi, samaki
🤿	barakoa la kupiga mbizi, kupiga mbizi, kuzamia majini, skuba
🎽	kukimbia, mshipi, shati, shati ya kukimbia
🎿	ski, theluji
🛷	sleji, sleji ya kuteleza thelujini
🥌	jiwe, mchezo, mpira wa kutelezesha
🎯	gonga, kigumba, kulenga shabaha, lengo, lengo kuu, mchezo
🪀	kidude cha kuchezea, kigurudumu cha uzi, kupanda na kushuka
🪁	kishada, paa, ruka
🎱	8, biliadi, mchezo, mpira, nane
🔮	bahati, kichimbakazi, kioo, mpira, njozi, tufe la kioo, zana
🧿	hirizi, kago, pepo, shanga, talasimu
🎮️	kidhibiti, mchezo, mchezo wa video
🕹️	mchezo, mchezo wa video, usukani
🎰	mashine ya kamari, mchezo
🎲	dadu, mchezo
🧩	dokezo, fumbo, fungamana, kipande, mchezofumbo
🧸	dubu, kidude cha kuchezea, kikorokoro, mwanaserere, mwanaserere wa dubu
♠️	kadi, karata, mchezo, shupaza
♥️	kadi, karata, kopa, mchezo
♦️	kadi, karata, kisu, mchezo, visu
♣️	kadi, karata, maua, mchezo
♟️	danganya, kipande cha saratanji, saratanji, toa mhanga
🃏	jokari, kadi, kucheza, mchezo
🀄️	dragoni jekundu la mahjong, mahjong, mchezo, nyekundu
🎴	kadi, kadi za karata za maua, kijapani, kucheza, maua, mchezo
🎭️	barakoa, kuigiza, sanaa, ukumbi wa maigizo
🖼️	fremu, fremu yenye picha, kuchora, makumbusho, picha, sanaa
🎨	kuchora, makumbusho, paleti, paleti ya msanii, sanaa
🧵	kigurudumu cha uzi, kushona, sindano, uzi
🧶	kroshia, kulabu, shona, uzi, uzi uliosokotwa
👓️	jicho, maiwani, mavazi, miwani, miwani ya macho
🕶️	jicho, miwani, miwani ya jua, miwani ya macho, nyeusi
🥽	kufua vyuma, kuogelea, linda macho, miwani ya kuogelea
🥼	daktari, koti jeupe, maabara, mwanasayansi
🦺	dharura, jaketi, jaketi la usalama, usalama
👔	mavazi, tai
👕	fulana, mavazi, shati
👖	mavazi, suruali, suruali ya jinzi
🧣	shali, shingo
🧤	glavu, mkono
🧥	jaketi, koti
🧦	soksi, soksi ndefu
👗	mavazi, nguo
👘	kimono, mavazi
🥻	mavazi, nguo, sari
🩱	nguo ya kuogelea, vazi la kuogelea
🩲	chupi, nguo, nguo ya kuogelea, vazi la kuogelea
🩳	chupi, kaptura, suruali, vazi la kuogelea
👙	bikini, kuogelea, mavazi
👚	mavazi, mwanamke, nguo za wanawake
👛	kibeti, mavazi, sarafu
👜	mavazi, mfuko
👝	kipochi, mavazi, mkoba
🛍️	hoteli, mifuko ya kubeba bidhaa baada ya kununua, mkoba, ununuzi
🎒	begi, mfuko wa shuleni, mkoba, shule
👞	kiatu, kiatu cha wanaume, mavazi, mwanamume
👟	kiatu, kiatu cha kukimbia, mavazi, mbio, raba ya kukimbia
🥾	begi ya mgongoni, buti, kiatu cha kutembea mbali, kupiga kambi, kutembea
